factor,freq,factor_group_label,factor_package,factor_packages,name_cn,meaning_cn,formula_cn,description,used_in_run,factor_group_key
g_reversal_diff_ma_gap_12__crowding_proxy_raw,5min,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·均线偏离12-拥挤度原始代理差值,比较 均线偏离12 与 拥挤度原始代理 的相对强弱，突出两者差异变化。,g_reversal_diff_ma_gap_12__crowding_proxy_raw = 列(均线偏离12) - 列(拥挤度原始代理),g_reversal diff ma_gap_12-crowding_proxy_raw,True,price_volume
g_reversal_diff_ma_gap_12__vol_chg_1,5min,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·均线偏离12-成交量变化1差值,比较 均线偏离12 与 成交量变化1 的相对强弱，突出两者差异变化。,g_reversal_diff_ma_gap_12__vol_chg_1 = 列(均线偏离12) - 列(成交量变化1),g_reversal diff ma_gap_12-vol_chg_1,True,price_volume
g_reversal_diff_ret_1__crowding_proxy_raw,5min,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·1期收益率-拥挤度原始代理差值,比较 1期收益率 与 拥挤度原始代理 的相对强弱，突出两者差异变化。,g_reversal_diff_ret_1__crowding_proxy_raw = 列(1期收益率) - 列(拥挤度原始代理),g_reversal diff ret_1-crowding_proxy_raw,True,price_volume
g_reversal_diff_ret_1__ma_gap_12,5min,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·1期收益率-均线偏离12差值,比较 1期收益率 与 均线偏离12 的相对强弱，突出两者差异变化。,g_reversal_diff_ret_1__ma_gap_12 = 列(1期收益率) - 列(均线偏离12),g_reversal diff ret_1-ma_gap_12,True,price_volume
g_reversal_diff_ret_1__ret_3,5min,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·1期收益率-3期收益率差值,比较 1期收益率 与 3期收益率 的相对强弱，突出两者差异变化。,g_reversal_diff_ret_1__ret_3 = 列(1期收益率) - 列(3期收益率),g_reversal diff ret_1-ret_3,True,price_volume
g_reversal_diff_ret_1__ret_6,5min,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·1期收益率-6期收益率差值,比较 1期收益率 与 6期收益率 的相对强弱，突出两者差异变化。,g_reversal_diff_ret_1__ret_6 = 列(1期收益率) - 列(6期收益率),g_reversal diff ret_1-ret_6,True,price_volume
g_reversal_diff_ret_1__vol_chg_1,5min,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·1期收益率-成交量变化1差值,比较 1期收益率 与 成交量变化1 的相对强弱，突出两者差异变化。,g_reversal_diff_ret_1__vol_chg_1 = 列(1期收益率) - 列(成交量变化1),g_reversal diff ret_1-vol_chg_1,True,price_volume
g_reversal_diff_ret_3__crowding_proxy_raw,5min,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·3期收益率-拥挤度原始代理差值,比较 3期收益率 与 拥挤度原始代理 的相对强弱，突出两者差异变化。,g_reversal_diff_ret_3__crowding_proxy_raw = 列(3期收益率) - 列(拥挤度原始代理),g_reversal diff ret_3-crowding_proxy_raw,True,price_volume
g_reversal_diff_ret_3__ma_gap_12,5min,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·3期收益率-均线偏离12差值,比较 3期收益率 与 均线偏离12 的相对强弱，突出两者差异变化。,g_reversal_diff_ret_3__ma_gap_12 = 列(3期收益率) - 列(均线偏离12),g_reversal diff ret_3-ma_gap_12,True,price_volume
g_reversal_diff_ret_3__ret_6,5min,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·3期收益率-6期收益率差值,比较 3期收益率 与 6期收益率 的相对强弱，突出两者差异变化。,g_reversal_diff_ret_3__ret_6 = 列(3期收益率) - 列(6期收益率),g_reversal diff ret_3-ret_6,True,price_volume
g_reversal_diff_ret_3__vol_chg_1,5min,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·3期收益率-成交量变化1差值,比较 3期收益率 与 成交量变化1 的相对强弱，突出两者差异变化。,g_reversal_diff_ret_3__vol_chg_1 = 列(3期收益率) - 列(成交量变化1),g_reversal diff ret_3-vol_chg_1,True,price_volume
g_reversal_diff_ret_6__crowding_proxy_raw,5min,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·6期收益率-拥挤度原始代理差值,比较 6期收益率 与 拥挤度原始代理 的相对强弱，突出两者差异变化。,g_reversal_diff_ret_6__crowding_proxy_raw = 列(6期收益率) - 列(拥挤度原始代理),g_reversal diff ret_6-crowding_proxy_raw,True,price_volume
g_reversal_diff_ret_6__ma_gap_12,5min,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·6期收益率-均线偏离12差值,比较 6期收益率 与 均线偏离12 的相对强弱，突出两者差异变化。,g_reversal_diff_ret_6__ma_gap_12 = 列(6期收益率) - 列(均线偏离12),g_reversal diff ret_6-ma_gap_12,True,price_volume
g_reversal_diff_ret_6__vol_chg_1,5min,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·6期收益率-成交量变化1差值,比较 6期收益率 与 成交量变化1 的相对强弱，突出两者差异变化。,g_reversal_diff_ret_6__vol_chg_1 = 列(6期收益率) - 列(成交量变化1),g_reversal diff ret_6-vol_chg_1,True,price_volume
g_reversal_diff_vol_chg_1__crowding_proxy_raw,5min,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·成交量变化1-拥挤度原始代理差值,比较 成交量变化1 与 拥挤度原始代理 的相对强弱，突出两者差异变化。,g_reversal_diff_vol_chg_1__crowding_proxy_raw = 列(成交量变化1) - 列(拥挤度原始代理),g_reversal diff vol_chg_1-crowding_proxy_raw,True,price_volume
g_reversal_lvl_context_intraday_mood,5min,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·日内情绪上下文原值,直接使用 日内情绪上下文 作为 量价反转包 信号，反映该基础指标的绝对水平。,g_reversal_lvl_context_intraday_mood = 列(日内情绪上下文),g_reversal level context_intraday_mood,True,price_volume
g_reversal_lvl_context_trend_20d,5min,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·20日趋势上下文原值,直接使用 20日趋势上下文 作为 量价反转包 信号，反映该基础指标的绝对水平。,g_reversal_lvl_context_trend_20d = 列(20日趋势上下文),g_reversal level context_trend_20d,True,price_volume
