factor,freq,factor_group_label,factor_package,factor_packages,name_cn,meaning_cn,formula_cn,description,used_in_run,factor_group_key
text_attention_diff_txt_attention_20__txt_attention_shock,30min,Text Packages,text_attention,text_attention,金融文本关注度包·文本关注度20-文本关注度shock差值,比较 文本关注度20 与 文本关注度shock 的相对强弱，突出两者差异变化。,text_attention_diff_txt_attention_20__txt_attention_shock = 列(文本关注度20) - 列(文本关注度shock),text_attention diff txt_attention_20-txt_attention_shock,False,text
text_attention_diff_txt_attention_20__txt_count_20,30min,Text Packages,text_attention,text_attention,金融文本关注度包·文本关注度20-文本count20差值,比较 文本关注度20 与 文本count20 的相对强弱，突出两者差异变化。,text_attention_diff_txt_attention_20__txt_count_20 = 列(文本关注度20) - 列(文本count20),text_attention diff txt_attention_20-txt_count_20,False,text
text_attention_diff_txt_attention_20__txt_count_5,30min,Text Packages,text_attention,text_attention,金融文本关注度包·文本关注度20-文本count5差值,比较 文本关注度20 与 文本count5 的相对强弱，突出两者差异变化。,text_attention_diff_txt_attention_20__txt_count_5 = 列(文本关注度20) - 列(文本count5),text_attention diff txt_attention_20-txt_count_5,False,text
text_attention_diff_txt_attention_5__txt_attention_20,30min,Text Packages,text_attention,text_attention,金融文本关注度包·文本关注度5-文本关注度20差值,比较 文本关注度5 与 文本关注度20 的相对强弱，突出两者差异变化。,text_attention_diff_txt_attention_5__txt_attention_20 = 列(文本关注度5) - 列(文本关注度20),text_attention diff txt_attention_5-txt_attention_20,False,text
text_attention_diff_txt_attention_5__txt_attention_shock,30min,Text Packages,text_attention,text_attention,金融文本关注度包·文本关注度5-文本关注度shock差值,比较 文本关注度5 与 文本关注度shock 的相对强弱，突出两者差异变化。,text_attention_diff_txt_attention_5__txt_attention_shock = 列(文本关注度5) - 列(文本关注度shock),text_attention diff txt_attention_5-txt_attention_shock,False,text
text_attention_diff_txt_attention_5__txt_count_20,30min,Text Packages,text_attention,text_attention,金融文本关注度包·文本关注度5-文本count20差值,比较 文本关注度5 与 文本count20 的相对强弱，突出两者差异变化。,text_attention_diff_txt_attention_5__txt_count_20 = 列(文本关注度5) - 列(文本count20),text_attention diff txt_attention_5-txt_count_20,False,text
text_attention_diff_txt_attention_5__txt_count_5,30min,Text Packages,text_attention,text_attention,金融文本关注度包·文本关注度5-文本count5差值,比较 文本关注度5 与 文本count5 的相对强弱，突出两者差异变化。,text_attention_diff_txt_attention_5__txt_count_5 = 列(文本关注度5) - 列(文本count5),text_attention diff txt_attention_5-txt_count_5,False,text
text_attention_diff_txt_attention_mean__txt_attention_20,30min,Text Packages,text_attention,text_attention,金融文本关注度包·文本关注度mean-文本关注度20差值,比较 文本关注度mean 与 文本关注度20 的相对强弱，突出两者差异变化。,text_attention_diff_txt_attention_mean__txt_attention_20 = 列(文本关注度mean) - 列(文本关注度20),text_attention diff txt_attention_mean-txt_attention_20,False,text
text_attention_diff_txt_attention_mean__txt_attention_5,30min,Text Packages,text_attention,text_attention,金融文本关注度包·文本关注度mean-文本关注度5差值,比较 文本关注度mean 与 文本关注度5 的相对强弱，突出两者差异变化。,text_attention_diff_txt_attention_mean__txt_attention_5 = 列(文本关注度mean) - 列(文本关注度5),text_attention diff txt_attention_mean-txt_attention_5,False,text
text_attention_diff_txt_attention_mean__txt_attention_shock,30min,Text Packages,text_attention,text_attention,金融文本关注度包·文本关注度mean-文本关注度shock差值,比较 文本关注度mean 与 文本关注度shock 的相对强弱，突出两者差异变化。,text_attention_diff_txt_attention_mean__txt_attention_shock = 列(文本关注度mean) - 列(文本关注度shock),text_attention diff txt_attention_mean-txt_attention_shock,False,text
text_attention_diff_txt_attention_mean__txt_count_20,30min,Text Packages,text_attention,text_attention,金融文本关注度包·文本关注度mean-文本count20差值,比较 文本关注度mean 与 文本count20 的相对强弱，突出两者差异变化。,text_attention_diff_txt_attention_mean__txt_count_20 = 列(文本关注度mean) - 列(文本count20),text_attention diff txt_attention_mean-txt_count_20,False,text
text_attention_diff_txt_attention_mean__txt_count_5,30min,Text Packages,text_attention,text_attention,金融文本关注度包·文本关注度mean-文本count5差值,比较 文本关注度mean 与 文本count5 的相对强弱，突出两者差异变化。,text_attention_diff_txt_attention_mean__txt_count_5 = 列(文本关注度mean) - 列(文本count5),text_attention diff txt_attention_mean-txt_count_5,False,text
text_attention_diff_txt_attention_shock__txt_count_20,30min,Text Packages,text_attention,text_attention,金融文本关注度包·文本关注度shock-文本count20差值,比较 文本关注度shock 与 文本count20 的相对强弱，突出两者差异变化。,text_attention_diff_txt_attention_shock__txt_count_20 = 列(文本关注度shock) - 列(文本count20),text_attention diff txt_attention_shock-txt_count_20,False,text
text_attention_diff_txt_attention_shock__txt_count_5,30min,Text Packages,text_attention,text_attention,金融文本关注度包·文本关注度shock-文本count5差值,比较 文本关注度shock 与 文本count5 的相对强弱，突出两者差异变化。,text_attention_diff_txt_attention_shock__txt_count_5 = 列(文本关注度shock) - 列(文本count5),text_attention diff txt_attention_shock-txt_count_5,False,text
text_attention_diff_txt_count_5__txt_count_20,30min,Text Packages,text_attention,text_attention,金融文本关注度包·文本count5-文本count20差值,比较 文本count5 与 文本count20 的相对强弱，突出两者差异变化。,text_attention_diff_txt_count_5__txt_count_20 = 列(文本count5) - 列(文本count20),text_attention diff txt_count_5-txt_count_20,False,text
text_attention_diff_txt_event_count__txt_attention_20,30min,Text Packages,text_attention,text_attention,金融文本关注度包·文本事件count-文本关注度20差值,比较 文本事件count 与 文本关注度20 的相对强弱，突出两者差异变化。,text_attention_diff_txt_event_count__txt_attention_20 = 列(文本事件count) - 列(文本关注度20),text_attention diff txt_event_count-txt_attention_20,False,text
text_attention_diff_txt_event_count__txt_attention_5,30min,Text Packages,text_attention,text_attention,金融文本关注度包·文本事件count-文本关注度5差值,比较 文本事件count 与 文本关注度5 的相对强弱，突出两者差异变化。,text_attention_diff_txt_event_count__txt_attention_5 = 列(文本事件count) - 列(文本关注度5),text_attention diff txt_event_count-txt_attention_5,False,text
text_attention_diff_txt_event_count__txt_attention_mean,30min,Text Packages,text_attention,text_attention,金融文本关注度包·文本事件count-文本关注度mean差值,比较 文本事件count 与 文本关注度mean 的相对强弱，突出两者差异变化。,text_attention_diff_txt_event_count__txt_attention_mean = 列(文本事件count) - 列(文本关注度mean),text_attention diff txt_event_count-txt_attention_mean,False,text
text_attention_diff_txt_event_count__txt_attention_shock,30min,Text Packages,text_attention,text_attention,金融文本关注度包·文本事件count-文本关注度shock差值,比较 文本事件count 与 文本关注度shock 的相对强弱，突出两者差异变化。,text_attention_diff_txt_event_count__txt_attention_shock = 列(文本事件count) - 列(文本关注度shock),text_attention diff txt_event_count-txt_attention_shock,False,text
text_attention_diff_txt_event_count__txt_count_20,30min,Text Packages,text_attention,text_attention,金融文本关注度包·文本事件count-文本count20差值,比较 文本事件count 与 文本count20 的相对强弱，突出两者差异变化。,text_attention_diff_txt_event_count__txt_count_20 = 列(文本事件count) - 列(文本count20),text_attention diff txt_event_count-txt_count_20,False,text
text_attention_diff_txt_event_count__txt_count_5,30min,Text Packages,text_attention,text_attention,金融文本关注度包·文本事件count-文本count5差值,比较 文本事件count 与 文本count5 的相对强弱，突出两者差异变化。,text_attention_diff_txt_event_count__txt_count_5 = 列(文本事件count) - 列(文本count5),text_attention diff txt_event_count-txt_count_5,False,text
text_attention_diff_txt_event_count__txt_source_coverage,30min,Text Packages,text_attention,text_attention,金融文本关注度包·文本事件count-文本sourcecoverage差值,比较 文本事件count 与 文本sourcecoverage 的相对强弱，突出两者差异变化。,text_attention_diff_txt_event_count__txt_source_coverage = 列(文本事件count) - 列(文本sourcecoverage),text_attention diff txt_event_count-txt_source_coverage,False,text
text_attention_diff_txt_source_coverage__txt_attention_20,30min,Text Packages,text_attention,text_attention,金融文本关注度包·文本sourcecoverage-文本关注度20差值,比较 文本sourcecoverage 与 文本关注度20 的相对强弱，突出两者差异变化。,text_attention_diff_txt_source_coverage__txt_attention_20 = 列(文本sourcecoverage) - 列(文本关注度20),text_attention diff txt_source_coverage-txt_attention_20,False,text
