factor,freq,factor_group_label,factor_package,factor_packages,name_cn,meaning_cn,formula_cn,description,used_in_run,factor_group_key
text_sentiment_diff_txt_neg_share__txt_sent_20,D,Text Packages,text_sentiment,text_sentiment,金融文本情绪包·文本negshare-文本sent20差值,比较 文本negshare 与 文本sent20 的相对强弱，突出两者差异变化。,text_sentiment_diff_txt_neg_share__txt_sent_20 = 列(文本negshare) - 列(文本sent20),text_sentiment diff txt_neg_share-txt_sent_20,False,text
text_sentiment_diff_txt_neg_share__txt_sent_5,D,Text Packages,text_sentiment,text_sentiment,金融文本情绪包·文本negshare-文本sent5差值,比较 文本negshare 与 文本sent5 的相对强弱，突出两者差异变化。,text_sentiment_diff_txt_neg_share__txt_sent_5 = 列(文本negshare) - 列(文本sent5),text_sentiment diff txt_neg_share-txt_sent_5,False,text
text_sentiment_diff_txt_neg_share__txt_sent_trend_5,D,Text Packages,text_sentiment,text_sentiment,金融文本情绪包·文本negshare-文本sent趋势5差值,比较 文本negshare 与 文本sent趋势5 的相对强弱，突出两者差异变化。,text_sentiment_diff_txt_neg_share__txt_sent_trend_5 = 列(文本negshare) - 列(文本sent趋势5),text_sentiment diff txt_neg_share-txt_sent_trend_5,False,text
text_sentiment_diff_txt_neg_share__txt_sent_vol_20,D,Text Packages,text_sentiment,text_sentiment,金融文本情绪包·文本negshare-文本sent成交量20差值,比较 文本negshare 与 文本sent成交量20 的相对强弱，突出两者差异变化。,text_sentiment_diff_txt_neg_share__txt_sent_vol_20 = 列(文本negshare) - 列(文本sent成交量20),text_sentiment diff txt_neg_share-txt_sent_vol_20,False,text
text_sentiment_diff_txt_pos_share__txt_neg_share,D,Text Packages,text_sentiment,text_sentiment,金融文本情绪包·文本posshare-文本negshare差值,比较 文本posshare 与 文本negshare 的相对强弱，突出两者差异变化。,text_sentiment_diff_txt_pos_share__txt_neg_share = 列(文本posshare) - 列(文本negshare),text_sentiment diff txt_pos_share-txt_neg_share,False,text
text_sentiment_diff_txt_pos_share__txt_sent_20,D,Text Packages,text_sentiment,text_sentiment,金融文本情绪包·文本posshare-文本sent20差值,比较 文本posshare 与 文本sent20 的相对强弱，突出两者差异变化。,text_sentiment_diff_txt_pos_share__txt_sent_20 = 列(文本posshare) - 列(文本sent20),text_sentiment diff txt_pos_share-txt_sent_20,False,text
text_sentiment_diff_txt_pos_share__txt_sent_5,D,Text Packages,text_sentiment,text_sentiment,金融文本情绪包·文本posshare-文本sent5差值,比较 文本posshare 与 文本sent5 的相对强弱，突出两者差异变化。,text_sentiment_diff_txt_pos_share__txt_sent_5 = 列(文本posshare) - 列(文本sent5),text_sentiment diff txt_pos_share-txt_sent_5,False,text
text_sentiment_diff_txt_pos_share__txt_sent_trend_5,D,Text Packages,text_sentiment,text_sentiment,金融文本情绪包·文本posshare-文本sent趋势5差值,比较 文本posshare 与 文本sent趋势5 的相对强弱，突出两者差异变化。,text_sentiment_diff_txt_pos_share__txt_sent_trend_5 = 列(文本posshare) - 列(文本sent趋势5),text_sentiment diff txt_pos_share-txt_sent_trend_5,False,text
text_sentiment_diff_txt_pos_share__txt_sent_vol_20,D,Text Packages,text_sentiment,text_sentiment,金融文本情绪包·文本posshare-文本sent成交量20差值,比较 文本posshare 与 文本sent成交量20 的相对强弱，突出两者差异变化。,text_sentiment_diff_txt_pos_share__txt_sent_vol_20 = 列(文本posshare) - 列(文本sent成交量20),text_sentiment diff txt_pos_share-txt_sent_vol_20,False,text
text_sentiment_diff_txt_sent_20__txt_sent_trend_5,D,Text Packages,text_sentiment,text_sentiment,金融文本情绪包·文本sent20-文本sent趋势5差值,比较 文本sent20 与 文本sent趋势5 的相对强弱，突出两者差异变化。,text_sentiment_diff_txt_sent_20__txt_sent_trend_5 = 列(文本sent20) - 列(文本sent趋势5),text_sentiment diff txt_sent_20-txt_sent_trend_5,False,text
