factor,freq,factor_group_label,factor_package,factor_packages,name_cn,meaning_cn,formula_cn,description,used_in_run,factor_group_key
amihud_1d,D,Price-Volume / Non-Fundamental Packages,auto_panel,auto_panel,自动透传·amihud1d,自动透传因子，刻画：auto passthrough: amihud1d,按定义计算：auto passthrough: amihud1d,auto passthrough: amihud_1d,False,price_volume
amount,D,Price-Volume / Non-Fundamental Packages,auto_panel,auto_panel,自动透传·成交额,自动透传因子，刻画：auto passthrough: 成交额,按定义计算：auto passthrough: 成交额,auto passthrough: amount,False,price_volume
amount_ma20,D,Price-Volume / Non-Fundamental Packages,auto_panel,auto_panel,自动透传·成交额ma20,自动透传因子，刻画：auto passthrough: 成交额ma20,按定义计算：auto passthrough: 成交额ma20,auto passthrough: amount_ma20,False,price_volume
atr14,D,Price-Volume / Non-Fundamental Packages,auto_panel,auto_panel,自动透传·atr14,自动透传因子，刻画：auto passthrough: atr14,按定义计算：auto passthrough: atr14,auto passthrough: atr14,False,price_volume
barra_beta_proxy,D,Price-Volume / Non-Fundamental Packages,auto_panel,auto_panel,自动透传·barrabeta代理,自动透传因子，刻画：auto passthrough: barrabeta代理,按定义计算：auto passthrough: barrabeta代理,auto passthrough: barra_beta_proxy,False,price_volume
barra_liquidity_proxy,D,Price-Volume / Non-Fundamental Packages,auto_panel,auto_panel,自动透传·barra流动性代理,自动透传因子，刻画：auto passthrough: barra流动性代理,按定义计算：auto passthrough: barra流动性代理,auto passthrough: barra_liquidity_proxy,False,price_volume
barra_momentum_proxy,D,Price-Volume / Non-Fundamental Packages,auto_panel,auto_panel,自动透传·barra动量代理,自动透传因子，刻画：auto passthrough: barra动量代理,按定义计算：auto passthrough: barra动量代理,auto passthrough: barra_momentum_proxy,False,price_volume
barra_size_proxy,D,Price-Volume / Non-Fundamental Packages,auto_panel,auto_panel,自动透传·barrasize代理,自动透传因子，刻画：auto passthrough: barrasize代理,按定义计算：auto passthrough: barrasize代理,auto passthrough: barra_size_proxy,False,price_volume
barra_volatility_proxy,D,Price-Volume / Non-Fundamental Packages,auto_panel,auto_panel,自动透传·barravolatility代理,自动透传因子，刻画：auto passthrough: barravolatility代理,按定义计算：auto passthrough: barravolatility代理,auto passthrough: barra_volatility_proxy,False,price_volume
close,D,Price-Volume / Non-Fundamental Packages,auto_panel,auto_panel,自动透传·收盘,自动透传因子，刻画：auto passthrough: 收盘,按定义计算：auto passthrough: 收盘,auto passthrough: close,False,price_volume
crowding_proxy_raw,D,Price-Volume / Non-Fundamental Packages,auto_panel,auto_panel,自动透传·拥挤度原始代理,自动透传因子，刻画：auto passthrough: 拥挤度原始代理,按定义计算：auto passthrough: 拥挤度原始代理,auto passthrough: crowding_proxy_raw,False,price_volume
downside_vol_20,D,Price-Volume / Non-Fundamental Packages,auto_panel,auto_panel,自动透传·downside成交量20,自动透传因子，刻画：auto passthrough: downside成交量20,按定义计算：auto passthrough: downside成交量20,auto passthrough: downside_vol_20,False,price_volume
fd_cashflow_disp,D,Price-Volume / Non-Fundamental Packages,auto_panel,auto_panel,自动透传·现金流离散度,自动透传因子，刻画：auto passthrough: 现金流离散度,按定义计算：auto passthrough: 现金流离散度,auto passthrough: fd_cashflow_disp,False,price_volume
fd_cashflow_raw_01,D,Price-Volume / Non-Fundamental Packages,auto_panel,auto_panel,自动透传·现金流原始指标01,自动透传因子，刻画：auto passthrough: 现金流原始指标01,按定义计算：auto passthrough: 现金流原始指标01,auto passthrough: fd_cashflow_raw_01,False,price_volume
