factor,freq,factor_group_label,factor_package,factor_packages,name_cn,meaning_cn,formula_cn,description,used_in_run,factor_group_key
bridge_120min_close_dev,D,Price-Volume / Non-Fundamental Packages,bridge,bridge,跨频桥接·120min→目标频率·收盘dev,来源频率聚合后的收盘偏离，衡量偏离均值程度。,基于 120min→目标频率 的聚合列计算 close_dev 特征（见桥接定义）。,120min->D close deviation,True,price_volume
bridge_120min_close_disp,D,Price-Volume / Non-Fundamental Packages,bridge,bridge,跨频桥接·120min→目标频率·收盘离散度,来源频率聚合后的收盘离散度，衡量收盘分布分散程度。,基于 120min→目标频率 的聚合列计算 close_disp 特征（见桥接定义）。,120min->D close dispersion,True,price_volume
bridge_120min_crowd_unwind,D,Price-Volume / Non-Fundamental Packages,bridge,bridge,跨频桥接·120min→目标频率·crowdunwind,来源频率聚合后的拥挤反转，刻画拥挤交易回撤风险。,基于 120min→目标频率 的聚合列计算 crowd_unwind 特征（见桥接定义）。,120min->D crowding unwind,True,price_volume
bridge_120min_hilo_spread,D,Price-Volume / Non-Fundamental Packages,bridge,bridge,跨频桥接·120min→目标频率·hilospread,来源频率聚合后的高低价差，反映区间波动强度。,基于 120min→目标频率 的聚合列计算 hilo_spread 特征（见桥接定义）。,120min->D high-low spread,True,price_volume
bridge_120min_liq_pressure,D,Price-Volume / Non-Fundamental Packages,bridge,bridge,跨频桥接·120min→目标频率·流动性压力,来源频率聚合后的流动性压力指标。,基于 120min→目标频率 的聚合列计算 liq_pressure 特征（见桥接定义）。,120min->D liquidity pressure,True,price_volume
bridge_120min_liq_pulse,D,Price-Volume / Non-Fundamental Packages,bridge,bridge,跨频桥接·120min→目标频率·流动性pulse,来源频率聚合后的流动性脉冲，衡量成交突发程度。,基于 120min→目标频率 的聚合列计算 liq_pulse 特征（见桥接定义）。,120min->D liquidity pulse,True,price_volume
bridge_120min_liq_trend_sync,D,Price-Volume / Non-Fundamental Packages,bridge,bridge,跨频桥接·120min→目标频率·流动性趋势同步,来源频率聚合后的流动性与趋势同步性。,基于 120min→目标频率 的聚合列计算 liq_trend_sync 特征（见桥接定义）。,120min->D liquidity-trend sync,True,price_volume
bridge_120min_micro_shift,D,Price-Volume / Non-Fundamental Packages,bridge,bridge,跨频桥接·120min→目标频率·微观shift,来源频率聚合后的微观状态切换强度。,基于 120min→目标频率 的聚合列计算 micro_shift 特征（见桥接定义）。,120min->D micro regime shift,True,price_volume
bridge_120min_noise,D,Price-Volume / Non-Fundamental Packages,bridge,bridge,跨频桥接·120min→目标频率·噪声,来源频率聚合后的收益噪声信号比，刻画短周期噪声占比。,基于 120min→目标频率 的聚合列计算 noise 特征（见桥接定义）。,120min->D noise-to-signal,True,price_volume
bridge_120min_ret3_std,D,Price-Volume / Non-Fundamental Packages,bridge,bridge,跨频桥接·120min→目标频率·ret3std,来源频率聚合后的中短收益波动强度。,基于 120min→目标频率 的聚合列计算 ret3_std 特征（见桥接定义）。,120min->D ret3 std,True,price_volume
bridge_120min_trend_carry,D,Price-Volume / Non-Fundamental Packages,bridge,bridge,跨频桥接·120min→目标频率·趋势延续,来源频率聚合后的趋势延续度，衡量趋势是否延续。,基于 120min→目标频率 的聚合列计算 trend_carry 特征（见桥接定义）。,120min->D trend carry,True,price_volume
bridge_120min_vol_comp,D,Price-Volume / Non-Fundamental Packages,bridge,bridge,跨频桥接·120min→目标频率·成交量comp,来源频率聚合后的波动压缩，刻画波动收敛状态。,基于 120min→目标频率 的聚合列计算 vol_comp 特征（见桥接定义）。,120min->D volatility compression,True,price_volume
bridge_15min_close_dev,D,Price-Volume / Non-Fundamental Packages,bridge,bridge,跨频桥接·15min→目标频率·收盘dev,来源频率聚合后的收盘偏离，衡量偏离均值程度。,基于 15min→目标频率 的聚合列计算 close_dev 特征（见桥接定义）。,15min->D close deviation,True,price_volume
bridge_15min_close_disp,D,Price-Volume / Non-Fundamental Packages,bridge,bridge,跨频桥接·15min→目标频率·收盘离散度,来源频率聚合后的收盘离散度，衡量收盘分布分散程度。,基于 15min→目标频率 的聚合列计算 close_disp 特征（见桥接定义）。,15min->D close dispersion,True,price_volume
bridge_15min_crowd_unwind,D,Price-Volume / Non-Fundamental Packages,bridge,bridge,跨频桥接·15min→目标频率·crowdunwind,来源频率聚合后的拥挤反转，刻画拥挤交易回撤风险。,基于 15min→目标频率 的聚合列计算 crowd_unwind 特征（见桥接定义）。,15min->D crowding unwind,True,price_volume
bridge_15min_hilo_spread,D,Price-Volume / Non-Fundamental Packages,bridge,bridge,跨频桥接·15min→目标频率·hilospread,来源频率聚合后的高低价差，反映区间波动强度。,基于 15min→目标频率 的聚合列计算 hilo_spread 特征（见桥接定义）。,15min->D high-low spread,True,price_volume
bridge_15min_liq_pressure,D,Price-Volume / Non-Fundamental Packages,bridge,bridge,跨频桥接·15min→目标频率·流动性压力,来源频率聚合后的流动性压力指标。,基于 15min→目标频率 的聚合列计算 liq_pressure 特征（见桥接定义）。,15min->D liquidity pressure,True,price_volume
bridge_15min_liq_pulse,D,Price-Volume / Non-Fundamental Packages,bridge,bridge,跨频桥接·15min→目标频率·流动性pulse,来源频率聚合后的流动性脉冲，衡量成交突发程度。,基于 15min→目标频率 的聚合列计算 liq_pulse 特征（见桥接定义）。,15min->D liquidity pulse,True,price_volume
bridge_15min_liq_trend_sync,D,Price-Volume / Non-Fundamental Packages,bridge,bridge,跨频桥接·15min→目标频率·流动性趋势同步,来源频率聚合后的流动性与趋势同步性。,基于 15min→目标频率 的聚合列计算 liq_trend_sync 特征（见桥接定义）。,15min->D liquidity-trend sync,True,price_volume
bridge_15min_micro_shift,D,Price-Volume / Non-Fundamental Packages,bridge,bridge,跨频桥接·15min→目标频率·微观shift,来源频率聚合后的微观状态切换强度。,基于 15min→目标频率 的聚合列计算 micro_shift 特征（见桥接定义）。,15min->D micro regime shift,True,price_volume
bridge_15min_noise,D,Price-Volume / Non-Fundamental Packages,bridge,bridge,跨频桥接·15min→目标频率·噪声,来源频率聚合后的收益噪声信号比，刻画短周期噪声占比。,基于 15min→目标频率 的聚合列计算 noise 特征（见桥接定义）。,15min->D noise-to-signal,True,price_volume
bridge_15min_ret3_std,D,Price-Volume / Non-Fundamental Packages,bridge,bridge,跨频桥接·15min→目标频率·ret3std,来源频率聚合后的中短收益波动强度。,基于 15min→目标频率 的聚合列计算 ret3_std 特征（见桥接定义）。,15min->D ret3 std,True,price_volume
bridge_15min_trend_carry,D,Price-Volume / Non-Fundamental Packages,bridge,bridge,跨频桥接·15min→目标频率·趋势延续,来源频率聚合后的趋势延续度，衡量趋势是否延续。,基于 15min→目标频率 的聚合列计算 trend_carry 特征（见桥接定义）。,15min->D trend carry,True,price_volume
bridge_15min_vol_comp,D,Price-Volume / Non-Fundamental Packages,bridge,bridge,跨频桥接·15min→目标频率·成交量comp,来源频率聚合后的波动压缩，刻画波动收敛状态。,基于 15min→目标频率 的聚合列计算 vol_comp 特征（见桥接定义）。,15min->D volatility compression,True,price_volume
bridge_30min_close_dev,D,Price-Volume / Non-Fundamental Packages,bridge,bridge,跨频桥接·30min→目标频率·收盘dev,来源频率聚合后的收盘偏离，衡量偏离均值程度。,基于 30min→目标频率 的聚合列计算 close_dev 特征（见桥接定义）。,30min->D close deviation,True,price_volume
bridge_30min_close_disp,D,Price-Volume / Non-Fundamental Packages,bridge,bridge,跨频桥接·30min→目标频率·收盘离散度,来源频率聚合后的收盘离散度，衡量收盘分布分散程度。,基于 30min→目标频率 的聚合列计算 close_disp 特征（见桥接定义）。,30min->D close dispersion,True,price_volume
bridge_30min_crowd_unwind,D,Price-Volume / Non-Fundamental Packages,bridge,bridge,跨频桥接·30min→目标频率·crowdunwind,来源频率聚合后的拥挤反转，刻画拥挤交易回撤风险。,基于 30min→目标频率 的聚合列计算 crowd_unwind 特征（见桥接定义）。,30min->D crowding unwind,True,price_volume
bridge_30min_hilo_spread,D,Price-Volume / Non-Fundamental Packages,bridge,bridge,跨频桥接·30min→目标频率·hilospread,来源频率聚合后的高低价差，反映区间波动强度。,基于 30min→目标频率 的聚合列计算 hilo_spread 特征（见桥接定义）。,30min->D high-low spread,True,price_volume
bridge_30min_liq_pressure,D,Price-Volume / Non-Fundamental Packages,bridge,bridge,跨频桥接·30min→目标频率·流动性压力,来源频率聚合后的流动性压力指标。,基于 30min→目标频率 的聚合列计算 liq_pressure 特征（见桥接定义）。,30min->D liquidity pressure,True,price_volume
bridge_30min_liq_pulse,D,Price-Volume / Non-Fundamental Packages,bridge,bridge,跨频桥接·30min→目标频率·流动性pulse,来源频率聚合后的流动性脉冲，衡量成交突发程度。,基于 30min→目标频率 的聚合列计算 liq_pulse 特征（见桥接定义）。,30min->D liquidity pulse,True,price_volume
bridge_30min_liq_trend_sync,D,Price-Volume / Non-Fundamental Packages,bridge,bridge,跨频桥接·30min→目标频率·流动性趋势同步,来源频率聚合后的流动性与趋势同步性。,基于 30min→目标频率 的聚合列计算 liq_trend_sync 特征（见桥接定义）。,30min->D liquidity-trend sync,True,price_volume
bridge_30min_micro_shift,D,Price-Volume / Non-Fundamental Packages,bridge,bridge,跨频桥接·30min→目标频率·微观shift,来源频率聚合后的微观状态切换强度。,基于 30min→目标频率 的聚合列计算 micro_shift 特征（见桥接定义）。,30min->D micro regime shift,True,price_volume
bridge_30min_noise,D,Price-Volume / Non-Fundamental Packages,bridge,bridge,跨频桥接·30min→目标频率·噪声,来源频率聚合后的收益噪声信号比，刻画短周期噪声占比。,基于 30min→目标频率 的聚合列计算 noise 特征（见桥接定义）。,30min->D noise-to-signal,True,price_volume
bridge_30min_ret3_std,D,Price-Volume / Non-Fundamental Packages,bridge,bridge,跨频桥接·30min→目标频率·ret3std,来源频率聚合后的中短收益波动强度。,基于 30min→目标频率 的聚合列计算 ret3_std 特征（见桥接定义）。,30min->D ret3 std,True,price_volume
bridge_30min_trend_carry,D,Price-Volume / Non-Fundamental Packages,bridge,bridge,跨频桥接·30min→目标频率·趋势延续,来源频率聚合后的趋势延续度，衡量趋势是否延续。,基于 30min→目标频率 的聚合列计算 trend_carry 特征（见桥接定义）。,30min->D trend carry,True,price_volume
bridge_30min_vol_comp,D,Price-Volume / Non-Fundamental Packages,bridge,bridge,跨频桥接·30min→目标频率·成交量comp,来源频率聚合后的波动压缩，刻画波动收敛状态。,基于 30min→目标频率 的聚合列计算 vol_comp 特征（见桥接定义）。,30min->D volatility compression,True,price_volume
bridge_5min_close_dev,D,Price-Volume / Non-Fundamental Packages,bridge,bridge,跨频桥接·5min→目标频率·收盘dev,来源频率聚合后的收盘偏离，衡量偏离均值程度。,基于 5min→目标频率 的聚合列计算 close_dev 特征（见桥接定义）。,5min->D close deviation,True,price_volume
bridge_5min_close_disp,D,Price-Volume / Non-Fundamental Packages,bridge,bridge,跨频桥接·5min→目标频率·收盘离散度,来源频率聚合后的收盘离散度，衡量收盘分布分散程度。,基于 5min→目标频率 的聚合列计算 close_disp 特征（见桥接定义）。,5min->D close dispersion,True,price_volume
bridge_5min_crowd_unwind,D,Price-Volume / Non-Fundamental Packages,bridge,bridge,跨频桥接·5min→目标频率·crowdunwind,来源频率聚合后的拥挤反转，刻画拥挤交易回撤风险。,基于 5min→目标频率 的聚合列计算 crowd_unwind 特征（见桥接定义）。,5min->D crowding unwind,True,price_volume
bridge_5min_hilo_spread,D,Price-Volume / Non-Fundamental Packages,bridge,bridge,跨频桥接·5min→目标频率·hilospread,来源频率聚合后的高低价差，反映区间波动强度。,基于 5min→目标频率 的聚合列计算 hilo_spread 特征（见桥接定义）。,5min->D high-low spread,True,price_volume
bridge_5min_liq_pressure,D,Price-Volume / Non-Fundamental Packages,bridge,bridge,跨频桥接·5min→目标频率·流动性压力,来源频率聚合后的流动性压力指标。,基于 5min→目标频率 的聚合列计算 liq_pressure 特征（见桥接定义）。,5min->D liquidity pressure,True,price_volume
bridge_5min_liq_pulse,D,Price-Volume / Non-Fundamental Packages,bridge,bridge,跨频桥接·5min→目标频率·流动性pulse,来源频率聚合后的流动性脉冲，衡量成交突发程度。,基于 5min→目标频率 的聚合列计算 liq_pulse 特征（见桥接定义）。,5min->D liquidity pulse,True,price_volume
bridge_5min_liq_trend_sync,D,Price-Volume / Non-Fundamental Packages,bridge,bridge,跨频桥接·5min→目标频率·流动性趋势同步,来源频率聚合后的流动性与趋势同步性。,基于 5min→目标频率 的聚合列计算 liq_trend_sync 特征（见桥接定义）。,5min->D liquidity-trend sync,True,price_volume
bridge_5min_micro_shift,D,Price-Volume / Non-Fundamental Packages,bridge,bridge,跨频桥接·5min→目标频率·微观shift,来源频率聚合后的微观状态切换强度。,基于 5min→目标频率 的聚合列计算 micro_shift 特征（见桥接定义）。,5min->D micro regime shift,True,price_volume
bridge_5min_noise,D,Price-Volume / Non-Fundamental Packages,bridge,bridge,跨频桥接·5min→目标频率·噪声,来源频率聚合后的收益噪声信号比，刻画短周期噪声占比。,基于 5min→目标频率 的聚合列计算 noise 特征（见桥接定义）。,5min->D noise-to-signal,True,price_volume
bridge_5min_ret3_std,D,Price-Volume / Non-Fundamental Packages,bridge,bridge,跨频桥接·5min→目标频率·ret3std,来源频率聚合后的中短收益波动强度。,基于 5min→目标频率 的聚合列计算 ret3_std 特征（见桥接定义）。,5min->D ret3 std,True,price_volume
bridge_5min_trend_carry,D,Price-Volume / Non-Fundamental Packages,bridge,bridge,跨频桥接·5min→目标频率·趋势延续,来源频率聚合后的趋势延续度，衡量趋势是否延续。,基于 5min→目标频率 的聚合列计算 trend_carry 特征（见桥接定义）。,5min->D trend carry,True,price_volume
bridge_5min_vol_comp,D,Price-Volume / Non-Fundamental Packages,bridge,bridge,跨频桥接·5min→目标频率·成交量comp,来源频率聚合后的波动压缩，刻画波动收敛状态。,基于 5min→目标频率 的聚合列计算 vol_comp 特征（见桥接定义）。,5min->D volatility compression,True,price_volume
bridge_60min_close_dev,D,Price-Volume / Non-Fundamental Packages,bridge,bridge,跨频桥接·60min→目标频率·收盘dev,来源频率聚合后的收盘偏离，衡量偏离均值程度。,基于 60min→目标频率 的聚合列计算 close_dev 特征（见桥接定义）。,60min->D close deviation,True,price_volume
bridge_60min_close_disp,D,Price-Volume / Non-Fundamental Packages,bridge,bridge,跨频桥接·60min→目标频率·收盘离散度,来源频率聚合后的收盘离散度，衡量收盘分布分散程度。,基于 60min→目标频率 的聚合列计算 close_disp 特征（见桥接定义）。,60min->D close dispersion,True,price_volume
bridge_60min_crowd_unwind,D,Price-Volume / Non-Fundamental Packages,bridge,bridge,跨频桥接·60min→目标频率·crowdunwind,来源频率聚合后的拥挤反转，刻画拥挤交易回撤风险。,基于 60min→目标频率 的聚合列计算 crowd_unwind 特征（见桥接定义）。,60min->D crowding unwind,True,price_volume
bridge_60min_hilo_spread,D,Price-Volume / Non-Fundamental Packages,bridge,bridge,跨频桥接·60min→目标频率·hilospread,来源频率聚合后的高低价差，反映区间波动强度。,基于 60min→目标频率 的聚合列计算 hilo_spread 特征（见桥接定义）。,60min->D high-low spread,True,price_volume
bridge_60min_liq_pressure,D,Price-Volume / Non-Fundamental Packages,bridge,bridge,跨频桥接·60min→目标频率·流动性压力,来源频率聚合后的流动性压力指标。,基于 60min→目标频率 的聚合列计算 liq_pressure 特征（见桥接定义）。,60min->D liquidity pressure,True,price_volume
bridge_60min_liq_pulse,D,Price-Volume / Non-Fundamental Packages,bridge,bridge,跨频桥接·60min→目标频率·流动性pulse,来源频率聚合后的流动性脉冲，衡量成交突发程度。,基于 60min→目标频率 的聚合列计算 liq_pulse 特征（见桥接定义）。,60min->D liquidity pulse,True,price_volume
bridge_60min_liq_trend_sync,D,Price-Volume / Non-Fundamental Packages,bridge,bridge,跨频桥接·60min→目标频率·流动性趋势同步,来源频率聚合后的流动性与趋势同步性。,基于 60min→目标频率 的聚合列计算 liq_trend_sync 特征（见桥接定义）。,60min->D liquidity-trend sync,True,price_volume
bridge_60min_micro_shift,D,Price-Volume / Non-Fundamental Packages,bridge,bridge,跨频桥接·60min→目标频率·微观shift,来源频率聚合后的微观状态切换强度。,基于 60min→目标频率 的聚合列计算 micro_shift 特征（见桥接定义）。,60min->D micro regime shift,True,price_volume
bridge_60min_noise,D,Price-Volume / Non-Fundamental Packages,bridge,bridge,跨频桥接·60min→目标频率·噪声,来源频率聚合后的收益噪声信号比，刻画短周期噪声占比。,基于 60min→目标频率 的聚合列计算 noise 特征（见桥接定义）。,60min->D noise-to-signal,True,price_volume
bridge_60min_ret3_std,D,Price-Volume / Non-Fundamental Packages,bridge,bridge,跨频桥接·60min→目标频率·ret3std,来源频率聚合后的中短收益波动强度。,基于 60min→目标频率 的聚合列计算 ret3_std 特征（见桥接定义）。,60min->D ret3 std,True,price_volume
bridge_60min_trend_carry,D,Price-Volume / Non-Fundamental Packages,bridge,bridge,跨频桥接·60min→目标频率·趋势延续,来源频率聚合后的趋势延续度，衡量趋势是否延续。,基于 60min→目标频率 的聚合列计算 trend_carry 特征（见桥接定义）。,60min->D trend carry,True,price_volume
bridge_60min_vol_comp,D,Price-Volume / Non-Fundamental Packages,bridge,bridge,跨频桥接·60min→目标频率·成交量comp,来源频率聚合后的波动压缩，刻画波动收敛状态。,基于 60min→目标频率 的聚合列计算 vol_comp 特征（见桥接定义）。,60min->D volatility compression,True,price_volume
