factor,freq,factor_group_label,factor_package,factor_packages,name_cn,meaning_cn,formula_cn,description,used_in_run,factor_group_key
fund_valuation_diff_fd_valuation_raw_01__fd_valuation_disp,5min,Fundamental Packages,fund_valuation,fund_valuation,基本面估值包·估值原始指标01-估值离散度差值,比较 估值原始指标01 与 估值离散度 的相对强弱，突出两者差异变化。,fund_valuation_diff_fd_valuation_raw_01__fd_valuation_disp = 列(估值原始指标01) - 列(估值离散度),fund_valuation diff fd_valuation_raw_01-fd_valuation_disp,True,fundamental
fund_valuation_diff_fd_valuation_raw_01__fd_valuation_raw_02,5min,Fundamental Packages,fund_valuation,fund_valuation,基本面估值包·估值原始指标01-估值原始指标02差值,比较 估值原始指标01 与 估值原始指标02 的相对强弱，突出两者差异变化。,fund_valuation_diff_fd_valuation_raw_01__fd_valuation_raw_02 = 列(估值原始指标01) - 列(估值原始指标02),fund_valuation diff fd_valuation_raw_01-fd_valuation_raw_02,True,fundamental
fund_valuation_diff_fd_valuation_raw_01__fd_valuation_raw_03,5min,Fundamental Packages,fund_valuation,fund_valuation,基本面估值包·估值原始指标01-估值原始指标03差值,比较 估值原始指标01 与 估值原始指标03 的相对强弱，突出两者差异变化。,fund_valuation_diff_fd_valuation_raw_01__fd_valuation_raw_03 = 列(估值原始指标01) - 列(估值原始指标03),fund_valuation diff fd_valuation_raw_01-fd_valuation_raw_03,True,fundamental
fund_valuation_diff_fd_valuation_raw_01__fd_valuation_raw_04,5min,Fundamental Packages,fund_valuation,fund_valuation,基本面估值包·估值原始指标01-估值原始指标04差值,比较 估值原始指标01 与 估值原始指标04 的相对强弱，突出两者差异变化。,fund_valuation_diff_fd_valuation_raw_01__fd_valuation_raw_04 = 列(估值原始指标01) - 列(估值原始指标04),fund_valuation diff fd_valuation_raw_01-fd_valuation_raw_04,True,fundamental
fund_valuation_diff_fd_valuation_raw_01__fd_valuation_raw_05,5min,Fundamental Packages,fund_valuation,fund_valuation,基本面估值包·估值原始指标01-估值原始指标05差值,比较 估值原始指标01 与 估值原始指标05 的相对强弱，突出两者差异变化。,fund_valuation_diff_fd_valuation_raw_01__fd_valuation_raw_05 = 列(估值原始指标01) - 列(估值原始指标05),fund_valuation diff fd_valuation_raw_01-fd_valuation_raw_05,True,fundamental
fund_valuation_diff_fd_valuation_raw_01__fd_valuation_score,5min,Fundamental Packages,fund_valuation,fund_valuation,基本面估值包·估值原始指标01-估值综合评分差值,比较 估值原始指标01 与 估值综合评分 的相对强弱，突出两者差异变化。,fund_valuation_diff_fd_valuation_raw_01__fd_valuation_score = 列(估值原始指标01) - 列(估值综合评分),fund_valuation diff fd_valuation_raw_01-fd_valuation_score,True,fundamental
fund_valuation_diff_fd_valuation_raw_01__fd_valuation_trend,5min,Fundamental Packages,fund_valuation,fund_valuation,基本面估值包·估值原始指标01-估值趋势变化差值,比较 估值原始指标01 与 估值趋势变化 的相对强弱，突出两者差异变化。,fund_valuation_diff_fd_valuation_raw_01__fd_valuation_trend = 列(估值原始指标01) - 列(估值趋势变化),fund_valuation diff fd_valuation_raw_01-fd_valuation_trend,True,fundamental
fund_valuation_diff_fd_valuation_raw_02__fd_valuation_disp,5min,Fundamental Packages,fund_valuation,fund_valuation,基本面估值包·估值原始指标02-估值离散度差值,比较 估值原始指标02 与 估值离散度 的相对强弱，突出两者差异变化。,fund_valuation_diff_fd_valuation_raw_02__fd_valuation_disp = 列(估值原始指标02) - 列(估值离散度),fund_valuation diff fd_valuation_raw_02-fd_valuation_disp,True,fundamental
fund_valuation_diff_fd_valuation_raw_02__fd_valuation_raw_03,5min,Fundamental Packages,fund_valuation,fund_valuation,基本面估值包·估值原始指标02-估值原始指标03差值,比较 估值原始指标02 与 估值原始指标03 的相对强弱，突出两者差异变化。,fund_valuation_diff_fd_valuation_raw_02__fd_valuation_raw_03 = 列(估值原始指标02) - 列(估值原始指标03),fund_valuation diff fd_valuation_raw_02-fd_valuation_raw_03,True,fundamental
fund_valuation_diff_fd_valuation_raw_02__fd_valuation_raw_04,5min,Fundamental Packages,fund_valuation,fund_valuation,基本面估值包·估值原始指标02-估值原始指标04差值,比较 估值原始指标02 与 估值原始指标04 的相对强弱，突出两者差异变化。,fund_valuation_diff_fd_valuation_raw_02__fd_valuation_raw_04 = 列(估值原始指标02) - 列(估值原始指标04),fund_valuation diff fd_valuation_raw_02-fd_valuation_raw_04,True,fundamental
