factor,freq,factor_group_label,factor_package,factor_packages,name_cn,meaning_cn,formula_cn,description,used_in_run,factor_group_key
amihud_reversal_20,D,Price-Volume / Non-Fundamental Packages,reversal,reversal,流动性·amihudreversal20,流动性因子，刻画：illiquidity reversal,按定义计算：illiquidity reversal,illiquidity reversal,False,price_volume
g_reversal_diff_body_ratio__close_pos,D,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·bodyratio-收盘pos差值,比较 bodyratio 与 收盘pos 的相对强弱，突出两者差异变化。,g_reversal_diff_body_ratio__close_pos = 列(bodyratio) - 列(收盘pos),g_reversal diff body_ratio-close_pos,False,price_volume
g_reversal_diff_overnight_gap__body_ratio,D,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·overnight偏离-bodyratio差值,比较 overnight偏离 与 bodyratio 的相对强弱，突出两者差异变化。,g_reversal_diff_overnight_gap__body_ratio = 列(overnight偏离) - 列(bodyratio),g_reversal diff overnight_gap-body_ratio,False,price_volume
g_reversal_diff_overnight_gap__close_pos,D,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·overnight偏离-收盘pos差值,比较 overnight偏离 与 收盘pos 的相对强弱，突出两者差异变化。,g_reversal_diff_overnight_gap__close_pos = 列(overnight偏离) - 列(收盘pos),g_reversal diff overnight_gap-close_pos,False,price_volume
g_reversal_diff_ret_1d__body_ratio,D,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·收益1d-bodyratio差值,比较 收益1d 与 bodyratio 的相对强弱，突出两者差异变化。,g_reversal_diff_ret_1d__body_ratio = 列(收益1d) - 列(bodyratio),g_reversal diff ret_1d-body_ratio,False,price_volume
g_reversal_diff_ret_1d__close_pos,D,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·收益1d-收盘pos差值,比较 收益1d 与 收盘pos 的相对强弱，突出两者差异变化。,g_reversal_diff_ret_1d__close_pos = 列(收益1d) - 列(收盘pos),g_reversal diff ret_1d-close_pos,False,price_volume
g_reversal_diff_ret_1d__overnight_gap,D,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·收益1d-overnight偏离差值,比较 收益1d 与 overnight偏离 的相对强弱，突出两者差异变化。,g_reversal_diff_ret_1d__overnight_gap = 列(收益1d) - 列(overnight偏离),g_reversal diff ret_1d-overnight_gap,False,price_volume
g_reversal_diff_ret_1d__ret_3d,D,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·收益1d-收益3d差值,比较 收益1d 与 收益3d 的相对强弱，突出两者差异变化。,g_reversal_diff_ret_1d__ret_3d = 列(收益1d) - 列(收益3d),g_reversal diff ret_1d-ret_3d,False,price_volume
g_reversal_diff_ret_1d__ret_5d,D,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·收益1d-收益5d差值,比较 收益1d 与 收益5d 的相对强弱，突出两者差异变化。,g_reversal_diff_ret_1d__ret_5d = 列(收益1d) - 列(收益5d),g_reversal diff ret_1d-ret_5d,False,price_volume
g_reversal_diff_ret_3d__body_ratio,D,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·收益3d-bodyratio差值,比较 收益3d 与 bodyratio 的相对强弱，突出两者差异变化。,g_reversal_diff_ret_3d__body_ratio = 列(收益3d) - 列(bodyratio),g_reversal diff ret_3d-body_ratio,False,price_volume
g_reversal_diff_ret_3d__close_pos,D,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·收益3d-收盘pos差值,比较 收益3d 与 收盘pos 的相对强弱，突出两者差异变化。,g_reversal_diff_ret_3d__close_pos = 列(收益3d) - 列(收盘pos),g_reversal diff ret_3d-close_pos,False,price_volume
g_reversal_diff_ret_3d__overnight_gap,D,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·收益3d-overnight偏离差值,比较 收益3d 与 overnight偏离 的相对强弱，突出两者差异变化。,g_reversal_diff_ret_3d__overnight_gap = 列(收益3d) - 列(overnight偏离),g_reversal diff ret_3d-overnight_gap,False,price_volume
g_reversal_diff_ret_3d__ret_5d,D,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·收益3d-收益5d差值,比较 收益3d 与 收益5d 的相对强弱，突出两者差异变化。,g_reversal_diff_ret_3d__ret_5d = 列(收益3d) - 列(收益5d),g_reversal diff ret_3d-ret_5d,False,price_volume
g_reversal_diff_ret_5d__body_ratio,D,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·收益5d-bodyratio差值,比较 收益5d 与 bodyratio 的相对强弱，突出两者差异变化。,g_reversal_diff_ret_5d__body_ratio = 列(收益5d) - 列(bodyratio),g_reversal diff ret_5d-body_ratio,False,price_volume
g_reversal_diff_ret_5d__close_pos,D,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·收益5d-收盘pos差值,比较 收益5d 与 收盘pos 的相对强弱，突出两者差异变化。,g_reversal_diff_ret_5d__close_pos = 列(收益5d) - 列(收盘pos),g_reversal diff ret_5d-close_pos,False,price_volume
g_reversal_diff_ret_5d__overnight_gap,D,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·收益5d-overnight偏离差值,比较 收益5d 与 overnight偏离 的相对强弱，突出两者差异变化。,g_reversal_diff_ret_5d__overnight_gap = 列(收益5d) - 列(overnight偏离),g_reversal diff ret_5d-overnight_gap,False,price_volume
g_reversal_lvl_body_ratio,D,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·bodyratio原值,直接使用 bodyratio 作为 量价反转包 信号，反映该基础指标的绝对水平。,g_reversal_lvl_body_ratio = 列(bodyratio),g_reversal level body_ratio,False,price_volume
g_reversal_lvl_close_pos,D,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·收盘pos原值,直接使用 收盘pos 作为 量价反转包 信号，反映该基础指标的绝对水平。,g_reversal_lvl_close_pos = 列(收盘pos),g_reversal level close_pos,False,price_volume
g_reversal_lvl_last30_momentum,D,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·last30动量原值,直接使用 last30动量 作为 量价反转包 信号，反映该基础指标的绝对水平。,g_reversal_lvl_last30_momentum = 列(last30动量),g_reversal level last30_momentum,False,price_volume
g_reversal_lvl_morning_momentum_30m,D,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·morning动量30m原值,直接使用 morning动量30m 作为 量价反转包 信号，反映该基础指标的绝对水平。,g_reversal_lvl_morning_momentum_30m = 列(morning动量30m),g_reversal level morning_momentum_30m,False,price_volume
g_reversal_lvl_overnight_gap,D,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·overnight偏离原值,直接使用 overnight偏离 作为 量价反转包 信号，反映该基础指标的绝对水平。,g_reversal_lvl_overnight_gap = 列(overnight偏离),g_reversal level overnight_gap,False,price_volume
g_reversal_lvl_ret_1d,D,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·收益1d原值,直接使用 收益1d 作为 量价反转包 信号，反映该基础指标的绝对水平。,g_reversal_lvl_ret_1d = 列(收益1d),g_reversal level ret_1d,False,price_volume
g_reversal_lvl_ret_3d,D,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·收益3d原值,直接使用 收益3d 作为 量价反转包 信号，反映该基础指标的绝对水平。,g_reversal_lvl_ret_3d = 列(收益3d),g_reversal level ret_3d,False,price_volume
g_reversal_lvl_ret_5d,D,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·收益5d原值,直接使用 收益5d 作为 量价反转包 信号，反映该基础指标的绝对水平。,g_reversal_lvl_ret_5d = 列(收益5d),g_reversal level ret_5d,False,price_volume
g_reversal_lvl_signed_vol_imbalance_5m,D,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·signed成交量imbalance5m原值,直接使用 signed成交量imbalance5m 作为 量价反转包 信号，反映该基础指标的绝对水平。,g_reversal_lvl_signed_vol_imbalance_5m = 列(signed成交量imbalance5m),g_reversal level signed_vol_imbalance_5m,False,price_volume
g_reversal_lvl_vwap30_vs_day,D,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·vwap30vsday原值,直接使用 vwap30vsday 作为 量价反转包 信号，反映该基础指标的绝对水平。,g_reversal_lvl_vwap30_vs_day = 列(vwap30vsday),g_reversal level vwap30_vs_day,False,price_volume
g_reversal_neg_body_ratio,D,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·bodyratio反向,对 bodyratio 取负，构造方向相反的因子暴露。,g_reversal_neg_body_ratio = -列(bodyratio),g_reversal negative body_ratio,False,price_volume
g_reversal_neg_close_pos,D,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·收盘pos反向,对 收盘pos 取负，构造方向相反的因子暴露。,g_reversal_neg_close_pos = -列(收盘pos),g_reversal negative close_pos,False,price_volume
g_reversal_neg_last30_momentum,D,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·last30动量反向,对 last30动量 取负，构造方向相反的因子暴露。,g_reversal_neg_last30_momentum = -列(last30动量),g_reversal negative last30_momentum,False,price_volume
g_reversal_neg_morning_momentum_30m,D,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·morning动量30m反向,对 morning动量30m 取负，构造方向相反的因子暴露。,g_reversal_neg_morning_momentum_30m = -列(morning动量30m),g_reversal negative morning_momentum_30m,False,price_volume
g_reversal_neg_overnight_gap,D,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·overnight偏离反向,对 overnight偏离 取负，构造方向相反的因子暴露。,g_reversal_neg_overnight_gap = -列(overnight偏离),g_reversal negative overnight_gap,False,price_volume
g_reversal_neg_ret_1d,D,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·收益1d反向,对 收益1d 取负，构造方向相反的因子暴露。,g_reversal_neg_ret_1d = -列(收益1d),g_reversal negative ret_1d,False,price_volume
g_reversal_neg_ret_3d,D,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·收益3d反向,对 收益3d 取负，构造方向相反的因子暴露。,g_reversal_neg_ret_3d = -列(收益3d),g_reversal negative ret_3d,False,price_volume
g_reversal_neg_ret_5d,D,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·收益5d反向,对 收益5d 取负，构造方向相反的因子暴露。,g_reversal_neg_ret_5d = -列(收益5d),g_reversal negative ret_5d,False,price_volume
g_reversal_neg_signed_vol_imbalance_5m,D,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·signed成交量imbalance5m反向,对 signed成交量imbalance5m 取负，构造方向相反的因子暴露。,g_reversal_neg_signed_vol_imbalance_5m = -列(signed成交量imbalance5m),g_reversal negative signed_vol_imbalance_5m,False,price_volume
