factor,freq,factor_group_label,factor_package,factor_packages,name_cn,meaning_cn,formula_cn,description,used_in_run,factor_group_key
fund_profitability_diff_fd_profitability_raw_01__fd_profitability_disp,5min,Fundamental Packages,fund_profitability,fund_profitability,基本面盈利能力包·盈利能力原始指标01-盈利能力离散度差值,比较 盈利能力原始指标01 与 盈利能力离散度 的相对强弱，突出两者差异变化。,fund_profitability_diff_fd_profitability_raw_01__fd_profitability_disp = 列(盈利能力原始指标01) - 列(盈利能力离散度),fund_profitability diff fd_profitability_raw_01-fd_profitability_disp,True,fundamental
fund_profitability_diff_fd_profitability_raw_01__fd_profitability_raw_02,5min,Fundamental Packages,fund_profitability,fund_profitability,基本面盈利能力包·盈利能力原始指标01-盈利能力原始指标02差值,比较 盈利能力原始指标01 与 盈利能力原始指标02 的相对强弱，突出两者差异变化。,fund_profitability_diff_fd_profitability_raw_01__fd_profitability_raw_02 = 列(盈利能力原始指标01) - 列(盈利能力原始指标02),fund_profitability diff fd_profitability_raw_01-fd_profitability_raw_02,True,fundamental
fund_profitability_diff_fd_profitability_raw_01__fd_profitability_raw_03,5min,Fundamental Packages,fund_profitability,fund_profitability,基本面盈利能力包·盈利能力原始指标01-盈利能力原始指标03差值,比较 盈利能力原始指标01 与 盈利能力原始指标03 的相对强弱，突出两者差异变化。,fund_profitability_diff_fd_profitability_raw_01__fd_profitability_raw_03 = 列(盈利能力原始指标01) - 列(盈利能力原始指标03),fund_profitability diff fd_profitability_raw_01-fd_profitability_raw_03,True,fundamental
fund_profitability_diff_fd_profitability_raw_01__fd_profitability_raw_04,5min,Fundamental Packages,fund_profitability,fund_profitability,基本面盈利能力包·盈利能力原始指标01-盈利能力原始指标04差值,比较 盈利能力原始指标01 与 盈利能力原始指标04 的相对强弱，突出两者差异变化。,fund_profitability_diff_fd_profitability_raw_01__fd_profitability_raw_04 = 列(盈利能力原始指标01) - 列(盈利能力原始指标04),fund_profitability diff fd_profitability_raw_01-fd_profitability_raw_04,True,fundamental
fund_profitability_diff_fd_profitability_raw_01__fd_profitability_raw_05,5min,Fundamental Packages,fund_profitability,fund_profitability,基本面盈利能力包·盈利能力原始指标01-盈利能力原始指标05差值,比较 盈利能力原始指标01 与 盈利能力原始指标05 的相对强弱，突出两者差异变化。,fund_profitability_diff_fd_profitability_raw_01__fd_profitability_raw_05 = 列(盈利能力原始指标01) - 列(盈利能力原始指标05),fund_profitability diff fd_profitability_raw_01-fd_profitability_raw_05,True,fundamental
fund_profitability_diff_fd_profitability_raw_01__fd_profitability_score,5min,Fundamental Packages,fund_profitability,fund_profitability,基本面盈利能力包·盈利能力原始指标01-盈利能力综合评分差值,比较 盈利能力原始指标01 与 盈利能力综合评分 的相对强弱，突出两者差异变化。,fund_profitability_diff_fd_profitability_raw_01__fd_profitability_score = 列(盈利能力原始指标01) - 列(盈利能力综合评分),fund_profitability diff fd_profitability_raw_01-fd_profitability_score,True,fundamental
fund_profitability_diff_fd_profitability_raw_01__fd_profitability_trend,5min,Fundamental Packages,fund_profitability,fund_profitability,基本面盈利能力包·盈利能力原始指标01-盈利能力趋势变化差值,比较 盈利能力原始指标01 与 盈利能力趋势变化 的相对强弱，突出两者差异变化。,fund_profitability_diff_fd_profitability_raw_01__fd_profitability_trend = 列(盈利能力原始指标01) - 列(盈利能力趋势变化),fund_profitability diff fd_profitability_raw_01-fd_profitability_trend,True,fundamental
fund_profitability_diff_fd_profitability_raw_02__fd_profitability_disp,5min,Fundamental Packages,fund_profitability,fund_profitability,基本面盈利能力包·盈利能力原始指标02-盈利能力离散度差值,比较 盈利能力原始指标02 与 盈利能力离散度 的相对强弱，突出两者差异变化。,fund_profitability_diff_fd_profitability_raw_02__fd_profitability_disp = 列(盈利能力原始指标02) - 列(盈利能力离散度),fund_profitability diff fd_profitability_raw_02-fd_profitability_disp,True,fundamental
fund_profitability_diff_fd_profitability_raw_02__fd_profitability_raw_03,5min,Fundamental Packages,fund_profitability,fund_profitability,基本面盈利能力包·盈利能力原始指标02-盈利能力原始指标03差值,比较 盈利能力原始指标02 与 盈利能力原始指标03 的相对强弱，突出两者差异变化。,fund_profitability_diff_fd_profitability_raw_02__fd_profitability_raw_03 = 列(盈利能力原始指标02) - 列(盈利能力原始指标03),fund_profitability diff fd_profitability_raw_02-fd_profitability_raw_03,True,fundamental
fund_profitability_diff_fd_profitability_raw_02__fd_profitability_raw_04,5min,Fundamental Packages,fund_profitability,fund_profitability,基本面盈利能力包·盈利能力原始指标02-盈利能力原始指标04差值,比较 盈利能力原始指标02 与 盈利能力原始指标04 的相对强弱，突出两者差异变化。,fund_profitability_diff_fd_profitability_raw_02__fd_profitability_raw_04 = 列(盈利能力原始指标02) - 列(盈利能力原始指标04),fund_profitability diff fd_profitability_raw_02-fd_profitability_raw_04,True,fundamental
fund_profitability_diff_fd_profitability_raw_02__fd_profitability_raw_05,5min,Fundamental Packages,fund_profitability,fund_profitability,基本面盈利能力包·盈利能力原始指标02-盈利能力原始指标05差值,比较 盈利能力原始指标02 与 盈利能力原始指标05 的相对强弱，突出两者差异变化。,fund_profitability_diff_fd_profitability_raw_02__fd_profitability_raw_05 = 列(盈利能力原始指标02) - 列(盈利能力原始指标05),fund_profitability diff fd_profitability_raw_02-fd_profitability_raw_05,True,fundamental
fund_profitability_diff_fd_profitability_raw_02__fd_profitability_score,5min,Fundamental Packages,fund_profitability,fund_profitability,基本面盈利能力包·盈利能力原始指标02-盈利能力综合评分差值,比较 盈利能力原始指标02 与 盈利能力综合评分 的相对强弱，突出两者差异变化。,fund_profitability_diff_fd_profitability_raw_02__fd_profitability_score = 列(盈利能力原始指标02) - 列(盈利能力综合评分),fund_profitability diff fd_profitability_raw_02-fd_profitability_score,True,fundamental
fund_profitability_diff_fd_profitability_raw_02__fd_profitability_trend,5min,Fundamental Packages,fund_profitability,fund_profitability,基本面盈利能力包·盈利能力原始指标02-盈利能力趋势变化差值,比较 盈利能力原始指标02 与 盈利能力趋势变化 的相对强弱，突出两者差异变化。,fund_profitability_diff_fd_profitability_raw_02__fd_profitability_trend = 列(盈利能力原始指标02) - 列(盈利能力趋势变化),fund_profitability diff fd_profitability_raw_02-fd_profitability_trend,True,fundamental
fund_profitability_diff_fd_profitability_raw_03__fd_profitability_disp,5min,Fundamental Packages,fund_profitability,fund_profitability,基本面盈利能力包·盈利能力原始指标03-盈利能力离散度差值,比较 盈利能力原始指标03 与 盈利能力离散度 的相对强弱，突出两者差异变化。,fund_profitability_diff_fd_profitability_raw_03__fd_profitability_disp = 列(盈利能力原始指标03) - 列(盈利能力离散度),fund_profitability diff fd_profitability_raw_03-fd_profitability_disp,True,fundamental
fund_profitability_diff_fd_profitability_raw_03__fd_profitability_raw_04,5min,Fundamental Packages,fund_profitability,fund_profitability,基本面盈利能力包·盈利能力原始指标03-盈利能力原始指标04差值,比较 盈利能力原始指标03 与 盈利能力原始指标04 的相对强弱，突出两者差异变化。,fund_profitability_diff_fd_profitability_raw_03__fd_profitability_raw_04 = 列(盈利能力原始指标03) - 列(盈利能力原始指标04),fund_profitability diff fd_profitability_raw_03-fd_profitability_raw_04,True,fundamental
fund_profitability_diff_fd_profitability_raw_03__fd_profitability_raw_05,5min,Fundamental Packages,fund_profitability,fund_profitability,基本面盈利能力包·盈利能力原始指标03-盈利能力原始指标05差值,比较 盈利能力原始指标03 与 盈利能力原始指标05 的相对强弱，突出两者差异变化。,fund_profitability_diff_fd_profitability_raw_03__fd_profitability_raw_05 = 列(盈利能力原始指标03) - 列(盈利能力原始指标05),fund_profitability diff fd_profitability_raw_03-fd_profitability_raw_05,True,fundamental
fund_profitability_diff_fd_profitability_raw_03__fd_profitability_score,5min,Fundamental Packages,fund_profitability,fund_profitability,基本面盈利能力包·盈利能力原始指标03-盈利能力综合评分差值,比较 盈利能力原始指标03 与 盈利能力综合评分 的相对强弱，突出两者差异变化。,fund_profitability_diff_fd_profitability_raw_03__fd_profitability_score = 列(盈利能力原始指标03) - 列(盈利能力综合评分),fund_profitability diff fd_profitability_raw_03-fd_profitability_score,True,fundamental
fund_profitability_diff_fd_profitability_raw_03__fd_profitability_trend,5min,Fundamental Packages,fund_profitability,fund_profitability,基本面盈利能力包·盈利能力原始指标03-盈利能力趋势变化差值,比较 盈利能力原始指标03 与 盈利能力趋势变化 的相对强弱，突出两者差异变化。,fund_profitability_diff_fd_profitability_raw_03__fd_profitability_trend = 列(盈利能力原始指标03) - 列(盈利能力趋势变化),fund_profitability diff fd_profitability_raw_03-fd_profitability_trend,True,fundamental
fund_profitability_diff_fd_profitability_raw_04__fd_profitability_disp,5min,Fundamental Packages,fund_profitability,fund_profitability,基本面盈利能力包·盈利能力原始指标04-盈利能力离散度差值,比较 盈利能力原始指标04 与 盈利能力离散度 的相对强弱，突出两者差异变化。,fund_profitability_diff_fd_profitability_raw_04__fd_profitability_disp = 列(盈利能力原始指标04) - 列(盈利能力离散度),fund_profitability diff fd_profitability_raw_04-fd_profitability_disp,True,fundamental
fund_profitability_diff_fd_profitability_raw_04__fd_profitability_raw_05,5min,Fundamental Packages,fund_profitability,fund_profitability,基本面盈利能力包·盈利能力原始指标04-盈利能力原始指标05差值,比较 盈利能力原始指标04 与 盈利能力原始指标05 的相对强弱，突出两者差异变化。,fund_profitability_diff_fd_profitability_raw_04__fd_profitability_raw_05 = 列(盈利能力原始指标04) - 列(盈利能力原始指标05),fund_profitability diff fd_profitability_raw_04-fd_profitability_raw_05,True,fundamental
fund_profitability_diff_fd_profitability_raw_04__fd_profitability_score,5min,Fundamental Packages,fund_profitability,fund_profitability,基本面盈利能力包·盈利能力原始指标04-盈利能力综合评分差值,比较 盈利能力原始指标04 与 盈利能力综合评分 的相对强弱，突出两者差异变化。,fund_profitability_diff_fd_profitability_raw_04__fd_profitability_score = 列(盈利能力原始指标04) - 列(盈利能力综合评分),fund_profitability diff fd_profitability_raw_04-fd_profitability_score,True,fundamental
fund_profitability_diff_fd_profitability_raw_04__fd_profitability_trend,5min,Fundamental Packages,fund_profitability,fund_profitability,基本面盈利能力包·盈利能力原始指标04-盈利能力趋势变化差值,比较 盈利能力原始指标04 与 盈利能力趋势变化 的相对强弱，突出两者差异变化。,fund_profitability_diff_fd_profitability_raw_04__fd_profitability_trend = 列(盈利能力原始指标04) - 列(盈利能力趋势变化),fund_profitability diff fd_profitability_raw_04-fd_profitability_trend,True,fundamental
