factor,freq,factor_group_label,factor_package,factor_packages,name_cn,meaning_cn,formula_cn,description,used_in_run,factor_group_key
breakout_20,D,Price-Volume / Non-Fundamental Packages,trend,trend,趋势动量·突破20,趋势动量因子，刻画：收盘/rolling high20 - 1,按定义计算：收盘/rolling high20 - 1,close/rolling high20 - 1,False,price_volume
breakout_strength_20,D,Price-Volume / Non-Fundamental Packages,trend,trend,趋势动量·突破strength20,趋势动量因子，刻画：突破 normalized 按 ATR,按定义计算：突破 normalized 按 ATR,breakout normalized by ATR,False,price_volume
g_trend_diff_ret_10d__ma_gap_5,D,Price-Volume / Non-Fundamental Packages,trend,trend,量价趋势包·收益10d-均线偏离5差值,比较 收益10d 与 均线偏离5 的相对强弱，突出两者差异变化。,g_trend_diff_ret_10d__ma_gap_5 = 列(收益10d) - 列(均线偏离5),g_trend diff ret_10d-ma_gap_5,False,price_volume
g_trend_diff_ret_10d__ret_20d,D,Price-Volume / Non-Fundamental Packages,trend,trend,量价趋势包·收益10d-收益20d差值,比较 收益10d 与 收益20d 的相对强弱，突出两者差异变化。,g_trend_diff_ret_10d__ret_20d = 列(收益10d) - 列(收益20d),g_trend diff ret_10d-ret_20d,False,price_volume
g_trend_diff_ret_1d__ma_gap_5,D,Price-Volume / Non-Fundamental Packages,trend,trend,量价趋势包·收益1d-均线偏离5差值,比较 收益1d 与 均线偏离5 的相对强弱，突出两者差异变化。,g_trend_diff_ret_1d__ma_gap_5 = 列(收益1d) - 列(均线偏离5),g_trend diff ret_1d-ma_gap_5,False,price_volume
g_trend_diff_ret_1d__ret_10d,D,Price-Volume / Non-Fundamental Packages,trend,trend,量价趋势包·收益1d-收益10d差值,比较 收益1d 与 收益10d 的相对强弱，突出两者差异变化。,g_trend_diff_ret_1d__ret_10d = 列(收益1d) - 列(收益10d),g_trend diff ret_1d-ret_10d,False,price_volume
g_trend_diff_ret_1d__ret_20d,D,Price-Volume / Non-Fundamental Packages,trend,trend,量价趋势包·收益1d-收益20d差值,比较 收益1d 与 收益20d 的相对强弱，突出两者差异变化。,g_trend_diff_ret_1d__ret_20d = 列(收益1d) - 列(收益20d),g_trend diff ret_1d-ret_20d,False,price_volume
g_trend_diff_ret_1d__ret_3d,D,Price-Volume / Non-Fundamental Packages,trend,trend,量价趋势包·收益1d-收益3d差值,比较 收益1d 与 收益3d 的相对强弱，突出两者差异变化。,g_trend_diff_ret_1d__ret_3d = 列(收益1d) - 列(收益3d),g_trend diff ret_1d-ret_3d,False,price_volume
g_trend_diff_ret_1d__ret_5d,D,Price-Volume / Non-Fundamental Packages,trend,trend,量价趋势包·收益1d-收益5d差值,比较 收益1d 与 收益5d 的相对强弱，突出两者差异变化。,g_trend_diff_ret_1d__ret_5d = 列(收益1d) - 列(收益5d),g_trend diff ret_1d-ret_5d,False,price_volume
g_trend_diff_ret_20d__ma_gap_5,D,Price-Volume / Non-Fundamental Packages,trend,trend,量价趋势包·收益20d-均线偏离5差值,比较 收益20d 与 均线偏离5 的相对强弱，突出两者差异变化。,g_trend_diff_ret_20d__ma_gap_5 = 列(收益20d) - 列(均线偏离5),g_trend diff ret_20d-ma_gap_5,False,price_volume
g_trend_diff_ret_3d__ma_gap_5,D,Price-Volume / Non-Fundamental Packages,trend,trend,量价趋势包·收益3d-均线偏离5差值,比较 收益3d 与 均线偏离5 的相对强弱，突出两者差异变化。,g_trend_diff_ret_3d__ma_gap_5 = 列(收益3d) - 列(均线偏离5),g_trend diff ret_3d-ma_gap_5,False,price_volume
g_trend_diff_ret_3d__ret_10d,D,Price-Volume / Non-Fundamental Packages,trend,trend,量价趋势包·收益3d-收益10d差值,比较 收益3d 与 收益10d 的相对强弱，突出两者差异变化。,g_trend_diff_ret_3d__ret_10d = 列(收益3d) - 列(收益10d),g_trend diff ret_3d-ret_10d,False,price_volume
g_trend_diff_ret_3d__ret_20d,D,Price-Volume / Non-Fundamental Packages,trend,trend,量价趋势包·收益3d-收益20d差值,比较 收益3d 与 收益20d 的相对强弱，突出两者差异变化。,g_trend_diff_ret_3d__ret_20d = 列(收益3d) - 列(收益20d),g_trend diff ret_3d-ret_20d,False,price_volume
