factor,freq,factor_group_label,factor_package,factor_packages,name_cn,meaning_cn,formula_cn,description,used_in_run,factor_group_key
amihud_1d,D,Price-Volume / Non-Fundamental Packages,auto_panel,auto_panel,自动透传·amihud1d,自动透传因子，刻画：auto passthrough: amihud1d,按定义计算：auto passthrough: amihud1d,auto passthrough: amihud_1d,False,price_volume
amihud_20,D,Price-Volume / Non-Fundamental Packages,liquidity,"liquidity,context",流动性·amihud20,流动性因子，刻画：取负 amihud20,按定义计算：取负 amihud20,negative amihud20,False,price_volume
amihud_reversal_20,D,Price-Volume / Non-Fundamental Packages,reversal,reversal,流动性·amihudreversal20,流动性因子，刻画：illiquidity reversal,按定义计算：illiquidity reversal,illiquidity reversal,False,price_volume
amount,D,Price-Volume / Non-Fundamental Packages,auto_panel,auto_panel,自动透传·成交额,自动透传因子，刻画：auto passthrough: 成交额,按定义计算：auto passthrough: 成交额,auto passthrough: amount,False,price_volume
amount_ma20,D,Price-Volume / Non-Fundamental Packages,auto_panel,auto_panel,自动透传·成交额ma20,自动透传因子，刻画：auto passthrough: 成交额ma20,按定义计算：auto passthrough: 成交额ma20,auto passthrough: amount_ma20,False,price_volume
amount_ratio_20,D,Price-Volume / Non-Fundamental Packages,liquidity,liquidity,流动性·成交额比率20,流动性因子，刻画：成交额/成交额ma20,按定义计算：成交额/成交额ma20,amount/amount_ma20,False,price_volume
atr14,D,Price-Volume / Non-Fundamental Packages,auto_panel,auto_panel,自动透传·atr14,自动透传因子，刻画：auto passthrough: atr14,按定义计算：auto passthrough: atr14,auto passthrough: atr14,False,price_volume
atr_norm_14,D,Price-Volume / Non-Fundamental Packages,volatility,volatility,波动率·atr标准化14,波动率因子，刻画：atr14 标准化 取负,按定义计算：atr14 标准化 取负,atr14 norm negative,False,price_volume
barra_beta_proxy,D,Price-Volume / Non-Fundamental Packages,auto_panel,auto_panel,自动透传·barrabeta代理,自动透传因子，刻画：auto passthrough: barrabeta代理,按定义计算：auto passthrough: barrabeta代理,auto passthrough: barra_beta_proxy,False,price_volume
barra_liquidity_proxy,D,Price-Volume / Non-Fundamental Packages,auto_panel,auto_panel,自动透传·barra流动性代理,自动透传因子，刻画：auto passthrough: barra流动性代理,按定义计算：auto passthrough: barra流动性代理,auto passthrough: barra_liquidity_proxy,False,price_volume
barra_momentum_proxy,D,Price-Volume / Non-Fundamental Packages,auto_panel,auto_panel,自动透传·barra动量代理,自动透传因子，刻画：auto passthrough: barra动量代理,按定义计算：auto passthrough: barra动量代理,auto passthrough: barra_momentum_proxy,False,price_volume
barra_size_proxy,D,Price-Volume / Non-Fundamental Packages,auto_panel,auto_panel,自动透传·barrasize代理,自动透传因子，刻画：auto passthrough: barrasize代理,按定义计算：auto passthrough: barrasize代理,auto passthrough: barra_size_proxy,False,price_volume
