factor,freq,factor_group_label,factor_package,factor_packages,name_cn,meaning_cn,formula_cn,description,used_in_run,factor_group_key
fund_hf_fusion_diff_fd_hf_growth_flow__fd_hf_growth_intraday,D,Fundamental Packages,fund_hf_fusion,fund_hf_fusion,基本面-高频融合包·成长高频资金流-成长高频日内差值,比较 成长高频资金流 与 成长高频日内 的相对强弱，突出两者差异变化。,fund_hf_fusion_diff_fd_hf_growth_flow__fd_hf_growth_intraday = 列(成长高频资金流) - 列(成长高频日内),fund_hf_fusion diff fd_hf_growth_flow-fd_hf_growth_intraday,True,fundamental
fund_hf_fusion_diff_fd_hf_growth_flow__fd_hf_growth_jump,D,Fundamental Packages,fund_hf_fusion,fund_hf_fusion,基本面-高频融合包·成长高频资金流-成长高频跳跃差值,比较 成长高频资金流 与 成长高频跳跃 的相对强弱，突出两者差异变化。,fund_hf_fusion_diff_fd_hf_growth_flow__fd_hf_growth_jump = 列(成长高频资金流) - 列(成长高频跳跃),fund_hf_fusion diff fd_hf_growth_flow-fd_hf_growth_jump,True,fundamental
fund_hf_fusion_diff_fd_hf_growth_flow__fd_hf_growth_sentiment,D,Fundamental Packages,fund_hf_fusion,fund_hf_fusion,基本面-高频融合包·成长高频资金流-成长高频情绪差值,比较 成长高频资金流 与 成长高频情绪 的相对强弱，突出两者差异变化。,fund_hf_fusion_diff_fd_hf_growth_flow__fd_hf_growth_sentiment = 列(成长高频资金流) - 列(成长高频情绪),fund_hf_fusion diff fd_hf_growth_flow-fd_hf_growth_sentiment,True,fundamental
fund_hf_fusion_diff_fd_hf_growth_flow__fd_hf_growth_vwap,D,Fundamental Packages,fund_hf_fusion,fund_hf_fusion,基本面-高频融合包·成长高频资金流-成长高频VWAP差值,比较 成长高频资金流 与 成长高频VWAP 的相对强弱，突出两者差异变化。,fund_hf_fusion_diff_fd_hf_growth_flow__fd_hf_growth_vwap = 列(成长高频资金流) - 列(成长高频VWAP),fund_hf_fusion diff fd_hf_growth_flow-fd_hf_growth_vwap,True,fundamental
fund_hf_fusion_diff_fd_hf_growth_flow__fd_hf_valuation_flow,D,Fundamental Packages,fund_hf_fusion,fund_hf_fusion,基本面-高频融合包·成长高频资金流-估值高频资金流差值,比较 成长高频资金流 与 估值高频资金流 的相对强弱，突出两者差异变化。,fund_hf_fusion_diff_fd_hf_growth_flow__fd_hf_valuation_flow = 列(成长高频资金流) - 列(估值高频资金流),fund_hf_fusion diff fd_hf_growth_flow-fd_hf_valuation_flow,True,fundamental
fund_hf_fusion_diff_fd_hf_growth_flow__fd_hf_valuation_intraday,D,Fundamental Packages,fund_hf_fusion,fund_hf_fusion,基本面-高频融合包·成长高频资金流-估值高频日内差值,比较 成长高频资金流 与 估值高频日内 的相对强弱，突出两者差异变化。,fund_hf_fusion_diff_fd_hf_growth_flow__fd_hf_valuation_intraday = 列(成长高频资金流) - 列(估值高频日内),fund_hf_fusion diff fd_hf_growth_flow-fd_hf_valuation_intraday,True,fundamental
fund_hf_fusion_diff_fd_hf_growth_flow__fd_hf_valuation_jump,D,Fundamental Packages,fund_hf_fusion,fund_hf_fusion,基本面-高频融合包·成长高频资金流-估值高频跳跃差值,比较 成长高频资金流 与 估值高频跳跃 的相对强弱，突出两者差异变化。,fund_hf_fusion_diff_fd_hf_growth_flow__fd_hf_valuation_jump = 列(成长高频资金流) - 列(估值高频跳跃),fund_hf_fusion diff fd_hf_growth_flow-fd_hf_valuation_jump,True,fundamental
fund_hf_fusion_diff_fd_hf_growth_flow__fd_hf_valuation_vwap,D,Fundamental Packages,fund_hf_fusion,fund_hf_fusion,基本面-高频融合包·成长高频资金流-估值高频VWAP差值,比较 成长高频资金流 与 估值高频VWAP 的相对强弱，突出两者差异变化。,fund_hf_fusion_diff_fd_hf_growth_flow__fd_hf_valuation_vwap = 列(成长高频资金流) - 列(估值高频VWAP),fund_hf_fusion diff fd_hf_growth_flow-fd_hf_valuation_vwap,True,fundamental
fund_hf_fusion_diff_fd_hf_growth_intraday__fd_hf_growth_sentiment,D,Fundamental Packages,fund_hf_fusion,fund_hf_fusion,基本面-高频融合包·成长高频日内-成长高频情绪差值,比较 成长高频日内 与 成长高频情绪 的相对强弱，突出两者差异变化。,fund_hf_fusion_diff_fd_hf_growth_intraday__fd_hf_growth_sentiment = 列(成长高频日内) - 列(成长高频情绪),fund_hf_fusion diff fd_hf_growth_intraday-fd_hf_growth_sentiment,True,fundamental
fund_hf_fusion_diff_fd_hf_growth_intraday__fd_hf_growth_vwap,D,Fundamental Packages,fund_hf_fusion,fund_hf_fusion,基本面-高频融合包·成长高频日内-成长高频VWAP差值,比较 成长高频日内 与 成长高频VWAP 的相对强弱，突出两者差异变化。,fund_hf_fusion_diff_fd_hf_growth_intraday__fd_hf_growth_vwap = 列(成长高频日内) - 列(成长高频VWAP),fund_hf_fusion diff fd_hf_growth_intraday-fd_hf_growth_vwap,True,fundamental
