factor,freq,factor_group_label,factor_package,factor_packages,name_cn,meaning_cn,formula_cn,description,used_in_run,factor_group_key
g_structure_diff_ma_gap_12__amount_ratio_12,5min,Price-Volume / Non-Fundamental Packages,structure,structure,量价结构包·均线偏离12-成交额比率12差值,比较 均线偏离12 与 成交额比率12 的相对强弱，突出两者差异变化。,g_structure_diff_ma_gap_12__amount_ratio_12 = 列(均线偏离12) - 列(成交额比率12),g_structure diff ma_gap_12-amount_ratio_12,True,price_volume
g_structure_diff_ma_gap_12__range_norm,5min,Price-Volume / Non-Fundamental Packages,structure,structure,量价结构包·均线偏离12-振幅标准化差值,比较 均线偏离12 与 振幅标准化 的相对强弱，突出两者差异变化。,g_structure_diff_ma_gap_12__range_norm = 列(均线偏离12) - 列(振幅标准化),g_structure diff ma_gap_12-range_norm,True,price_volume
g_structure_diff_ma_gap_6__amount_ratio_12,5min,Price-Volume / Non-Fundamental Packages,structure,structure,量价结构包·均线偏离6-成交额比率12差值,比较 均线偏离6 与 成交额比率12 的相对强弱，突出两者差异变化。,g_structure_diff_ma_gap_6__amount_ratio_12 = 列(均线偏离6) - 列(成交额比率12),g_structure diff ma_gap_6-amount_ratio_12,True,price_volume
g_structure_diff_ma_gap_6__ma_gap_12,5min,Price-Volume / Non-Fundamental Packages,structure,structure,量价结构包·均线偏离6-均线偏离12差值,比较 均线偏离6 与 均线偏离12 的相对强弱，突出两者差异变化。,g_structure_diff_ma_gap_6__ma_gap_12 = 列(均线偏离6) - 列(均线偏离12),g_structure diff ma_gap_6-ma_gap_12,True,price_volume
g_structure_diff_ma_gap_6__range_norm,5min,Price-Volume / Non-Fundamental Packages,structure,structure,量价结构包·均线偏离6-振幅标准化差值,比较 均线偏离6 与 振幅标准化 的相对强弱，突出两者差异变化。,g_structure_diff_ma_gap_6__range_norm = 列(均线偏离6) - 列(振幅标准化),g_structure diff ma_gap_6-range_norm,True,price_volume
g_structure_diff_range_norm__amount_ratio_12,5min,Price-Volume / Non-Fundamental Packages,structure,structure,量价结构包·振幅标准化-成交额比率12差值,比较 振幅标准化 与 成交额比率12 的相对强弱，突出两者差异变化。,g_structure_diff_range_norm__amount_ratio_12 = 列(振幅标准化) - 列(成交额比率12),g_structure diff range_norm-amount_ratio_12,True,price_volume
g_structure_diff_ret_1__amount_ratio_12,5min,Price-Volume / Non-Fundamental Packages,structure,structure,量价结构包·1期收益率-成交额比率12差值,比较 1期收益率 与 成交额比率12 的相对强弱，突出两者差异变化。,g_structure_diff_ret_1__amount_ratio_12 = 列(1期收益率) - 列(成交额比率12),g_structure diff ret_1-amount_ratio_12,True,price_volume
g_structure_diff_ret_1__ma_gap_12,5min,Price-Volume / Non-Fundamental Packages,structure,structure,量价结构包·1期收益率-均线偏离12差值,比较 1期收益率 与 均线偏离12 的相对强弱，突出两者差异变化。,g_structure_diff_ret_1__ma_gap_12 = 列(1期收益率) - 列(均线偏离12),g_structure diff ret_1-ma_gap_12,True,price_volume
g_structure_diff_ret_1__ma_gap_6,5min,Price-Volume / Non-Fundamental Packages,structure,structure,量价结构包·1期收益率-均线偏离6差值,比较 1期收益率 与 均线偏离6 的相对强弱，突出两者差异变化。,g_structure_diff_ret_1__ma_gap_6 = 列(1期收益率) - 列(均线偏离6),g_structure diff ret_1-ma_gap_6,True,price_volume
g_structure_diff_ret_1__range_norm,5min,Price-Volume / Non-Fundamental Packages,structure,structure,量价结构包·1期收益率-振幅标准化差值,比较 1期收益率 与 振幅标准化 的相对强弱，突出两者差异变化。,g_structure_diff_ret_1__range_norm = 列(1期收益率) - 列(振幅标准化),g_structure diff ret_1-range_norm,True,price_volume
