factor,freq,factor_group_label,factor_package,factor_packages,name_cn,meaning_cn,formula_cn,description,used_in_run,factor_group_key
g_reversal_ratio_body_ratio__close_pos,D,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·bodyratio/收盘pos比值,衡量 bodyratio 相对 收盘pos 的比例关系，体现结构性偏离。,g_reversal_ratio_body_ratio__close_pos = 列(bodyratio) / (|列(收盘pos)| + EPS),g_reversal ratio body_ratio/close_pos,True,price_volume
g_reversal_ratio_overnight_gap__body_ratio,D,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·overnight偏离/bodyratio比值,衡量 overnight偏离 相对 bodyratio 的比例关系，体现结构性偏离。,g_reversal_ratio_overnight_gap__body_ratio = 列(overnight偏离) / (|列(bodyratio)| + EPS),g_reversal ratio overnight_gap/body_ratio,True,price_volume
g_reversal_ratio_overnight_gap__close_pos,D,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·overnight偏离/收盘pos比值,衡量 overnight偏离 相对 收盘pos 的比例关系，体现结构性偏离。,g_reversal_ratio_overnight_gap__close_pos = 列(overnight偏离) / (|列(收盘pos)| + EPS),g_reversal ratio overnight_gap/close_pos,True,price_volume
g_reversal_ratio_ret_1d__body_ratio,D,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·收益1d/bodyratio比值,衡量 收益1d 相对 bodyratio 的比例关系，体现结构性偏离。,g_reversal_ratio_ret_1d__body_ratio = 列(收益1d) / (|列(bodyratio)| + EPS),g_reversal ratio ret_1d/body_ratio,True,price_volume
g_reversal_ratio_ret_1d__close_pos,D,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·收益1d/收盘pos比值,衡量 收益1d 相对 收盘pos 的比例关系，体现结构性偏离。,g_reversal_ratio_ret_1d__close_pos = 列(收益1d) / (|列(收盘pos)| + EPS),g_reversal ratio ret_1d/close_pos,True,price_volume
g_reversal_ratio_ret_1d__overnight_gap,D,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·收益1d/overnight偏离比值,衡量 收益1d 相对 overnight偏离 的比例关系，体现结构性偏离。,g_reversal_ratio_ret_1d__overnight_gap = 列(收益1d) / (|列(overnight偏离)| + EPS),g_reversal ratio ret_1d/overnight_gap,True,price_volume
g_reversal_ratio_ret_3d__body_ratio,D,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·收益3d/bodyratio比值,衡量 收益3d 相对 bodyratio 的比例关系，体现结构性偏离。,g_reversal_ratio_ret_3d__body_ratio = 列(收益3d) / (|列(bodyratio)| + EPS),g_reversal ratio ret_3d/body_ratio,True,price_volume
g_reversal_ratio_ret_3d__close_pos,D,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·收益3d/收盘pos比值,衡量 收益3d 相对 收盘pos 的比例关系，体现结构性偏离。,g_reversal_ratio_ret_3d__close_pos = 列(收益3d) / (|列(收盘pos)| + EPS),g_reversal ratio ret_3d/close_pos,True,price_volume
g_reversal_ratio_ret_3d__overnight_gap,D,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·收益3d/overnight偏离比值,衡量 收益3d 相对 overnight偏离 的比例关系，体现结构性偏离。,g_reversal_ratio_ret_3d__overnight_gap = 列(收益3d) / (|列(overnight偏离)| + EPS),g_reversal ratio ret_3d/overnight_gap,True,price_volume
g_reversal_ratio_ret_3d__ret_5d,D,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·收益3d/收益5d比值,衡量 收益3d 相对 收益5d 的比例关系，体现结构性偏离。,g_reversal_ratio_ret_3d__ret_5d = 列(收益3d) / (|列(收益5d)| + EPS),g_reversal ratio ret_3d/ret_5d,True,price_volume
g_reversal_ratio_ret_5d__body_ratio,D,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·收益5d/bodyratio比值,衡量 收益5d 相对 bodyratio 的比例关系，体现结构性偏离。,g_reversal_ratio_ret_5d__body_ratio = 列(收益5d) / (|列(bodyratio)| + EPS),g_reversal ratio ret_5d/body_ratio,True,price_volume
g_reversal_ratio_ret_5d__close_pos,D,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·收益5d/收盘pos比值,衡量 收益5d 相对 收盘pos 的比例关系，体现结构性偏离。,g_reversal_ratio_ret_5d__close_pos = 列(收益5d) / (|列(收盘pos)| + EPS),g_reversal ratio ret_5d/close_pos,True,price_volume
g_reversal_ratio_ret_5d__overnight_gap,D,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·收益5d/overnight偏离比值,衡量 收益5d 相对 overnight偏离 的比例关系，体现结构性偏离。,g_reversal_ratio_ret_5d__overnight_gap = 列(收益5d) / (|列(overnight偏离)| + EPS),g_reversal ratio ret_5d/overnight_gap,True,price_volume
g_reversal_rel_body_ratio_to_ret_1d,D,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·bodyratio相对收益1d,衡量 bodyratio 相对锚点 收益1d 的偏离程度，反映相对强弱。,g_reversal_rel_body_ratio_to_ret_1d = (列(bodyratio) - 列(收益1d)) / (|列(收益1d)| + EPS),g_reversal rel body_ratio to ret_1d,True,price_volume
g_reversal_rel_body_ratio_to_ret_3d,D,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·bodyratio相对收益3d,衡量 bodyratio 相对锚点 收益3d 的偏离程度，反映相对强弱。,g_reversal_rel_body_ratio_to_ret_3d = (列(bodyratio) - 列(收益3d)) / (|列(收益3d)| + EPS),g_reversal rel body_ratio to ret_3d,True,price_volume
