factor,freq,factor_group_label,factor_package,factor_packages,name_cn,meaning_cn,formula_cn,description,used_in_run,factor_group_key
text_attention_diff_txt_attention_20__txt_attention_shock,D,Text Packages,text_attention,text_attention,金融文本关注度包·文本关注度20-文本关注度shock差值,比较 文本关注度20 与 文本关注度shock 的相对强弱，突出两者差异变化。,text_attention_diff_txt_attention_20__txt_attention_shock = 列(文本关注度20) - 列(文本关注度shock),text_attention diff txt_attention_20-txt_attention_shock,False,text
text_attention_diff_txt_attention_20__txt_count_20,D,Text Packages,text_attention,text_attention,金融文本关注度包·文本关注度20-文本count20差值,比较 文本关注度20 与 文本count20 的相对强弱，突出两者差异变化。,text_attention_diff_txt_attention_20__txt_count_20 = 列(文本关注度20) - 列(文本count20),text_attention diff txt_attention_20-txt_count_20,False,text
text_attention_diff_txt_attention_20__txt_count_5,D,Text Packages,text_attention,text_attention,金融文本关注度包·文本关注度20-文本count5差值,比较 文本关注度20 与 文本count5 的相对强弱，突出两者差异变化。,text_attention_diff_txt_attention_20__txt_count_5 = 列(文本关注度20) - 列(文本count5),text_attention diff txt_attention_20-txt_count_5,False,text
text_attention_diff_txt_attention_5__txt_attention_20,D,Text Packages,text_attention,text_attention,金融文本关注度包·文本关注度5-文本关注度20差值,比较 文本关注度5 与 文本关注度20 的相对强弱，突出两者差异变化。,text_attention_diff_txt_attention_5__txt_attention_20 = 列(文本关注度5) - 列(文本关注度20),text_attention diff txt_attention_5-txt_attention_20,False,text
text_attention_diff_txt_attention_5__txt_attention_shock,D,Text Packages,text_attention,text_attention,金融文本关注度包·文本关注度5-文本关注度shock差值,比较 文本关注度5 与 文本关注度shock 的相对强弱，突出两者差异变化。,text_attention_diff_txt_attention_5__txt_attention_shock = 列(文本关注度5) - 列(文本关注度shock),text_attention diff txt_attention_5-txt_attention_shock,False,text
text_attention_diff_txt_attention_5__txt_count_20,D,Text Packages,text_attention,text_attention,金融文本关注度包·文本关注度5-文本count20差值,比较 文本关注度5 与 文本count20 的相对强弱，突出两者差异变化。,text_attention_diff_txt_attention_5__txt_count_20 = 列(文本关注度5) - 列(文本count20),text_attention diff txt_attention_5-txt_count_20,False,text
text_attention_diff_txt_attention_5__txt_count_5,D,Text Packages,text_attention,text_attention,金融文本关注度包·文本关注度5-文本count5差值,比较 文本关注度5 与 文本count5 的相对强弱，突出两者差异变化。,text_attention_diff_txt_attention_5__txt_count_5 = 列(文本关注度5) - 列(文本count5),text_attention diff txt_attention_5-txt_count_5,False,text
text_attention_diff_txt_attention_mean__txt_attention_20,D,Text Packages,text_attention,text_attention,金融文本关注度包·文本关注度mean-文本关注度20差值,比较 文本关注度mean 与 文本关注度20 的相对强弱，突出两者差异变化。,text_attention_diff_txt_attention_mean__txt_attention_20 = 列(文本关注度mean) - 列(文本关注度20),text_attention diff txt_attention_mean-txt_attention_20,False,text
text_attention_diff_txt_attention_mean__txt_attention_5,D,Text Packages,text_attention,text_attention,金融文本关注度包·文本关注度mean-文本关注度5差值,比较 文本关注度mean 与 文本关注度5 的相对强弱，突出两者差异变化。,text_attention_diff_txt_attention_mean__txt_attention_5 = 列(文本关注度mean) - 列(文本关注度5),text_attention diff txt_attention_mean-txt_attention_5,False,text
text_attention_diff_txt_attention_mean__txt_attention_shock,D,Text Packages,text_attention,text_attention,金融文本关注度包·文本关注度mean-文本关注度shock差值,比较 文本关注度mean 与 文本关注度shock 的相对强弱，突出两者差异变化。,text_attention_diff_txt_attention_mean__txt_attention_shock = 列(文本关注度mean) - 列(文本关注度shock),text_attention diff txt_attention_mean-txt_attention_shock,False,text
text_attention_diff_txt_attention_mean__txt_count_20,D,Text Packages,text_attention,text_attention,金融文本关注度包·文本关注度mean-文本count20差值,比较 文本关注度mean 与 文本count20 的相对强弱，突出两者差异变化。,text_attention_diff_txt_attention_mean__txt_count_20 = 列(文本关注度mean) - 列(文本count20),text_attention diff txt_attention_mean-txt_count_20,False,text
text_attention_diff_txt_attention_mean__txt_count_5,D,Text Packages,text_attention,text_attention,金融文本关注度包·文本关注度mean-文本count5差值,比较 文本关注度mean 与 文本count5 的相对强弱，突出两者差异变化。,text_attention_diff_txt_attention_mean__txt_count_5 = 列(文本关注度mean) - 列(文本count5),text_attention diff txt_attention_mean-txt_count_5,False,text
text_attention_diff_txt_attention_shock__txt_count_20,D,Text Packages,text_attention,text_attention,金融文本关注度包·文本关注度shock-文本count20差值,比较 文本关注度shock 与 文本count20 的相对强弱，突出两者差异变化。,text_attention_diff_txt_attention_shock__txt_count_20 = 列(文本关注度shock) - 列(文本count20),text_attention diff txt_attention_shock-txt_count_20,False,text
text_attention_diff_txt_attention_shock__txt_count_5,D,Text Packages,text_attention,text_attention,金融文本关注度包·文本关注度shock-文本count5差值,比较 文本关注度shock 与 文本count5 的相对强弱，突出两者差异变化。,text_attention_diff_txt_attention_shock__txt_count_5 = 列(文本关注度shock) - 列(文本count5),text_attention diff txt_attention_shock-txt_count_5,False,text
text_attention_diff_txt_count_5__txt_count_20,D,Text Packages,text_attention,text_attention,金融文本关注度包·文本count5-文本count20差值,比较 文本count5 与 文本count20 的相对强弱，突出两者差异变化。,text_attention_diff_txt_count_5__txt_count_20 = 列(文本count5) - 列(文本count20),text_attention diff txt_count_5-txt_count_20,False,text
