factor,freq,factor_group_label,factor_package,factor_packages,name_cn,meaning_cn,formula_cn,description,used_in_run,factor_group_key
text_topic_diff_txt_topic_capital__txt_topic_policy_mna_mix,30min,Text Packages,text_topic,text_topic,金融文本主题包·文本主题capital-文本主题policymnamix差值,比较 文本主题capital 与 文本主题policymnamix 的相对强弱，突出两者差异变化。,text_topic_diff_txt_topic_capital__txt_topic_policy_mna_mix = 列(文本主题capital) - 列(文本主题policymnamix),text_topic diff txt_topic_capital-txt_topic_policy_mna_mix,False,text
text_topic_diff_txt_topic_capital__txt_topic_risk_vs_earnings,30min,Text Packages,text_topic,text_topic,金融文本主题包·文本主题capital-文本主题风险vsearnings差值,比较 文本主题capital 与 文本主题风险vsearnings 的相对强弱，突出两者差异变化。,text_topic_diff_txt_topic_capital__txt_topic_risk_vs_earnings = 列(文本主题capital) - 列(文本主题风险vsearnings),text_topic diff txt_topic_capital-txt_topic_risk_vs_earnings,False,text
text_topic_diff_txt_topic_earnings__txt_topic_capital,30min,Text Packages,text_topic,text_topic,金融文本主题包·文本主题earnings-文本主题capital差值,比较 文本主题earnings 与 文本主题capital 的相对强弱，突出两者差异变化。,text_topic_diff_txt_topic_earnings__txt_topic_capital = 列(文本主题earnings) - 列(文本主题capital),text_topic diff txt_topic_earnings-txt_topic_capital,False,text
text_topic_diff_txt_topic_earnings__txt_topic_mna,30min,Text Packages,text_topic,text_topic,金融文本主题包·文本主题earnings-文本主题mna差值,比较 文本主题earnings 与 文本主题mna 的相对强弱，突出两者差异变化。,text_topic_diff_txt_topic_earnings__txt_topic_mna = 列(文本主题earnings) - 列(文本主题mna),text_topic diff txt_topic_earnings-txt_topic_mna,False,text
text_topic_diff_txt_topic_earnings__txt_topic_operation,30min,Text Packages,text_topic,text_topic,金融文本主题包·文本主题earnings-文本主题operation差值,比较 文本主题earnings 与 文本主题operation 的相对强弱，突出两者差异变化。,text_topic_diff_txt_topic_earnings__txt_topic_operation = 列(文本主题earnings) - 列(文本主题operation),text_topic diff txt_topic_earnings-txt_topic_operation,False,text
text_topic_diff_txt_topic_earnings__txt_topic_policy,30min,Text Packages,text_topic,text_topic,金融文本主题包·文本主题earnings-文本主题policy差值,比较 文本主题earnings 与 文本主题policy 的相对强弱，突出两者差异变化。,text_topic_diff_txt_topic_earnings__txt_topic_policy = 列(文本主题earnings) - 列(文本主题policy),text_topic diff txt_topic_earnings-txt_topic_policy,False,text
text_topic_diff_txt_topic_earnings__txt_topic_policy_mna_mix,30min,Text Packages,text_topic,text_topic,金融文本主题包·文本主题earnings-文本主题policymnamix差值,比较 文本主题earnings 与 文本主题policymnamix 的相对强弱，突出两者差异变化。,text_topic_diff_txt_topic_earnings__txt_topic_policy_mna_mix = 列(文本主题earnings) - 列(文本主题policymnamix),text_topic diff txt_topic_earnings-txt_topic_policy_mna_mix,False,text
text_topic_diff_txt_topic_earnings__txt_topic_risk,30min,Text Packages,text_topic,text_topic,金融文本主题包·文本主题earnings-文本主题风险差值,比较 文本主题earnings 与 文本主题风险 的相对强弱，突出两者差异变化。,text_topic_diff_txt_topic_earnings__txt_topic_risk = 列(文本主题earnings) - 列(文本主题风险),text_topic diff txt_topic_earnings-txt_topic_risk,False,text
text_topic_diff_txt_topic_earnings__txt_topic_risk_vs_earnings,30min,Text Packages,text_topic,text_topic,金融文本主题包·文本主题earnings-文本主题风险vsearnings差值,比较 文本主题earnings 与 文本主题风险vsearnings 的相对强弱，突出两者差异变化。,text_topic_diff_txt_topic_earnings__txt_topic_risk_vs_earnings = 列(文本主题earnings) - 列(文本主题风险vsearnings),text_topic diff txt_topic_earnings-txt_topic_risk_vs_earnings,False,text
text_topic_diff_txt_topic_mna__txt_topic_capital,30min,Text Packages,text_topic,text_topic,金融文本主题包·文本主题mna-文本主题capital差值,比较 文本主题mna 与 文本主题capital 的相对强弱，突出两者差异变化。,text_topic_diff_txt_topic_mna__txt_topic_capital = 列(文本主题mna) - 列(文本主题capital),text_topic diff txt_topic_mna-txt_topic_capital,False,text
text_topic_diff_txt_topic_mna__txt_topic_operation,30min,Text Packages,text_topic,text_topic,金融文本主题包·文本主题mna-文本主题operation差值,比较 文本主题mna 与 文本主题operation 的相对强弱，突出两者差异变化。,text_topic_diff_txt_topic_mna__txt_topic_operation = 列(文本主题mna) - 列(文本主题operation),text_topic diff txt_topic_mna-txt_topic_operation,False,text
text_topic_diff_txt_topic_mna__txt_topic_policy_mna_mix,30min,Text Packages,text_topic,text_topic,金融文本主题包·文本主题mna-文本主题policymnamix差值,比较 文本主题mna 与 文本主题policymnamix 的相对强弱，突出两者差异变化。,text_topic_diff_txt_topic_mna__txt_topic_policy_mna_mix = 列(文本主题mna) - 列(文本主题policymnamix),text_topic diff txt_topic_mna-txt_topic_policy_mna_mix,False,text
text_topic_diff_txt_topic_mna__txt_topic_risk,30min,Text Packages,text_topic,text_topic,金融文本主题包·文本主题mna-文本主题风险差值,比较 文本主题mna 与 文本主题风险 的相对强弱，突出两者差异变化。,text_topic_diff_txt_topic_mna__txt_topic_risk = 列(文本主题mna) - 列(文本主题风险),text_topic diff txt_topic_mna-txt_topic_risk,False,text
text_topic_diff_txt_topic_mna__txt_topic_risk_vs_earnings,30min,Text Packages,text_topic,text_topic,金融文本主题包·文本主题mna-文本主题风险vsearnings差值,比较 文本主题mna 与 文本主题风险vsearnings 的相对强弱，突出两者差异变化。,text_topic_diff_txt_topic_mna__txt_topic_risk_vs_earnings = 列(文本主题mna) - 列(文本主题风险vsearnings),text_topic diff txt_topic_mna-txt_topic_risk_vs_earnings,False,text
text_topic_diff_txt_topic_operation__txt_topic_capital,30min,Text Packages,text_topic,text_topic,金融文本主题包·文本主题operation-文本主题capital差值,比较 文本主题operation 与 文本主题capital 的相对强弱，突出两者差异变化。,text_topic_diff_txt_topic_operation__txt_topic_capital = 列(文本主题operation) - 列(文本主题capital),text_topic diff txt_topic_operation-txt_topic_capital,False,text
text_topic_diff_txt_topic_operation__txt_topic_policy_mna_mix,30min,Text Packages,text_topic,text_topic,金融文本主题包·文本主题operation-文本主题policymnamix差值,比较 文本主题operation 与 文本主题policymnamix 的相对强弱，突出两者差异变化。,text_topic_diff_txt_topic_operation__txt_topic_policy_mna_mix = 列(文本主题operation) - 列(文本主题policymnamix),text_topic diff txt_topic_operation-txt_topic_policy_mna_mix,False,text
text_topic_diff_txt_topic_operation__txt_topic_risk_vs_earnings,30min,Text Packages,text_topic,text_topic,金融文本主题包·文本主题operation-文本主题风险vsearnings差值,比较 文本主题operation 与 文本主题风险vsearnings 的相对强弱，突出两者差异变化。,text_topic_diff_txt_topic_operation__txt_topic_risk_vs_earnings = 列(文本主题operation) - 列(文本主题风险vsearnings),text_topic diff txt_topic_operation-txt_topic_risk_vs_earnings,False,text
text_topic_diff_txt_topic_policy__txt_topic_capital,30min,Text Packages,text_topic,text_topic,金融文本主题包·文本主题policy-文本主题capital差值,比较 文本主题policy 与 文本主题capital 的相对强弱，突出两者差异变化。,text_topic_diff_txt_topic_policy__txt_topic_capital = 列(文本主题policy) - 列(文本主题capital),text_topic diff txt_topic_policy-txt_topic_capital,False,text
text_topic_diff_txt_topic_policy__txt_topic_mna,30min,Text Packages,text_topic,text_topic,金融文本主题包·文本主题policy-文本主题mna差值,比较 文本主题policy 与 文本主题mna 的相对强弱，突出两者差异变化。,text_topic_diff_txt_topic_policy__txt_topic_mna = 列(文本主题policy) - 列(文本主题mna),text_topic diff txt_topic_policy-txt_topic_mna,False,text
