factor,freq,factor_group_label,factor_package,factor_packages,name_cn,meaning_cn,formula_cn,description,used_in_run,factor_group_key
g_volatility_diff_context_intraday_mood__ret_12,5min,Price-Volume / Non-Fundamental Packages,volatility,volatility,量价波动率包·日内情绪上下文-12期收益率差值,比较 日内情绪上下文 与 12期收益率 的相对强弱，突出两者差异变化。,g_volatility_diff_context_intraday_mood__ret_12 = 列(日内情绪上下文) - 列(12期收益率),g_volatility diff context_intraday_mood-ret_12,True,price_volume
g_volatility_diff_context_intraday_mood__ret_6,5min,Price-Volume / Non-Fundamental Packages,volatility,volatility,量价波动率包·日内情绪上下文-6期收益率差值,比较 日内情绪上下文 与 6期收益率 的相对强弱，突出两者差异变化。,g_volatility_diff_context_intraday_mood__ret_6 = 列(日内情绪上下文) - 列(6期收益率),g_volatility diff context_intraday_mood-ret_6,True,price_volume
g_volatility_diff_context_quality_20d__context_intraday_mood,5min,Price-Volume / Non-Fundamental Packages,volatility,volatility,量价波动率包·20日质量上下文-日内情绪上下文差值,比较 20日质量上下文 与 日内情绪上下文 的相对强弱，突出两者差异变化。,g_volatility_diff_context_quality_20d__context_intraday_mood = 列(20日质量上下文) - 列(日内情绪上下文),g_volatility diff context_quality_20d-context_intraday_mood,True,price_volume
g_volatility_diff_context_quality_20d__ret_12,5min,Price-Volume / Non-Fundamental Packages,volatility,volatility,量价波动率包·20日质量上下文-12期收益率差值,比较 20日质量上下文 与 12期收益率 的相对强弱，突出两者差异变化。,g_volatility_diff_context_quality_20d__ret_12 = 列(20日质量上下文) - 列(12期收益率),g_volatility diff context_quality_20d-ret_12,True,price_volume
g_volatility_diff_context_quality_20d__ret_6,5min,Price-Volume / Non-Fundamental Packages,volatility,volatility,量价波动率包·20日质量上下文-6期收益率差值,比较 20日质量上下文 与 6期收益率 的相对强弱，突出两者差异变化。,g_volatility_diff_context_quality_20d__ret_6 = 列(20日质量上下文) - 列(6期收益率),g_volatility diff context_quality_20d-ret_6,True,price_volume
g_volatility_diff_range_norm__context_intraday_mood,5min,Price-Volume / Non-Fundamental Packages,volatility,volatility,量价波动率包·振幅标准化-日内情绪上下文差值,比较 振幅标准化 与 日内情绪上下文 的相对强弱，突出两者差异变化。,g_volatility_diff_range_norm__context_intraday_mood = 列(振幅标准化) - 列(日内情绪上下文),g_volatility diff range_norm-context_intraday_mood,True,price_volume
g_volatility_diff_range_norm__context_quality_20d,5min,Price-Volume / Non-Fundamental Packages,volatility,volatility,量价波动率包·振幅标准化-20日质量上下文差值,比较 振幅标准化 与 20日质量上下文 的相对强弱，突出两者差异变化。,g_volatility_diff_range_norm__context_quality_20d = 列(振幅标准化) - 列(20日质量上下文),g_volatility diff range_norm-context_quality_20d,True,price_volume
g_volatility_diff_range_norm__ret_12,5min,Price-Volume / Non-Fundamental Packages,volatility,volatility,量价波动率包·振幅标准化-12期收益率差值,比较 振幅标准化 与 12期收益率 的相对强弱，突出两者差异变化。,g_volatility_diff_range_norm__ret_12 = 列(振幅标准化) - 列(12期收益率),g_volatility diff range_norm-ret_12,True,price_volume
g_volatility_diff_range_norm__ret_6,5min,Price-Volume / Non-Fundamental Packages,volatility,volatility,量价波动率包·振幅标准化-6期收益率差值,比较 振幅标准化 与 6期收益率 的相对强弱，突出两者差异变化。,g_volatility_diff_range_norm__ret_6 = 列(振幅标准化) - 列(6期收益率),g_volatility diff range_norm-ret_6,True,price_volume
g_volatility_diff_ret_6__ret_12,5min,Price-Volume / Non-Fundamental Packages,volatility,volatility,量价波动率包·6期收益率-12期收益率差值,比较 6期收益率 与 12期收益率 的相对强弱，突出两者差异变化。,g_volatility_diff_ret_6__ret_12 = 列(6期收益率) - 列(12期收益率),g_volatility diff ret_6-ret_12,True,price_volume
g_volatility_diff_rv_12__context_intraday_mood,5min,Price-Volume / Non-Fundamental Packages,volatility,volatility,量价波动率包·12期实现波动率-日内情绪上下文差值,比较 12期实现波动率 与 日内情绪上下文 的相对强弱，突出两者差异变化。,g_volatility_diff_rv_12__context_intraday_mood = 列(12期实现波动率) - 列(日内情绪上下文),g_volatility diff rv_12-context_intraday_mood,True,price_volume
g_volatility_diff_rv_12__context_quality_20d,5min,Price-Volume / Non-Fundamental Packages,volatility,volatility,量价波动率包·12期实现波动率-20日质量上下文差值,比较 12期实现波动率 与 20日质量上下文 的相对强弱，突出两者差异变化。,g_volatility_diff_rv_12__context_quality_20d = 列(12期实现波动率) - 列(20日质量上下文),g_volatility diff rv_12-context_quality_20d,True,price_volume
g_volatility_diff_rv_12__range_norm,5min,Price-Volume / Non-Fundamental Packages,volatility,volatility,量价波动率包·12期实现波动率-振幅标准化差值,比较 12期实现波动率 与 振幅标准化 的相对强弱，突出两者差异变化。,g_volatility_diff_rv_12__range_norm = 列(12期实现波动率) - 列(振幅标准化),g_volatility diff rv_12-range_norm,True,price_volume
g_volatility_diff_rv_12__ret_12,5min,Price-Volume / Non-Fundamental Packages,volatility,volatility,量价波动率包·12期实现波动率-12期收益率差值,比较 12期实现波动率 与 12期收益率 的相对强弱，突出两者差异变化。,g_volatility_diff_rv_12__ret_12 = 列(12期实现波动率) - 列(12期收益率),g_volatility diff rv_12-ret_12,True,price_volume
g_volatility_diff_rv_12__ret_6,5min,Price-Volume / Non-Fundamental Packages,volatility,volatility,量价波动率包·12期实现波动率-6期收益率差值,比较 12期实现波动率 与 6期收益率 的相对强弱，突出两者差异变化。,g_volatility_diff_rv_12__ret_6 = 列(12期实现波动率) - 列(6期收益率),g_volatility diff rv_12-ret_6,True,price_volume
g_volatility_lvl_context_intraday_mood,5min,Price-Volume / Non-Fundamental Packages,volatility,volatility,量价波动率包·日内情绪上下文原值,直接使用 日内情绪上下文 作为 量价波动率包 信号，反映该基础指标的绝对水平。,g_volatility_lvl_context_intraday_mood = 列(日内情绪上下文),g_volatility level context_intraday_mood,True,price_volume
g_volatility_lvl_context_quality_20d,5min,Price-Volume / Non-Fundamental Packages,volatility,volatility,量价波动率包·20日质量上下文原值,直接使用 20日质量上下文 作为 量价波动率包 信号，反映该基础指标的绝对水平。,g_volatility_lvl_context_quality_20d = 列(20日质量上下文),g_volatility level context_quality_20d,True,price_volume
g_volatility_lvl_crowding_proxy_raw,5min,Price-Volume / Non-Fundamental Packages,volatility,volatility,量价波动率包·拥挤度原始代理原值,直接使用 拥挤度原始代理 作为 量价波动率包 信号，反映该基础指标的绝对水平。,g_volatility_lvl_crowding_proxy_raw = 列(拥挤度原始代理),g_volatility level crowding_proxy_raw,True,price_volume
g_volatility_lvl_range_norm,5min,Price-Volume / Non-Fundamental Packages,volatility,volatility,量价波动率包·振幅标准化原值,直接使用 振幅标准化 作为 量价波动率包 信号，反映该基础指标的绝对水平。,g_volatility_lvl_range_norm = 列(振幅标准化),g_volatility level range_norm,True,price_volume
g_volatility_lvl_ret_12,5min,Price-Volume / Non-Fundamental Packages,volatility,volatility,量价波动率包·12期收益率原值,直接使用 12期收益率 作为 量价波动率包 信号，反映该基础指标的绝对水平。,g_volatility_lvl_ret_12 = 列(12期收益率),g_volatility level ret_12,True,price_volume
g_volatility_lvl_ret_6,5min,Price-Volume / Non-Fundamental Packages,volatility,volatility,量价波动率包·6期收益率原值,直接使用 6期收益率 作为 量价波动率包 信号，反映该基础指标的绝对水平。,g_volatility_lvl_ret_6 = 列(6期收益率),g_volatility level ret_6,True,price_volume
g_volatility_lvl_rv_12,5min,Price-Volume / Non-Fundamental Packages,volatility,volatility,量价波动率包·12期实现波动率原值,直接使用 12期实现波动率 作为 量价波动率包 信号，反映该基础指标的绝对水平。,g_volatility_lvl_rv_12 = 列(12期实现波动率),g_volatility level rv_12,True,price_volume
g_volatility_neg_context_intraday_mood,5min,Price-Volume / Non-Fundamental Packages,volatility,volatility,量价波动率包·日内情绪上下文反向,对 日内情绪上下文 取负，构造方向相反的因子暴露。,g_volatility_neg_context_intraday_mood = -列(日内情绪上下文),g_volatility negative context_intraday_mood,True,price_volume
g_volatility_neg_context_quality_20d,5min,Price-Volume / Non-Fundamental Packages,volatility,volatility,量价波动率包·20日质量上下文反向,对 20日质量上下文 取负，构造方向相反的因子暴露。,g_volatility_neg_context_quality_20d = -列(20日质量上下文),g_volatility negative context_quality_20d,True,price_volume
g_volatility_neg_crowding_proxy_raw,5min,Price-Volume / Non-Fundamental Packages,volatility,volatility,量价波动率包·拥挤度原始代理反向,对 拥挤度原始代理 取负，构造方向相反的因子暴露。,g_volatility_neg_crowding_proxy_raw = -列(拥挤度原始代理),g_volatility negative crowding_proxy_raw,True,price_volume
g_volatility_neg_range_norm,5min,Price-Volume / Non-Fundamental Packages,volatility,volatility,量价波动率包·振幅标准化反向,对 振幅标准化 取负，构造方向相反的因子暴露。,g_volatility_neg_range_norm = -列(振幅标准化),g_volatility negative range_norm,True,price_volume
g_volatility_neg_ret_12,5min,Price-Volume / Non-Fundamental Packages,volatility,volatility,量价波动率包·12期收益率反向,对 12期收益率 取负，构造方向相反的因子暴露。,g_volatility_neg_ret_12 = -列(12期收益率),g_volatility negative ret_12,True,price_volume
g_volatility_neg_ret_6,5min,Price-Volume / Non-Fundamental Packages,volatility,volatility,量价波动率包·6期收益率反向,对 6期收益率 取负，构造方向相反的因子暴露。,g_volatility_neg_ret_6 = -列(6期收益率),g_volatility negative ret_6,True,price_volume
g_volatility_neg_rv_12,5min,Price-Volume / Non-Fundamental Packages,volatility,volatility,量价波动率包·12期实现波动率反向,对 12期实现波动率 取负，构造方向相反的因子暴露。,g_volatility_neg_rv_12 = -列(12期实现波动率),g_volatility negative rv_12,True,price_volume
g_volatility_ratio_context_intraday_mood__ret_12,5min,Price-Volume / Non-Fundamental Packages,volatility,volatility,量价波动率包·日内情绪上下文/12期收益率比值,衡量 日内情绪上下文 相对 12期收益率 的比例关系，体现结构性偏离。,g_volatility_ratio_context_intraday_mood__ret_12 = 列(日内情绪上下文) / (|列(12期收益率)| + EPS),g_volatility ratio context_intraday_mood/ret_12,True,price_volume
