factor,freq,factor_group_label,factor_package,factor_packages,name_cn,meaning_cn,formula_cn,description,used_in_run,factor_group_key
breakout_strength_20,D,Price-Volume / Non-Fundamental Packages,trend,trend,趋势动量·突破strength20,趋势动量因子，刻画：突破 normalized 按 ATR,按定义计算：突破 normalized 按 ATR,breakout normalized by ATR,True,price_volume
g_liquidity_ratio_amount_ratio_20__amihud_20,D,Price-Volume / Non-Fundamental Packages,liquidity,liquidity,量价流动性包·成交额比率20/amihud20比值,衡量 成交额比率20 相对 amihud20 的比例关系，体现结构性偏离。,g_liquidity_ratio_amount_ratio_20__amihud_20 = 列(成交额比率20) / (|列(amihud20)| + EPS),g_liquidity ratio amount_ratio_20/amihud_20,True,price_volume
g_liquidity_ratio_amount_ratio_20__ret_vol_corr_20,D,Price-Volume / Non-Fundamental Packages,liquidity,liquidity,量价流动性包·成交额比率20/收益成交量corr20比值,衡量 成交额比率20 相对 收益成交量corr20 的比例关系，体现结构性偏离。,g_liquidity_ratio_amount_ratio_20__ret_vol_corr_20 = 列(成交额比率20) / (|列(收益成交量corr20)| + EPS),g_liquidity ratio amount_ratio_20/ret_vol_corr_20,True,price_volume
g_liquidity_ratio_vol_ratio_5__amihud_20,D,Price-Volume / Non-Fundamental Packages,liquidity,liquidity,量价流动性包·成交量ratio5/amihud20比值,衡量 成交量ratio5 相对 amihud20 的比例关系，体现结构性偏离。,g_liquidity_ratio_vol_ratio_5__amihud_20 = 列(成交量ratio5) / (|列(amihud20)| + EPS),g_liquidity ratio vol_ratio_5/amihud_20,True,price_volume
g_liquidity_ratio_vol_ratio_5__ret_vol_corr_20,D,Price-Volume / Non-Fundamental Packages,liquidity,liquidity,量价流动性包·成交量ratio5/收益成交量corr20比值,衡量 成交量ratio5 相对 收益成交量corr20 的比例关系，体现结构性偏离。,g_liquidity_ratio_vol_ratio_5__ret_vol_corr_20 = 列(成交量ratio5) / (|列(收益成交量corr20)| + EPS),g_liquidity ratio vol_ratio_5/ret_vol_corr_20,True,price_volume
g_liquidity_sym_amihud_20__ret_vol_corr_20,D,Price-Volume / Non-Fundamental Packages,liquidity,liquidity,量价流动性包·amihud20-收益成交量corr20对称价差,构造 amihud20 与 收益成交量corr20 的对称归一化价差，减少量纲影响。,g_liquidity_sym_amihud_20__ret_vol_corr_20 = (列(amihud20) - 列(收益成交量corr20)) / (|列(amihud20)| + |列(收益成交量corr20)| + EPS),"g_liquidity symmetric spread amihud_20,ret_vol_corr_20",True,price_volume
g_reversal_ratio_body_ratio__close_pos,D,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·bodyratio/收盘pos比值,衡量 bodyratio 相对 收盘pos 的比例关系，体现结构性偏离。,g_reversal_ratio_body_ratio__close_pos = 列(bodyratio) / (|列(收盘pos)| + EPS),g_reversal ratio body_ratio/close_pos,True,price_volume
g_reversal_ratio_overnight_gap__body_ratio,D,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·overnight偏离/bodyratio比值,衡量 overnight偏离 相对 bodyratio 的比例关系，体现结构性偏离。,g_reversal_ratio_overnight_gap__body_ratio = 列(overnight偏离) / (|列(bodyratio)| + EPS),g_reversal ratio overnight_gap/body_ratio,True,price_volume
g_reversal_ratio_overnight_gap__close_pos,D,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·overnight偏离/收盘pos比值,衡量 overnight偏离 相对 收盘pos 的比例关系，体现结构性偏离。,g_reversal_ratio_overnight_gap__close_pos = 列(overnight偏离) / (|列(收盘pos)| + EPS),g_reversal ratio overnight_gap/close_pos,True,price_volume
g_reversal_ratio_ret_1d__body_ratio,D,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·收益1d/bodyratio比值,衡量 收益1d 相对 bodyratio 的比例关系，体现结构性偏离。,g_reversal_ratio_ret_1d__body_ratio = 列(收益1d) / (|列(bodyratio)| + EPS),g_reversal ratio ret_1d/body_ratio,True,price_volume
g_reversal_ratio_ret_1d__close_pos,D,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·收益1d/收盘pos比值,衡量 收益1d 相对 收盘pos 的比例关系，体现结构性偏离。,g_reversal_ratio_ret_1d__close_pos = 列(收益1d) / (|列(收盘pos)| + EPS),g_reversal ratio ret_1d/close_pos,True,price_volume
g_reversal_ratio_ret_1d__overnight_gap,D,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·收益1d/overnight偏离比值,衡量 收益1d 相对 overnight偏离 的比例关系，体现结构性偏离。,g_reversal_ratio_ret_1d__overnight_gap = 列(收益1d) / (|列(overnight偏离)| + EPS),g_reversal ratio ret_1d/overnight_gap,True,price_volume
g_reversal_ratio_ret_3d__body_ratio,D,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·收益3d/bodyratio比值,衡量 收益3d 相对 bodyratio 的比例关系，体现结构性偏离。,g_reversal_ratio_ret_3d__body_ratio = 列(收益3d) / (|列(bodyratio)| + EPS),g_reversal ratio ret_3d/body_ratio,True,price_volume
g_reversal_ratio_ret_3d__close_pos,D,Price-Volume / Non-Fundamental Packages,reversal,reversal,量价反转包·收益3d/收盘pos比值,衡量 收益3d 相对 收盘pos 的比例关系，体现结构性偏离。,g_reversal_ratio_ret_3d__close_pos = 列(收益3d) / (|列(收盘pos)| + EPS),g_reversal ratio ret_3d/close_pos,True,price_volume
