factor,freq,factor_group_label,factor_package,factor_packages,name_cn,meaning_cn,formula_cn,description,used_in_run,factor_group_key
fund_quality_diff_fd_quality_raw_01__fd_quality_raw_02,D,Fundamental Packages,fund_quality,fund_quality,基本面质量包·质量原始指标01-质量原始指标02差值,比较 质量原始指标01 与 质量原始指标02 的相对强弱，突出两者差异变化。,fund_quality_diff_fd_quality_raw_01__fd_quality_raw_02 = 列(质量原始指标01) - 列(质量原始指标02),fund_quality diff fd_quality_raw_01-fd_quality_raw_02,False,fundamental
fund_quality_diff_fd_quality_raw_01__fd_quality_raw_03,D,Fundamental Packages,fund_quality,fund_quality,基本面质量包·质量原始指标01-质量原始指标03差值,比较 质量原始指标01 与 质量原始指标03 的相对强弱，突出两者差异变化。,fund_quality_diff_fd_quality_raw_01__fd_quality_raw_03 = 列(质量原始指标01) - 列(质量原始指标03),fund_quality diff fd_quality_raw_01-fd_quality_raw_03,False,fundamental
fund_quality_diff_fd_quality_raw_01__fd_quality_raw_04,D,Fundamental Packages,fund_quality,fund_quality,基本面质量包·质量原始指标01-质量原始指标04差值,比较 质量原始指标01 与 质量原始指标04 的相对强弱，突出两者差异变化。,fund_quality_diff_fd_quality_raw_01__fd_quality_raw_04 = 列(质量原始指标01) - 列(质量原始指标04),fund_quality diff fd_quality_raw_01-fd_quality_raw_04,False,fundamental
fund_quality_diff_fd_quality_raw_01__fd_quality_raw_05,D,Fundamental Packages,fund_quality,fund_quality,基本面质量包·质量原始指标01-质量原始指标05差值,比较 质量原始指标01 与 质量原始指标05 的相对强弱，突出两者差异变化。,fund_quality_diff_fd_quality_raw_01__fd_quality_raw_05 = 列(质量原始指标01) - 列(质量原始指标05),fund_quality diff fd_quality_raw_01-fd_quality_raw_05,False,fundamental
fund_quality_diff_fd_quality_raw_01__fd_quality_raw_06,D,Fundamental Packages,fund_quality,fund_quality,基本面质量包·质量原始指标01-质量原始指标06差值,比较 质量原始指标01 与 质量原始指标06 的相对强弱，突出两者差异变化。,fund_quality_diff_fd_quality_raw_01__fd_quality_raw_06 = 列(质量原始指标01) - 列(质量原始指标06),fund_quality diff fd_quality_raw_01-fd_quality_raw_06,False,fundamental
fund_quality_diff_fd_quality_raw_01__fd_quality_raw_07,D,Fundamental Packages,fund_quality,fund_quality,基本面质量包·质量原始指标01-质量原始指标07差值,比较 质量原始指标01 与 质量原始指标07 的相对强弱，突出两者差异变化。,fund_quality_diff_fd_quality_raw_01__fd_quality_raw_07 = 列(质量原始指标01) - 列(质量原始指标07),fund_quality diff fd_quality_raw_01-fd_quality_raw_07,False,fundamental
fund_quality_diff_fd_quality_raw_01__fd_quality_raw_08,D,Fundamental Packages,fund_quality,fund_quality,基本面质量包·质量原始指标01-质量原始指标08差值,比较 质量原始指标01 与 质量原始指标08 的相对强弱，突出两者差异变化。,fund_quality_diff_fd_quality_raw_01__fd_quality_raw_08 = 列(质量原始指标01) - 列(质量原始指标08),fund_quality diff fd_quality_raw_01-fd_quality_raw_08,False,fundamental
fund_quality_diff_fd_quality_raw_01__fd_quality_raw_09,D,Fundamental Packages,fund_quality,fund_quality,基本面质量包·质量原始指标01-质量原始指标09差值,比较 质量原始指标01 与 质量原始指标09 的相对强弱，突出两者差异变化。,fund_quality_diff_fd_quality_raw_01__fd_quality_raw_09 = 列(质量原始指标01) - 列(质量原始指标09),fund_quality diff fd_quality_raw_01-fd_quality_raw_09,False,fundamental
fund_quality_diff_fd_quality_raw_02__fd_quality_raw_03,D,Fundamental Packages,fund_quality,fund_quality,基本面质量包·质量原始指标02-质量原始指标03差值,比较 质量原始指标02 与 质量原始指标03 的相对强弱，突出两者差异变化。,fund_quality_diff_fd_quality_raw_02__fd_quality_raw_03 = 列(质量原始指标02) - 列(质量原始指标03),fund_quality diff fd_quality_raw_02-fd_quality_raw_03,False,fundamental
fund_quality_diff_fd_quality_raw_02__fd_quality_raw_04,D,Fundamental Packages,fund_quality,fund_quality,基本面质量包·质量原始指标02-质量原始指标04差值,比较 质量原始指标02 与 质量原始指标04 的相对强弱，突出两者差异变化。,fund_quality_diff_fd_quality_raw_02__fd_quality_raw_04 = 列(质量原始指标02) - 列(质量原始指标04),fund_quality diff fd_quality_raw_02-fd_quality_raw_04,False,fundamental
