factor,freq,factor_group_label,factor_package,factor_packages,name_cn,meaning_cn,formula_cn,description,used_in_run,factor_group_key
atr_norm_14,D,Price-Volume / Non-Fundamental Packages,volatility,volatility,波动率·atr标准化14,波动率因子，刻画：atr14 标准化 取负,按定义计算：atr14 标准化 取负,atr14 norm negative,True,price_volume
downside_vol_ratio_20,D,Price-Volume / Non-Fundamental Packages,volatility,volatility,波动率·downside成交量ratio20,波动率因子，刻画：downside 比值 取负,按定义计算：downside 比值 取负,downside ratio negative,True,price_volume
g_volatility_diff_atr_norm_14__downside_vol_ratio_20,D,Price-Volume / Non-Fundamental Packages,volatility,volatility,量价波动率包·atr标准化14-downside成交量ratio20差值,比较 atr标准化14 与 downside成交量ratio20 的相对强弱，突出两者差异变化。,g_volatility_diff_atr_norm_14__downside_vol_ratio_20 = 列(atr标准化14) - 列(downside成交量ratio20),g_volatility diff atr_norm_14-downside_vol_ratio_20,True,price_volume
g_volatility_diff_atr_norm_14__intraday_range,D,Price-Volume / Non-Fundamental Packages,volatility,volatility,量价波动率包·atr标准化14-日内振幅差值,比较 atr标准化14 与 日内振幅 的相对强弱，突出两者差异变化。,g_volatility_diff_atr_norm_14__intraday_range = 列(atr标准化14) - 列(日内振幅),g_volatility diff atr_norm_14-intraday_range,True,price_volume
g_volatility_diff_atr_norm_14__jump_ratio_5m,D,Price-Volume / Non-Fundamental Packages,volatility,volatility,量价波动率包·atr标准化14-跳跃ratio5m差值,比较 atr标准化14 与 跳跃ratio5m 的相对强弱，突出两者差异变化。,g_volatility_diff_atr_norm_14__jump_ratio_5m = 列(atr标准化14) - 列(跳跃ratio5m),g_volatility diff atr_norm_14-jump_ratio_5m,True,price_volume
g_volatility_diff_atr_norm_14__minute_realized_vol_5m,D,Price-Volume / Non-Fundamental Packages,volatility,volatility,量价波动率包·atr标准化14-minuterealized成交量5m差值,比较 atr标准化14 与 minuterealized成交量5m 的相对强弱，突出两者差异变化。,g_volatility_diff_atr_norm_14__minute_realized_vol_5m = 列(atr标准化14) - 列(minuterealized成交量5m),g_volatility diff atr_norm_14-minute_realized_vol_5m,True,price_volume
g_volatility_diff_atr_norm_14__realized_vol_20,D,Price-Volume / Non-Fundamental Packages,volatility,volatility,量价波动率包·atr标准化14-realized成交量20差值,比较 atr标准化14 与 realized成交量20 的相对强弱，突出两者差异变化。,g_volatility_diff_atr_norm_14__realized_vol_20 = 列(atr标准化14) - 列(realized成交量20),g_volatility diff atr_norm_14-realized_vol_20,True,price_volume
g_volatility_diff_downside_vol_ratio_20__intraday_range,D,Price-Volume / Non-Fundamental Packages,volatility,volatility,量价波动率包·downside成交量ratio20-日内振幅差值,比较 downside成交量ratio20 与 日内振幅 的相对强弱，突出两者差异变化。,g_volatility_diff_downside_vol_ratio_20__intraday_range = 列(downside成交量ratio20) - 列(日内振幅),g_volatility diff downside_vol_ratio_20-intraday_range,True,price_volume
g_volatility_diff_downside_vol_ratio_20__jump_ratio_5m,D,Price-Volume / Non-Fundamental Packages,volatility,volatility,量价波动率包·downside成交量ratio20-跳跃ratio5m差值,比较 downside成交量ratio20 与 跳跃ratio5m 的相对强弱，突出两者差异变化。,g_volatility_diff_downside_vol_ratio_20__jump_ratio_5m = 列(downside成交量ratio20) - 列(跳跃ratio5m),g_volatility diff downside_vol_ratio_20-jump_ratio_5m,True,price_volume
g_volatility_diff_downside_vol_ratio_20__minute_realized_vol_5m,D,Price-Volume / Non-Fundamental Packages,volatility,volatility,量价波动率包·downside成交量ratio20-minuterealized成交量5m差值,比较 downside成交量ratio20 与 minuterealized成交量5m 的相对强弱，突出两者差异变化。,g_volatility_diff_downside_vol_ratio_20__minute_realized_vol_5m = 列(downside成交量ratio20) - 列(minuterealized成交量5m),g_volatility diff downside_vol_ratio_20-minute_realized_vol_5m,True,price_volume
