factor,freq,factor_group_label,factor_package,factor_packages,name_cn,meaning_cn,formula_cn,description,used_in_run,factor_group_key
fund_growth_diff_fd_growth_raw_01__fd_growth_disp,5min,Fundamental Packages,fund_growth,fund_growth,基本面成长包·成长原始指标01-成长离散度差值,比较 成长原始指标01 与 成长离散度 的相对强弱，突出两者差异变化。,fund_growth_diff_fd_growth_raw_01__fd_growth_disp = 列(成长原始指标01) - 列(成长离散度),fund_growth diff fd_growth_raw_01-fd_growth_disp,True,fundamental
fund_growth_diff_fd_growth_raw_01__fd_growth_raw_02,5min,Fundamental Packages,fund_growth,fund_growth,基本面成长包·成长原始指标01-成长原始指标02差值,比较 成长原始指标01 与 成长原始指标02 的相对强弱，突出两者差异变化。,fund_growth_diff_fd_growth_raw_01__fd_growth_raw_02 = 列(成长原始指标01) - 列(成长原始指标02),fund_growth diff fd_growth_raw_01-fd_growth_raw_02,True,fundamental
fund_growth_diff_fd_growth_raw_01__fd_growth_raw_03,5min,Fundamental Packages,fund_growth,fund_growth,基本面成长包·成长原始指标01-成长原始指标03差值,比较 成长原始指标01 与 成长原始指标03 的相对强弱，突出两者差异变化。,fund_growth_diff_fd_growth_raw_01__fd_growth_raw_03 = 列(成长原始指标01) - 列(成长原始指标03),fund_growth diff fd_growth_raw_01-fd_growth_raw_03,True,fundamental
fund_growth_diff_fd_growth_raw_01__fd_growth_raw_04,5min,Fundamental Packages,fund_growth,fund_growth,基本面成长包·成长原始指标01-成长原始指标04差值,比较 成长原始指标01 与 成长原始指标04 的相对强弱，突出两者差异变化。,fund_growth_diff_fd_growth_raw_01__fd_growth_raw_04 = 列(成长原始指标01) - 列(成长原始指标04),fund_growth diff fd_growth_raw_01-fd_growth_raw_04,True,fundamental
fund_growth_diff_fd_growth_raw_01__fd_growth_raw_05,5min,Fundamental Packages,fund_growth,fund_growth,基本面成长包·成长原始指标01-成长原始指标05差值,比较 成长原始指标01 与 成长原始指标05 的相对强弱，突出两者差异变化。,fund_growth_diff_fd_growth_raw_01__fd_growth_raw_05 = 列(成长原始指标01) - 列(成长原始指标05),fund_growth diff fd_growth_raw_01-fd_growth_raw_05,True,fundamental
fund_growth_diff_fd_growth_raw_01__fd_growth_score,5min,Fundamental Packages,fund_growth,fund_growth,基本面成长包·成长原始指标01-成长综合评分差值,比较 成长原始指标01 与 成长综合评分 的相对强弱，突出两者差异变化。,fund_growth_diff_fd_growth_raw_01__fd_growth_score = 列(成长原始指标01) - 列(成长综合评分),fund_growth diff fd_growth_raw_01-fd_growth_score,True,fundamental
fund_growth_diff_fd_growth_raw_01__fd_growth_trend,5min,Fundamental Packages,fund_growth,fund_growth,基本面成长包·成长原始指标01-成长趋势变化差值,比较 成长原始指标01 与 成长趋势变化 的相对强弱，突出两者差异变化。,fund_growth_diff_fd_growth_raw_01__fd_growth_trend = 列(成长原始指标01) - 列(成长趋势变化),fund_growth diff fd_growth_raw_01-fd_growth_trend,True,fundamental
fund_growth_diff_fd_growth_raw_02__fd_growth_disp,5min,Fundamental Packages,fund_growth,fund_growth,基本面成长包·成长原始指标02-成长离散度差值,比较 成长原始指标02 与 成长离散度 的相对强弱，突出两者差异变化。,fund_growth_diff_fd_growth_raw_02__fd_growth_disp = 列(成长原始指标02) - 列(成长离散度),fund_growth diff fd_growth_raw_02-fd_growth_disp,True,fundamental
fund_growth_diff_fd_growth_raw_02__fd_growth_raw_03,5min,Fundamental Packages,fund_growth,fund_growth,基本面成长包·成长原始指标02-成长原始指标03差值,比较 成长原始指标02 与 成长原始指标03 的相对强弱，突出两者差异变化。,fund_growth_diff_fd_growth_raw_02__fd_growth_raw_03 = 列(成长原始指标02) - 列(成长原始指标03),fund_growth diff fd_growth_raw_02-fd_growth_raw_03,True,fundamental
fund_growth_diff_fd_growth_raw_02__fd_growth_raw_04,5min,Fundamental Packages,fund_growth,fund_growth,基本面成长包·成长原始指标02-成长原始指标04差值,比较 成长原始指标02 与 成长原始指标04 的相对强弱，突出两者差异变化。,fund_growth_diff_fd_growth_raw_02__fd_growth_raw_04 = 列(成长原始指标02) - 列(成长原始指标04),fund_growth diff fd_growth_raw_02-fd_growth_raw_04,True,fundamental
