factor,freq,factor_group_label,factor_package,factor_packages,name_cn,meaning_cn,formula_cn,description,used_in_run,factor_group_key
g_context_diff_barra_beta_proxy__ret_20d,D,Price-Volume / Non-Fundamental Packages,context,context,量价上下文包·barrabeta代理-收益20d差值,比较 barrabeta代理 与 收益20d 的相对强弱，突出两者差异变化。,g_context_diff_barra_beta_proxy__ret_20d = 列(barrabeta代理) - 列(收益20d),g_context diff barra_beta_proxy-ret_20d,False,price_volume
g_context_diff_barra_liquidity_proxy__barra_beta_proxy,D,Price-Volume / Non-Fundamental Packages,context,context,量价上下文包·barra流动性代理-barrabeta代理差值,比较 barra流动性代理 与 barrabeta代理 的相对强弱，突出两者差异变化。,g_context_diff_barra_liquidity_proxy__barra_beta_proxy = 列(barra流动性代理) - 列(barrabeta代理),g_context diff barra_liquidity_proxy-barra_beta_proxy,False,price_volume
g_context_diff_barra_liquidity_proxy__ret_20d,D,Price-Volume / Non-Fundamental Packages,context,context,量价上下文包·barra流动性代理-收益20d差值,比较 barra流动性代理 与 收益20d 的相对强弱，突出两者差异变化。,g_context_diff_barra_liquidity_proxy__ret_20d = 列(barra流动性代理) - 列(收益20d),g_context diff barra_liquidity_proxy-ret_20d,False,price_volume
g_context_diff_barra_momentum_proxy__barra_beta_proxy,D,Price-Volume / Non-Fundamental Packages,context,context,量价上下文包·barra动量代理-barrabeta代理差值,比较 barra动量代理 与 barrabeta代理 的相对强弱，突出两者差异变化。,g_context_diff_barra_momentum_proxy__barra_beta_proxy = 列(barra动量代理) - 列(barrabeta代理),g_context diff barra_momentum_proxy-barra_beta_proxy,False,price_volume
g_context_diff_barra_momentum_proxy__barra_liquidity_proxy,D,Price-Volume / Non-Fundamental Packages,context,context,量价上下文包·barra动量代理-barra流动性代理差值,比较 barra动量代理 与 barra流动性代理 的相对强弱，突出两者差异变化。,g_context_diff_barra_momentum_proxy__barra_liquidity_proxy = 列(barra动量代理) - 列(barra流动性代理),g_context diff barra_momentum_proxy-barra_liquidity_proxy,False,price_volume
g_context_diff_barra_momentum_proxy__barra_volatility_proxy,D,Price-Volume / Non-Fundamental Packages,context,context,量价上下文包·barra动量代理-barravolatility代理差值,比较 barra动量代理 与 barravolatility代理 的相对强弱，突出两者差异变化。,g_context_diff_barra_momentum_proxy__barra_volatility_proxy = 列(barra动量代理) - 列(barravolatility代理),g_context diff barra_momentum_proxy-barra_volatility_proxy,False,price_volume
g_context_diff_barra_momentum_proxy__ret_20d,D,Price-Volume / Non-Fundamental Packages,context,context,量价上下文包·barra动量代理-收益20d差值,比较 barra动量代理 与 收益20d 的相对强弱，突出两者差异变化。,g_context_diff_barra_momentum_proxy__ret_20d = 列(barra动量代理) - 列(收益20d),g_context diff barra_momentum_proxy-ret_20d,False,price_volume
g_context_diff_barra_size_proxy__barra_beta_proxy,D,Price-Volume / Non-Fundamental Packages,context,context,量价上下文包·barrasize代理-barrabeta代理差值,比较 barrasize代理 与 barrabeta代理 的相对强弱，突出两者差异变化。,g_context_diff_barra_size_proxy__barra_beta_proxy = 列(barrasize代理) - 列(barrabeta代理),g_context diff barra_size_proxy-barra_beta_proxy,False,price_volume
g_context_diff_barra_size_proxy__barra_liquidity_proxy,D,Price-Volume / Non-Fundamental Packages,context,context,量价上下文包·barrasize代理-barra流动性代理差值,比较 barrasize代理 与 barra流动性代理 的相对强弱，突出两者差异变化。,g_context_diff_barra_size_proxy__barra_liquidity_proxy = 列(barrasize代理) - 列(barra流动性代理),g_context diff barra_size_proxy-barra_liquidity_proxy,False,price_volume
g_context_diff_barra_size_proxy__barra_momentum_proxy,D,Price-Volume / Non-Fundamental Packages,context,context,量价上下文包·barrasize代理-barra动量代理差值,比较 barrasize代理 与 barra动量代理 的相对强弱，突出两者差异变化。,g_context_diff_barra_size_proxy__barra_momentum_proxy = 列(barrasize代理) - 列(barra动量代理),g_context diff barra_size_proxy-barra_momentum_proxy,False,price_volume
