factor,freq,factor_group_label,factor_package,factor_packages,name_cn,meaning_cn,formula_cn,description,used_in_run,factor_group_key
amount_ratio_12,5min,Price-Volume / Non-Fundamental Packages,liquidity,liquidity,流动性·成交额比率12,流动性因子，刻画：成交额 比值,按定义计算：成交额 比值,amount ratio,True,price_volume
g_liquidity_diff_amount_ratio_12__context_intraday_mood,5min,Price-Volume / Non-Fundamental Packages,liquidity,liquidity,量价流动性包·成交额比率12-日内情绪上下文差值,比较 成交额比率12 与 日内情绪上下文 的相对强弱，突出两者差异变化。,g_liquidity_diff_amount_ratio_12__context_intraday_mood = 列(成交额比率12) - 列(日内情绪上下文),g_liquidity diff amount_ratio_12-context_intraday_mood,True,price_volume
g_liquidity_diff_amount_ratio_12__context_liquidity_20d,5min,Price-Volume / Non-Fundamental Packages,liquidity,liquidity,量价流动性包·成交额比率12-20日流动性上下文差值,比较 成交额比率12 与 20日流动性上下文 的相对强弱，突出两者差异变化。,g_liquidity_diff_amount_ratio_12__context_liquidity_20d = 列(成交额比率12) - 列(20日流动性上下文),g_liquidity diff amount_ratio_12-context_liquidity_20d,True,price_volume
g_liquidity_diff_amount_ratio_12__context_trend_20d,5min,Price-Volume / Non-Fundamental Packages,liquidity,liquidity,量价流动性包·成交额比率12-20日趋势上下文差值,比较 成交额比率12 与 20日趋势上下文 的相对强弱，突出两者差异变化。,g_liquidity_diff_amount_ratio_12__context_trend_20d = 列(成交额比率12) - 列(20日趋势上下文),g_liquidity diff amount_ratio_12-context_trend_20d,True,price_volume
g_liquidity_diff_amount_ratio_12__crowding_proxy_raw,5min,Price-Volume / Non-Fundamental Packages,liquidity,liquidity,量价流动性包·成交额比率12-拥挤度原始代理差值,比较 成交额比率12 与 拥挤度原始代理 的相对强弱，突出两者差异变化。,g_liquidity_diff_amount_ratio_12__crowding_proxy_raw = 列(成交额比率12) - 列(拥挤度原始代理),g_liquidity diff amount_ratio_12-crowding_proxy_raw,True,price_volume
g_liquidity_diff_amount_ratio_12__vol_chg_1,5min,Price-Volume / Non-Fundamental Packages,liquidity,liquidity,量价流动性包·成交额比率12-成交量变化1差值,比较 成交额比率12 与 成交量变化1 的相对强弱，突出两者差异变化。,g_liquidity_diff_amount_ratio_12__vol_chg_1 = 列(成交额比率12) - 列(成交量变化1),g_liquidity diff amount_ratio_12-vol_chg_1,True,price_volume
g_liquidity_diff_context_intraday_mood__context_trend_20d,5min,Price-Volume / Non-Fundamental Packages,liquidity,liquidity,量价流动性包·日内情绪上下文-20日趋势上下文差值,比较 日内情绪上下文 与 20日趋势上下文 的相对强弱，突出两者差异变化。,g_liquidity_diff_context_intraday_mood__context_trend_20d = 列(日内情绪上下文) - 列(20日趋势上下文),g_liquidity diff context_intraday_mood-context_trend_20d,True,price_volume
g_liquidity_diff_context_liquidity_20d__context_intraday_mood,5min,Price-Volume / Non-Fundamental Packages,liquidity,liquidity,量价流动性包·20日流动性上下文-日内情绪上下文差值,比较 20日流动性上下文 与 日内情绪上下文 的相对强弱，突出两者差异变化。,g_liquidity_diff_context_liquidity_20d__context_intraday_mood = 列(20日流动性上下文) - 列(日内情绪上下文),g_liquidity diff context_liquidity_20d-context_intraday_mood,True,price_volume
g_liquidity_diff_context_liquidity_20d__context_trend_20d,5min,Price-Volume / Non-Fundamental Packages,liquidity,liquidity,量价流动性包·20日流动性上下文-20日趋势上下文差值,比较 20日流动性上下文 与 20日趋势上下文 的相对强弱，突出两者差异变化。,g_liquidity_diff_context_liquidity_20d__context_trend_20d = 列(20日流动性上下文) - 列(20日趋势上下文),g_liquidity diff context_liquidity_20d-context_trend_20d,True,price_volume
g_liquidity_diff_crowding_proxy_raw__context_intraday_mood,5min,Price-Volume / Non-Fundamental Packages,liquidity,liquidity,量价流动性包·拥挤度原始代理-日内情绪上下文差值,比较 拥挤度原始代理 与 日内情绪上下文 的相对强弱，突出两者差异变化。,g_liquidity_diff_crowding_proxy_raw__context_intraday_mood = 列(拥挤度原始代理) - 列(日内情绪上下文),g_liquidity diff crowding_proxy_raw-context_intraday_mood,True,price_volume
g_liquidity_diff_crowding_proxy_raw__context_liquidity_20d,5min,Price-Volume / Non-Fundamental Packages,liquidity,liquidity,量价流动性包·拥挤度原始代理-20日流动性上下文差值,比较 拥挤度原始代理 与 20日流动性上下文 的相对强弱，突出两者差异变化。,g_liquidity_diff_crowding_proxy_raw__context_liquidity_20d = 列(拥挤度原始代理) - 列(20日流动性上下文),g_liquidity diff crowding_proxy_raw-context_liquidity_20d,True,price_volume
g_liquidity_diff_crowding_proxy_raw__context_trend_20d,5min,Price-Volume / Non-Fundamental Packages,liquidity,liquidity,量价流动性包·拥挤度原始代理-20日趋势上下文差值,比较 拥挤度原始代理 与 20日趋势上下文 的相对强弱，突出两者差异变化。,g_liquidity_diff_crowding_proxy_raw__context_trend_20d = 列(拥挤度原始代理) - 列(20日趋势上下文),g_liquidity diff crowding_proxy_raw-context_trend_20d,True,price_volume
g_liquidity_diff_vol_chg_1__context_intraday_mood,5min,Price-Volume / Non-Fundamental Packages,liquidity,liquidity,量价流动性包·成交量变化1-日内情绪上下文差值,比较 成交量变化1 与 日内情绪上下文 的相对强弱，突出两者差异变化。,g_liquidity_diff_vol_chg_1__context_intraday_mood = 列(成交量变化1) - 列(日内情绪上下文),g_liquidity diff vol_chg_1-context_intraday_mood,True,price_volume
g_liquidity_diff_vol_chg_1__context_liquidity_20d,5min,Price-Volume / Non-Fundamental Packages,liquidity,liquidity,量价流动性包·成交量变化1-20日流动性上下文差值,比较 成交量变化1 与 20日流动性上下文 的相对强弱，突出两者差异变化。,g_liquidity_diff_vol_chg_1__context_liquidity_20d = 列(成交量变化1) - 列(20日流动性上下文),g_liquidity diff vol_chg_1-context_liquidity_20d,True,price_volume
g_liquidity_diff_vol_chg_1__context_trend_20d,5min,Price-Volume / Non-Fundamental Packages,liquidity,liquidity,量价流动性包·成交量变化1-20日趋势上下文差值,比较 成交量变化1 与 20日趋势上下文 的相对强弱，突出两者差异变化。,g_liquidity_diff_vol_chg_1__context_trend_20d = 列(成交量变化1) - 列(20日趋势上下文),g_liquidity diff vol_chg_1-context_trend_20d,True,price_volume
g_liquidity_diff_vol_chg_1__crowding_proxy_raw,5min,Price-Volume / Non-Fundamental Packages,liquidity,liquidity,量价流动性包·成交量变化1-拥挤度原始代理差值,比较 成交量变化1 与 拥挤度原始代理 的相对强弱，突出两者差异变化。,g_liquidity_diff_vol_chg_1__crowding_proxy_raw = 列(成交量变化1) - 列(拥挤度原始代理),g_liquidity diff vol_chg_1-crowding_proxy_raw,True,price_volume
g_liquidity_lvl_amount_ratio_12,5min,Price-Volume / Non-Fundamental Packages,liquidity,liquidity,量价流动性包·成交额比率12原值,直接使用 成交额比率12 作为 量价流动性包 信号，反映该基础指标的绝对水平。,g_liquidity_lvl_amount_ratio_12 = 列(成交额比率12),g_liquidity level amount_ratio_12,True,price_volume
g_liquidity_lvl_context_intraday_mood,5min,Price-Volume / Non-Fundamental Packages,liquidity,liquidity,量价流动性包·日内情绪上下文原值,直接使用 日内情绪上下文 作为 量价流动性包 信号，反映该基础指标的绝对水平。,g_liquidity_lvl_context_intraday_mood = 列(日内情绪上下文),g_liquidity level context_intraday_mood,True,price_volume
g_liquidity_lvl_context_liquidity_20d,5min,Price-Volume / Non-Fundamental Packages,liquidity,liquidity,量价流动性包·20日流动性上下文原值,直接使用 20日流动性上下文 作为 量价流动性包 信号，反映该基础指标的绝对水平。,g_liquidity_lvl_context_liquidity_20d = 列(20日流动性上下文),g_liquidity level context_liquidity_20d,True,price_volume
g_liquidity_lvl_context_quality_20d,5min,Price-Volume / Non-Fundamental Packages,liquidity,liquidity,量价流动性包·20日质量上下文原值,直接使用 20日质量上下文 作为 量价流动性包 信号，反映该基础指标的绝对水平。,g_liquidity_lvl_context_quality_20d = 列(20日质量上下文),g_liquidity level context_quality_20d,True,price_volume
g_liquidity_lvl_context_trend_20d,5min,Price-Volume / Non-Fundamental Packages,liquidity,liquidity,量价流动性包·20日趋势上下文原值,直接使用 20日趋势上下文 作为 量价流动性包 信号，反映该基础指标的绝对水平。,g_liquidity_lvl_context_trend_20d = 列(20日趋势上下文),g_liquidity level context_trend_20d,True,price_volume
g_liquidity_lvl_crowding_proxy_raw,5min,Price-Volume / Non-Fundamental Packages,liquidity,liquidity,量价流动性包·拥挤度原始代理原值,直接使用 拥挤度原始代理 作为 量价流动性包 信号，反映该基础指标的绝对水平。,g_liquidity_lvl_crowding_proxy_raw = 列(拥挤度原始代理),g_liquidity level crowding_proxy_raw,True,price_volume
g_liquidity_lvl_vol_chg_1,5min,Price-Volume / Non-Fundamental Packages,liquidity,liquidity,量价流动性包·成交量变化1原值,直接使用 成交量变化1 作为 量价流动性包 信号，反映该基础指标的绝对水平。,g_liquidity_lvl_vol_chg_1 = 列(成交量变化1),g_liquidity level vol_chg_1,True,price_volume
g_liquidity_neg_amount_ratio_12,5min,Price-Volume / Non-Fundamental Packages,liquidity,liquidity,量价流动性包·成交额比率12反向,对 成交额比率12 取负，构造方向相反的因子暴露。,g_liquidity_neg_amount_ratio_12 = -列(成交额比率12),g_liquidity negative amount_ratio_12,True,price_volume
g_liquidity_neg_context_intraday_mood,5min,Price-Volume / Non-Fundamental Packages,liquidity,liquidity,量价流动性包·日内情绪上下文反向,对 日内情绪上下文 取负，构造方向相反的因子暴露。,g_liquidity_neg_context_intraday_mood = -列(日内情绪上下文),g_liquidity negative context_intraday_mood,True,price_volume
