factor,freq,factor_group_label,factor_package,factor_packages,name_cn,meaning_cn,formula_cn,description,used_in_run,factor_group_key
g_structure_diff_close_to_vwap_day__last30_momentum,D,Price-Volume / Non-Fundamental Packages,structure,structure,量价结构包·收盘toVWAPday-last30动量差值,比较 收盘toVWAPday 与 last30动量 的相对强弱，突出两者差异变化。,g_structure_diff_close_to_vwap_day__last30_momentum = 列(收盘toVWAPday) - 列(last30动量),g_structure diff close_to_vwap_day-last30_momentum,True,price_volume
g_structure_diff_close_to_vwap_day__minute_ret_skew_5m,D,Price-Volume / Non-Fundamental Packages,structure,structure,量价结构包·收盘toVWAPday-minute收益skew5m差值,比较 收盘toVWAPday 与 minute收益skew5m 的相对强弱，突出两者差异变化。,g_structure_diff_close_to_vwap_day__minute_ret_skew_5m = 列(收盘toVWAPday) - 列(minute收益skew5m),g_structure diff close_to_vwap_day-minute_ret_skew_5m,True,price_volume
g_structure_diff_close_to_vwap_day__minute_up_ratio_5m,D,Price-Volume / Non-Fundamental Packages,structure,structure,量价结构包·收盘toVWAPday-minuteupratio5m差值,比较 收盘toVWAPday 与 minuteupratio5m 的相对强弱，突出两者差异变化。,g_structure_diff_close_to_vwap_day__minute_up_ratio_5m = 列(收盘toVWAPday) - 列(minuteupratio5m),g_structure diff close_to_vwap_day-minute_up_ratio_5m,True,price_volume
g_structure_diff_close_to_vwap_day__morning_momentum_30m,D,Price-Volume / Non-Fundamental Packages,structure,structure,量价结构包·收盘toVWAPday-morning动量30m差值,比较 收盘toVWAPday 与 morning动量30m 的相对强弱，突出两者差异变化。,g_structure_diff_close_to_vwap_day__morning_momentum_30m = 列(收盘toVWAPday) - 列(morning动量30m),g_structure diff close_to_vwap_day-morning_momentum_30m,True,price_volume
g_structure_diff_close_to_vwap_day__vwap30_vs_day,D,Price-Volume / Non-Fundamental Packages,structure,structure,量价结构包·收盘toVWAPday-vwap30vsday差值,比较 收盘toVWAPday 与 vwap30vsday 的相对强弱，突出两者差异变化。,g_structure_diff_close_to_vwap_day__vwap30_vs_day = 列(收盘toVWAPday) - 列(vwap30vsday),g_structure diff close_to_vwap_day-vwap30_vs_day,True,price_volume
g_structure_diff_last30_momentum__minute_ret_skew_5m,D,Price-Volume / Non-Fundamental Packages,structure,structure,量价结构包·last30动量-minute收益skew5m差值,比较 last30动量 与 minute收益skew5m 的相对强弱，突出两者差异变化。,g_structure_diff_last30_momentum__minute_ret_skew_5m = 列(last30动量) - 列(minute收益skew5m),g_structure diff last30_momentum-minute_ret_skew_5m,True,price_volume
g_structure_diff_last30_momentum__minute_up_ratio_5m,D,Price-Volume / Non-Fundamental Packages,structure,structure,量价结构包·last30动量-minuteupratio5m差值,比较 last30动量 与 minuteupratio5m 的相对强弱，突出两者差异变化。,g_structure_diff_last30_momentum__minute_up_ratio_5m = 列(last30动量) - 列(minuteupratio5m),g_structure diff last30_momentum-minute_up_ratio_5m,True,price_volume
g_structure_diff_minute_up_ratio_5m__minute_ret_skew_5m,D,Price-Volume / Non-Fundamental Packages,structure,structure,量价结构包·minuteupratio5m-minute收益skew5m差值,比较 minuteupratio5m 与 minute收益skew5m 的相对强弱，突出两者差异变化。,g_structure_diff_minute_up_ratio_5m__minute_ret_skew_5m = 列(minuteupratio5m) - 列(minute收益skew5m),g_structure diff minute_up_ratio_5m-minute_ret_skew_5m,True,price_volume
g_structure_diff_morning_momentum_30m__last30_momentum,D,Price-Volume / Non-Fundamental Packages,structure,structure,量价结构包·morning动量30m-last30动量差值,比较 morning动量30m 与 last30动量 的相对强弱，突出两者差异变化。,g_structure_diff_morning_momentum_30m__last30_momentum = 列(morning动量30m) - 列(last30动量),g_structure diff morning_momentum_30m-last30_momentum,True,price_volume
g_structure_diff_morning_momentum_30m__minute_ret_skew_5m,D,Price-Volume / Non-Fundamental Packages,structure,structure,量价结构包·morning动量30m-minute收益skew5m差值,比较 morning动量30m 与 minute收益skew5m 的相对强弱，突出两者差异变化。,g_structure_diff_morning_momentum_30m__minute_ret_skew_5m = 列(morning动量30m) - 列(minute收益skew5m),g_structure diff morning_momentum_30m-minute_ret_skew_5m,True,price_volume
