factor,freq,factor_group_label,factor_package,factor_packages,name_cn,meaning_cn,formula_cn,description,used_in_run,factor_group_key
amount_ratio_12,5min,Price-Volume / Non-Fundamental Packages,liquidity,liquidity,流动性·成交额比率12,流动性因子，刻画：成交额 比值,按定义计算：成交额 比值,amount ratio,True,price_volume
context_intraday_mood,5min,Price-Volume / Non-Fundamental Packages,context,context,市场上下文·日内情绪上下文,市场上下文因子，刻画：up-比值 减 跳跃 比值,按定义计算：up-比值 减 跳跃 比值,up-ratio minus jump ratio,True,price_volume
context_liquidity_20d,5min,Price-Volume / Non-Fundamental Packages,context,context,市场上下文·20日流动性上下文,市场上下文因子，刻画：取负 日频 amihud20,按定义计算：取负 日频 amihud20,negative daily amihud20,True,price_volume
context_quality_20d,5min,Price-Volume / Non-Fundamental Packages,context,context,市场上下文·20日质量上下文,市场上下文因子，刻画：日频 ret20 除以 vol20,按定义计算：日频 ret20 除以 vol20,daily ret20 over vol20,True,price_volume
context_trend_20d,5min,Price-Volume / Non-Fundamental Packages,context,context,市场上下文·20日趋势上下文,市场上下文因子，刻画：日频 ret20 context,按定义计算：日频 ret20 context,daily ret20 context,True,price_volume
crowding_proxy_raw,5min,Price-Volume / Non-Fundamental Packages,crowding,crowding,拥挤度·拥挤度原始代理,拥挤度因子，刻画：拥挤 代理 取负,按定义计算：拥挤 代理 取负,crowding proxy negative,True,price_volume
crowding_unwind,5min,Price-Volume / Non-Fundamental Packages,crowding,crowding,拥挤度·拥挤unwind,拥挤度因子，刻画：拥挤 反转,按定义计算：拥挤 反转,crowding unwind,True,price_volume
flow_momentum_sync,5min,Price-Volume / Non-Fundamental Packages,flow,flow,成交资金流·资金流动量同步,成交资金流因子，刻画：成交量 change * ret3,按定义计算：成交量 change * ret3,vol change * ret3,True,price_volume
g_context_diff_context_intraday_mood__ret_12,5min,Price-Volume / Non-Fundamental Packages,context,context,量价上下文包·日内情绪上下文-12期收益率差值,比较 日内情绪上下文 与 12期收益率 的相对强弱，突出两者差异变化。,g_context_diff_context_intraday_mood__ret_12 = 列(日内情绪上下文) - 列(12期收益率),g_context diff context_intraday_mood-ret_12,True,price_volume
g_context_diff_context_intraday_mood__rv_12,5min,Price-Volume / Non-Fundamental Packages,context,context,量价上下文包·日内情绪上下文-12期实现波动率差值,比较 日内情绪上下文 与 12期实现波动率 的相对强弱，突出两者差异变化。,g_context_diff_context_intraday_mood__rv_12 = 列(日内情绪上下文) - 列(12期实现波动率),g_context diff context_intraday_mood-rv_12,True,price_volume
g_context_diff_context_liquidity_20d__context_intraday_mood,5min,Price-Volume / Non-Fundamental Packages,context,context,量价上下文包·20日流动性上下文-日内情绪上下文差值,比较 20日流动性上下文 与 日内情绪上下文 的相对强弱，突出两者差异变化。,g_context_diff_context_liquidity_20d__context_intraday_mood = 列(20日流动性上下文) - 列(日内情绪上下文),g_context diff context_liquidity_20d-context_intraday_mood,True,price_volume
g_context_diff_context_liquidity_20d__ret_12,5min,Price-Volume / Non-Fundamental Packages,context,context,量价上下文包·20日流动性上下文-12期收益率差值,比较 20日流动性上下文 与 12期收益率 的相对强弱，突出两者差异变化。,g_context_diff_context_liquidity_20d__ret_12 = 列(20日流动性上下文) - 列(12期收益率),g_context diff context_liquidity_20d-ret_12,True,price_volume
g_context_diff_context_liquidity_20d__rv_12,5min,Price-Volume / Non-Fundamental Packages,context,context,量价上下文包·20日流动性上下文-12期实现波动率差值,比较 20日流动性上下文 与 12期实现波动率 的相对强弱，突出两者差异变化。,g_context_diff_context_liquidity_20d__rv_12 = 列(20日流动性上下文) - 列(12期实现波动率),g_context diff context_liquidity_20d-rv_12,True,price_volume
g_context_diff_context_quality_20d__context_intraday_mood,5min,Price-Volume / Non-Fundamental Packages,context,context,量价上下文包·20日质量上下文-日内情绪上下文差值,比较 20日质量上下文 与 日内情绪上下文 的相对强弱，突出两者差异变化。,g_context_diff_context_quality_20d__context_intraday_mood = 列(20日质量上下文) - 列(日内情绪上下文),g_context diff context_quality_20d-context_intraday_mood,True,price_volume
g_context_diff_context_quality_20d__context_liquidity_20d,5min,Price-Volume / Non-Fundamental Packages,context,context,量价上下文包·20日质量上下文-20日流动性上下文差值,比较 20日质量上下文 与 20日流动性上下文 的相对强弱，突出两者差异变化。,g_context_diff_context_quality_20d__context_liquidity_20d = 列(20日质量上下文) - 列(20日流动性上下文),g_context diff context_quality_20d-context_liquidity_20d,True,price_volume
g_context_diff_context_quality_20d__ret_12,5min,Price-Volume / Non-Fundamental Packages,context,context,量价上下文包·20日质量上下文-12期收益率差值,比较 20日质量上下文 与 12期收益率 的相对强弱，突出两者差异变化。,g_context_diff_context_quality_20d__ret_12 = 列(20日质量上下文) - 列(12期收益率),g_context diff context_quality_20d-ret_12,True,price_volume
g_context_diff_context_quality_20d__rv_12,5min,Price-Volume / Non-Fundamental Packages,context,context,量价上下文包·20日质量上下文-12期实现波动率差值,比较 20日质量上下文 与 12期实现波动率 的相对强弱，突出两者差异变化。,g_context_diff_context_quality_20d__rv_12 = 列(20日质量上下文) - 列(12期实现波动率),g_context diff context_quality_20d-rv_12,True,price_volume
g_context_diff_context_trend_20d__context_intraday_mood,5min,Price-Volume / Non-Fundamental Packages,context,context,量价上下文包·20日趋势上下文-日内情绪上下文差值,比较 20日趋势上下文 与 日内情绪上下文 的相对强弱，突出两者差异变化。,g_context_diff_context_trend_20d__context_intraday_mood = 列(20日趋势上下文) - 列(日内情绪上下文),g_context diff context_trend_20d-context_intraday_mood,True,price_volume
g_context_diff_context_trend_20d__context_liquidity_20d,5min,Price-Volume / Non-Fundamental Packages,context,context,量价上下文包·20日趋势上下文-20日流动性上下文差值,比较 20日趋势上下文 与 20日流动性上下文 的相对强弱，突出两者差异变化。,g_context_diff_context_trend_20d__context_liquidity_20d = 列(20日趋势上下文) - 列(20日流动性上下文),g_context diff context_trend_20d-context_liquidity_20d,True,price_volume
g_context_diff_context_trend_20d__context_quality_20d,5min,Price-Volume / Non-Fundamental Packages,context,context,量价上下文包·20日趋势上下文-20日质量上下文差值,比较 20日趋势上下文 与 20日质量上下文 的相对强弱，突出两者差异变化。,g_context_diff_context_trend_20d__context_quality_20d = 列(20日趋势上下文) - 列(20日质量上下文),g_context diff context_trend_20d-context_quality_20d,True,price_volume
g_context_diff_context_trend_20d__ret_12,5min,Price-Volume / Non-Fundamental Packages,context,context,量价上下文包·20日趋势上下文-12期收益率差值,比较 20日趋势上下文 与 12期收益率 的相对强弱，突出两者差异变化。,g_context_diff_context_trend_20d__ret_12 = 列(20日趋势上下文) - 列(12期收益率),g_context diff context_trend_20d-ret_12,True,price_volume
g_context_diff_context_trend_20d__rv_12,5min,Price-Volume / Non-Fundamental Packages,context,context,量价上下文包·20日趋势上下文-12期实现波动率差值,比较 20日趋势上下文 与 12期实现波动率 的相对强弱，突出两者差异变化。,g_context_diff_context_trend_20d__rv_12 = 列(20日趋势上下文) - 列(12期实现波动率),g_context diff context_trend_20d-rv_12,True,price_volume
g_context_diff_ret_12__rv_12,5min,Price-Volume / Non-Fundamental Packages,context,context,量价上下文包·12期收益率-12期实现波动率差值,比较 12期收益率 与 12期实现波动率 的相对强弱，突出两者差异变化。,g_context_diff_ret_12__rv_12 = 列(12期收益率) - 列(12期实现波动率),g_context diff ret_12-rv_12,True,price_volume
g_context_lvl_amount_ratio_12,5min,Price-Volume / Non-Fundamental Packages,context,context,量价上下文包·成交额比率12原值,直接使用 成交额比率12 作为 量价上下文包 信号，反映该基础指标的绝对水平。,g_context_lvl_amount_ratio_12 = 列(成交额比率12),g_context level amount_ratio_12,True,price_volume
g_context_lvl_context_intraday_mood,5min,Price-Volume / Non-Fundamental Packages,context,context,量价上下文包·日内情绪上下文原值,直接使用 日内情绪上下文 作为 量价上下文包 信号，反映该基础指标的绝对水平。,g_context_lvl_context_intraday_mood = 列(日内情绪上下文),g_context level context_intraday_mood,True,price_volume
g_context_lvl_context_liquidity_20d,5min,Price-Volume / Non-Fundamental Packages,context,context,量价上下文包·20日流动性上下文原值,直接使用 20日流动性上下文 作为 量价上下文包 信号，反映该基础指标的绝对水平。,g_context_lvl_context_liquidity_20d = 列(20日流动性上下文),g_context level context_liquidity_20d,True,price_volume
g_context_lvl_context_quality_20d,5min,Price-Volume / Non-Fundamental Packages,context,context,量价上下文包·20日质量上下文原值,直接使用 20日质量上下文 作为 量价上下文包 信号，反映该基础指标的绝对水平。,g_context_lvl_context_quality_20d = 列(20日质量上下文),g_context level context_quality_20d,True,price_volume
g_context_lvl_context_trend_20d,5min,Price-Volume / Non-Fundamental Packages,context,context,量价上下文包·20日趋势上下文原值,直接使用 20日趋势上下文 作为 量价上下文包 信号，反映该基础指标的绝对水平。,g_context_lvl_context_trend_20d = 列(20日趋势上下文),g_context level context_trend_20d,True,price_volume
g_context_lvl_ret_12,5min,Price-Volume / Non-Fundamental Packages,context,context,量价上下文包·12期收益率原值,直接使用 12期收益率 作为 量价上下文包 信号，反映该基础指标的绝对水平。,g_context_lvl_ret_12 = 列(12期收益率),g_context level ret_12,True,price_volume
g_context_lvl_rv_12,5min,Price-Volume / Non-Fundamental Packages,context,context,量价上下文包·12期实现波动率原值,直接使用 12期实现波动率 作为 量价上下文包 信号，反映该基础指标的绝对水平。,g_context_lvl_rv_12 = 列(12期实现波动率),g_context level rv_12,True,price_volume
g_context_neg_amount_ratio_12,5min,Price-Volume / Non-Fundamental Packages,context,context,量价上下文包·成交额比率12反向,对 成交额比率12 取负，构造方向相反的因子暴露。,g_context_neg_amount_ratio_12 = -列(成交额比率12),g_context negative amount_ratio_12,True,price_volume
g_context_neg_context_intraday_mood,5min,Price-Volume / Non-Fundamental Packages,context,context,量价上下文包·日内情绪上下文反向,对 日内情绪上下文 取负，构造方向相反的因子暴露。,g_context_neg_context_intraday_mood = -列(日内情绪上下文),g_context negative context_intraday_mood,True,price_volume
g_context_neg_context_liquidity_20d,5min,Price-Volume / Non-Fundamental Packages,context,context,量价上下文包·20日流动性上下文反向,对 20日流动性上下文 取负，构造方向相反的因子暴露。,g_context_neg_context_liquidity_20d = -列(20日流动性上下文),g_context negative context_liquidity_20d,True,price_volume
g_context_neg_context_quality_20d,5min,Price-Volume / Non-Fundamental Packages,context,context,量价上下文包·20日质量上下文反向,对 20日质量上下文 取负，构造方向相反的因子暴露。,g_context_neg_context_quality_20d = -列(20日质量上下文),g_context negative context_quality_20d,True,price_volume
g_context_neg_context_trend_20d,5min,Price-Volume / Non-Fundamental Packages,context,context,量价上下文包·20日趋势上下文反向,对 20日趋势上下文 取负，构造方向相反的因子暴露。,g_context_neg_context_trend_20d = -列(20日趋势上下文),g_context negative context_trend_20d,True,price_volume
g_context_neg_ret_12,5min,Price-Volume / Non-Fundamental Packages,context,context,量价上下文包·12期收益率反向,对 12期收益率 取负，构造方向相反的因子暴露。,g_context_neg_ret_12 = -列(12期收益率),g_context negative ret_12,True,price_volume
g_context_neg_rv_12,5min,Price-Volume / Non-Fundamental Packages,context,context,量价上下文包·12期实现波动率反向,对 12期实现波动率 取负，构造方向相反的因子暴露。,g_context_neg_rv_12 = -列(12期实现波动率),g_context negative rv_12,True,price_volume
g_context_ratio_context_intraday_mood__ret_12,5min,Price-Volume / Non-Fundamental Packages,context,context,量价上下文包·日内情绪上下文/12期收益率比值,衡量 日内情绪上下文 相对 12期收益率 的比例关系，体现结构性偏离。,g_context_ratio_context_intraday_mood__ret_12 = 列(日内情绪上下文) / (|列(12期收益率)| + EPS),g_context ratio context_intraday_mood/ret_12,True,price_volume
g_context_ratio_context_intraday_mood__rv_12,5min,Price-Volume / Non-Fundamental Packages,context,context,量价上下文包·日内情绪上下文/12期实现波动率比值,衡量 日内情绪上下文 相对 12期实现波动率 的比例关系，体现结构性偏离。,g_context_ratio_context_intraday_mood__rv_12 = 列(日内情绪上下文) / (|列(12期实现波动率)| + EPS),g_context ratio context_intraday_mood/rv_12,True,price_volume
g_context_ratio_context_liquidity_20d__context_intraday_mood,5min,Price-Volume / Non-Fundamental Packages,context,context,量价上下文包·20日流动性上下文/日内情绪上下文比值,衡量 20日流动性上下文 相对 日内情绪上下文 的比例关系，体现结构性偏离。,g_context_ratio_context_liquidity_20d__context_intraday_mood = 列(20日流动性上下文) / (|列(日内情绪上下文)| + EPS),g_context ratio context_liquidity_20d/context_intraday_mood,True,price_volume
g_context_ratio_context_liquidity_20d__ret_12,5min,Price-Volume / Non-Fundamental Packages,context,context,量价上下文包·20日流动性上下文/12期收益率比值,衡量 20日流动性上下文 相对 12期收益率 的比例关系，体现结构性偏离。,g_context_ratio_context_liquidity_20d__ret_12 = 列(20日流动性上下文) / (|列(12期收益率)| + EPS),g_context ratio context_liquidity_20d/ret_12,True,price_volume
g_context_ratio_context_liquidity_20d__rv_12,5min,Price-Volume / Non-Fundamental Packages,context,context,量价上下文包·20日流动性上下文/12期实现波动率比值,衡量 20日流动性上下文 相对 12期实现波动率 的比例关系，体现结构性偏离。,g_context_ratio_context_liquidity_20d__rv_12 = 列(20日流动性上下文) / (|列(12期实现波动率)| + EPS),g_context ratio context_liquidity_20d/rv_12,True,price_volume
g_context_ratio_context_quality_20d__context_intraday_mood,5min,Price-Volume / Non-Fundamental Packages,context,context,量价上下文包·20日质量上下文/日内情绪上下文比值,衡量 20日质量上下文 相对 日内情绪上下文 的比例关系，体现结构性偏离。,g_context_ratio_context_quality_20d__context_intraday_mood = 列(20日质量上下文) / (|列(日内情绪上下文)| + EPS),g_context ratio context_quality_20d/context_intraday_mood,True,price_volume
g_context_ratio_context_quality_20d__context_liquidity_20d,5min,Price-Volume / Non-Fundamental Packages,context,context,量价上下文包·20日质量上下文/20日流动性上下文比值,衡量 20日质量上下文 相对 20日流动性上下文 的比例关系，体现结构性偏离。,g_context_ratio_context_quality_20d__context_liquidity_20d = 列(20日质量上下文) / (|列(20日流动性上下文)| + EPS),g_context ratio context_quality_20d/context_liquidity_20d,True,price_volume
g_context_ratio_context_quality_20d__ret_12,5min,Price-Volume / Non-Fundamental Packages,context,context,量价上下文包·20日质量上下文/12期收益率比值,衡量 20日质量上下文 相对 12期收益率 的比例关系，体现结构性偏离。,g_context_ratio_context_quality_20d__ret_12 = 列(20日质量上下文) / (|列(12期收益率)| + EPS),g_context ratio context_quality_20d/ret_12,True,price_volume
g_context_ratio_context_quality_20d__rv_12,5min,Price-Volume / Non-Fundamental Packages,context,context,量价上下文包·20日质量上下文/12期实现波动率比值,衡量 20日质量上下文 相对 12期实现波动率 的比例关系，体现结构性偏离。,g_context_ratio_context_quality_20d__rv_12 = 列(20日质量上下文) / (|列(12期实现波动率)| + EPS),g_context ratio context_quality_20d/rv_12,True,price_volume
g_context_ratio_context_trend_20d__context_intraday_mood,5min,Price-Volume / Non-Fundamental Packages,context,context,量价上下文包·20日趋势上下文/日内情绪上下文比值,衡量 20日趋势上下文 相对 日内情绪上下文 的比例关系，体现结构性偏离。,g_context_ratio_context_trend_20d__context_intraday_mood = 列(20日趋势上下文) / (|列(日内情绪上下文)| + EPS),g_context ratio context_trend_20d/context_intraday_mood,True,price_volume
g_context_ratio_context_trend_20d__context_liquidity_20d,5min,Price-Volume / Non-Fundamental Packages,context,context,量价上下文包·20日趋势上下文/20日流动性上下文比值,衡量 20日趋势上下文 相对 20日流动性上下文 的比例关系，体现结构性偏离。,g_context_ratio_context_trend_20d__context_liquidity_20d = 列(20日趋势上下文) / (|列(20日流动性上下文)| + EPS),g_context ratio context_trend_20d/context_liquidity_20d,True,price_volume
g_context_ratio_context_trend_20d__context_quality_20d,5min,Price-Volume / Non-Fundamental Packages,context,context,量价上下文包·20日趋势上下文/20日质量上下文比值,衡量 20日趋势上下文 相对 20日质量上下文 的比例关系，体现结构性偏离。,g_context_ratio_context_trend_20d__context_quality_20d = 列(20日趋势上下文) / (|列(20日质量上下文)| + EPS),g_context ratio context_trend_20d/context_quality_20d,True,price_volume
g_context_ratio_context_trend_20d__ret_12,5min,Price-Volume / Non-Fundamental Packages,context,context,量价上下文包·20日趋势上下文/12期收益率比值,衡量 20日趋势上下文 相对 12期收益率 的比例关系，体现结构性偏离。,g_context_ratio_context_trend_20d__ret_12 = 列(20日趋势上下文) / (|列(12期收益率)| + EPS),g_context ratio context_trend_20d/ret_12,True,price_volume
g_context_ratio_context_trend_20d__rv_12,5min,Price-Volume / Non-Fundamental Packages,context,context,量价上下文包·20日趋势上下文/12期实现波动率比值,衡量 20日趋势上下文 相对 12期实现波动率 的比例关系，体现结构性偏离。,g_context_ratio_context_trend_20d__rv_12 = 列(20日趋势上下文) / (|列(12期实现波动率)| + EPS),g_context ratio context_trend_20d/rv_12,True,price_volume
