factor,freq,factor_group_label,factor_package,factor_packages,name_cn,meaning_cn,formula_cn,description,used_in_run,factor_group_key
breakout_strength_20,D,Price-Volume / Non-Fundamental Packages,trend,trend,趋势动量·突破strength20,趋势动量因子，刻画：突破 normalized 按 ATR,按定义计算：突破 normalized 按 ATR,breakout normalized by ATR,True,price_volume
g_trend_ratio_ret_10d__ma_gap_5,D,Price-Volume / Non-Fundamental Packages,trend,trend,量价趋势包·收益10d/均线偏离5比值,衡量 收益10d 相对 均线偏离5 的比例关系，体现结构性偏离。,g_trend_ratio_ret_10d__ma_gap_5 = 列(收益10d) / (|列(均线偏离5)| + EPS),g_trend ratio ret_10d/ma_gap_5,True,price_volume
g_trend_ratio_ret_10d__ret_20d,D,Price-Volume / Non-Fundamental Packages,trend,trend,量价趋势包·收益10d/收益20d比值,衡量 收益10d 相对 收益20d 的比例关系，体现结构性偏离。,g_trend_ratio_ret_10d__ret_20d = 列(收益10d) / (|列(收益20d)| + EPS),g_trend ratio ret_10d/ret_20d,True,price_volume
g_trend_ratio_ret_1d__ret_10d,D,Price-Volume / Non-Fundamental Packages,trend,trend,量价趋势包·收益1d/收益10d比值,衡量 收益1d 相对 收益10d 的比例关系，体现结构性偏离。,g_trend_ratio_ret_1d__ret_10d = 列(收益1d) / (|列(收益10d)| + EPS),g_trend ratio ret_1d/ret_10d,True,price_volume
g_trend_ratio_ret_1d__ret_20d,D,Price-Volume / Non-Fundamental Packages,trend,trend,量价趋势包·收益1d/收益20d比值,衡量 收益1d 相对 收益20d 的比例关系，体现结构性偏离。,g_trend_ratio_ret_1d__ret_20d = 列(收益1d) / (|列(收益20d)| + EPS),g_trend ratio ret_1d/ret_20d,True,price_volume
g_trend_ratio_ret_1d__ret_3d,D,Price-Volume / Non-Fundamental Packages,trend,trend,量价趋势包·收益1d/收益3d比值,衡量 收益1d 相对 收益3d 的比例关系，体现结构性偏离。,g_trend_ratio_ret_1d__ret_3d = 列(收益1d) / (|列(收益3d)| + EPS),g_trend ratio ret_1d/ret_3d,True,price_volume
g_trend_ratio_ret_1d__ret_5d,D,Price-Volume / Non-Fundamental Packages,trend,trend,量价趋势包·收益1d/收益5d比值,衡量 收益1d 相对 收益5d 的比例关系，体现结构性偏离。,g_trend_ratio_ret_1d__ret_5d = 列(收益1d) / (|列(收益5d)| + EPS),g_trend ratio ret_1d/ret_5d,True,price_volume
g_trend_ratio_ret_20d__ma_gap_5,D,Price-Volume / Non-Fundamental Packages,trend,trend,量价趋势包·收益20d/均线偏离5比值,衡量 收益20d 相对 均线偏离5 的比例关系，体现结构性偏离。,g_trend_ratio_ret_20d__ma_gap_5 = 列(收益20d) / (|列(均线偏离5)| + EPS),g_trend ratio ret_20d/ma_gap_5,True,price_volume
g_trend_ratio_ret_3d__ma_gap_5,D,Price-Volume / Non-Fundamental Packages,trend,trend,量价趋势包·收益3d/均线偏离5比值,衡量 收益3d 相对 均线偏离5 的比例关系，体现结构性偏离。,g_trend_ratio_ret_3d__ma_gap_5 = 列(收益3d) / (|列(均线偏离5)| + EPS),g_trend ratio ret_3d/ma_gap_5,True,price_volume
g_trend_ratio_ret_3d__ret_10d,D,Price-Volume / Non-Fundamental Packages,trend,trend,量价趋势包·收益3d/收益10d比值,衡量 收益3d 相对 收益10d 的比例关系，体现结构性偏离。,g_trend_ratio_ret_3d__ret_10d = 列(收益3d) / (|列(收益10d)| + EPS),g_trend ratio ret_3d/ret_10d,True,price_volume
