factor,freq,factor_group_label,factor_package,factor_packages,name_cn,meaning_cn,formula_cn,description,used_in_run,factor_group_key
fund_cashflow_diff_fd_cashflow_raw_01__fd_cashflow_disp,30min,Fundamental Packages,fund_cashflow,fund_cashflow,基本面现金流包·现金流原始指标01-现金流离散度差值,比较 现金流原始指标01 与 现金流离散度 的相对强弱，突出两者差异变化。,fund_cashflow_diff_fd_cashflow_raw_01__fd_cashflow_disp = 列(现金流原始指标01) - 列(现金流离散度),fund_cashflow diff fd_cashflow_raw_01-fd_cashflow_disp,False,fundamental
fund_cashflow_diff_fd_cashflow_raw_01__fd_cashflow_raw_02,30min,Fundamental Packages,fund_cashflow,fund_cashflow,基本面现金流包·现金流原始指标01-现金流原始指标02差值,比较 现金流原始指标01 与 现金流原始指标02 的相对强弱，突出两者差异变化。,fund_cashflow_diff_fd_cashflow_raw_01__fd_cashflow_raw_02 = 列(现金流原始指标01) - 列(现金流原始指标02),fund_cashflow diff fd_cashflow_raw_01-fd_cashflow_raw_02,False,fundamental
fund_cashflow_diff_fd_cashflow_raw_01__fd_cashflow_raw_03,30min,Fundamental Packages,fund_cashflow,fund_cashflow,基本面现金流包·现金流原始指标01-现金流原始指标03差值,比较 现金流原始指标01 与 现金流原始指标03 的相对强弱，突出两者差异变化。,fund_cashflow_diff_fd_cashflow_raw_01__fd_cashflow_raw_03 = 列(现金流原始指标01) - 列(现金流原始指标03),fund_cashflow diff fd_cashflow_raw_01-fd_cashflow_raw_03,False,fundamental
fund_cashflow_diff_fd_cashflow_raw_01__fd_cashflow_raw_04,30min,Fundamental Packages,fund_cashflow,fund_cashflow,基本面现金流包·现金流原始指标01-现金流原始指标04差值,比较 现金流原始指标01 与 现金流原始指标04 的相对强弱，突出两者差异变化。,fund_cashflow_diff_fd_cashflow_raw_01__fd_cashflow_raw_04 = 列(现金流原始指标01) - 列(现金流原始指标04),fund_cashflow diff fd_cashflow_raw_01-fd_cashflow_raw_04,False,fundamental
fund_cashflow_diff_fd_cashflow_raw_01__fd_cashflow_raw_05,30min,Fundamental Packages,fund_cashflow,fund_cashflow,基本面现金流包·现金流原始指标01-现金流原始指标05差值,比较 现金流原始指标01 与 现金流原始指标05 的相对强弱，突出两者差异变化。,fund_cashflow_diff_fd_cashflow_raw_01__fd_cashflow_raw_05 = 列(现金流原始指标01) - 列(现金流原始指标05),fund_cashflow diff fd_cashflow_raw_01-fd_cashflow_raw_05,False,fundamental
fund_cashflow_diff_fd_cashflow_raw_01__fd_cashflow_score,30min,Fundamental Packages,fund_cashflow,fund_cashflow,基本面现金流包·现金流原始指标01-现金流综合评分差值,比较 现金流原始指标01 与 现金流综合评分 的相对强弱，突出两者差异变化。,fund_cashflow_diff_fd_cashflow_raw_01__fd_cashflow_score = 列(现金流原始指标01) - 列(现金流综合评分),fund_cashflow diff fd_cashflow_raw_01-fd_cashflow_score,False,fundamental
fund_cashflow_diff_fd_cashflow_raw_01__fd_cashflow_trend,30min,Fundamental Packages,fund_cashflow,fund_cashflow,基本面现金流包·现金流原始指标01-现金流趋势变化差值,比较 现金流原始指标01 与 现金流趋势变化 的相对强弱，突出两者差异变化。,fund_cashflow_diff_fd_cashflow_raw_01__fd_cashflow_trend = 列(现金流原始指标01) - 列(现金流趋势变化),fund_cashflow diff fd_cashflow_raw_01-fd_cashflow_trend,False,fundamental
fund_cashflow_diff_fd_cashflow_raw_02__fd_cashflow_disp,30min,Fundamental Packages,fund_cashflow,fund_cashflow,基本面现金流包·现金流原始指标02-现金流离散度差值,比较 现金流原始指标02 与 现金流离散度 的相对强弱，突出两者差异变化。,fund_cashflow_diff_fd_cashflow_raw_02__fd_cashflow_disp = 列(现金流原始指标02) - 列(现金流离散度),fund_cashflow diff fd_cashflow_raw_02-fd_cashflow_disp,False,fundamental
fund_cashflow_diff_fd_cashflow_raw_02__fd_cashflow_raw_03,30min,Fundamental Packages,fund_cashflow,fund_cashflow,基本面现金流包·现金流原始指标02-现金流原始指标03差值,比较 现金流原始指标02 与 现金流原始指标03 的相对强弱，突出两者差异变化。,fund_cashflow_diff_fd_cashflow_raw_02__fd_cashflow_raw_03 = 列(现金流原始指标02) - 列(现金流原始指标03),fund_cashflow diff fd_cashflow_raw_02-fd_cashflow_raw_03,False,fundamental
fund_cashflow_diff_fd_cashflow_raw_02__fd_cashflow_raw_04,30min,Fundamental Packages,fund_cashflow,fund_cashflow,基本面现金流包·现金流原始指标02-现金流原始指标04差值,比较 现金流原始指标02 与 现金流原始指标04 的相对强弱，突出两者差异变化。,fund_cashflow_diff_fd_cashflow_raw_02__fd_cashflow_raw_04 = 列(现金流原始指标02) - 列(现金流原始指标04),fund_cashflow diff fd_cashflow_raw_02-fd_cashflow_raw_04,False,fundamental
