factor,freq,factor_group_label,factor_package,factor_packages,name_cn,meaning_cn,formula_cn,description,used_in_run,factor_group_key
text_fusion_diff_txt_fd_growth_resonance__txt_fd_expectation_spread,D,Text Packages,text_fusion,text_fusion,金融文本融合包·文本fdgrowthresonance-文本fdexpectationspread差值,比较 文本fdgrowthresonance 与 文本fdexpectationspread 的相对强弱，突出两者差异变化。,text_fusion_diff_txt_fd_growth_resonance__txt_fd_expectation_spread = 列(文本fdgrowthresonance) - 列(文本fdexpectationspread),text_fusion diff txt_fd_growth_resonance-txt_fd_expectation_spread,False,text
text_fusion_diff_txt_fd_growth_resonance__txt_fd_quality_guard,D,Text Packages,text_fusion,text_fusion,金融文本融合包·文本fdgrowthresonance-文本fd质量guard差值,比较 文本fdgrowthresonance 与 文本fd质量guard 的相对强弱，突出两者差异变化。,text_fusion_diff_txt_fd_growth_resonance__txt_fd_quality_guard = 列(文本fdgrowthresonance) - 列(文本fd质量guard),text_fusion diff txt_fd_growth_resonance-txt_fd_quality_guard,False,text
text_fusion_diff_txt_fd_quality_guard__txt_fd_expectation_spread,D,Text Packages,text_fusion,text_fusion,金融文本融合包·文本fd质量guard-文本fdexpectationspread差值,比较 文本fd质量guard 与 文本fdexpectationspread 的相对强弱，突出两者差异变化。,text_fusion_diff_txt_fd_quality_guard__txt_fd_expectation_spread = 列(文本fd质量guard) - 列(文本fdexpectationspread),text_fusion diff txt_fd_quality_guard-txt_fd_expectation_spread,False,text
text_fusion_diff_txt_hf_attention_jump__txt_fd_expectation_spread,D,Text Packages,text_fusion,text_fusion,金融文本融合包·文本hf关注度跳跃-文本fdexpectationspread差值,比较 文本hf关注度跳跃 与 文本fdexpectationspread 的相对强弱，突出两者差异变化。,text_fusion_diff_txt_hf_attention_jump__txt_fd_expectation_spread = 列(文本hf关注度跳跃) - 列(文本fdexpectationspread),text_fusion diff txt_hf_attention_jump-txt_fd_expectation_spread,False,text
text_fusion_diff_txt_hf_attention_jump__txt_fd_growth_resonance,D,Text Packages,text_fusion,text_fusion,金融文本融合包·文本hf关注度跳跃-文本fdgrowthresonance差值,比较 文本hf关注度跳跃 与 文本fdgrowthresonance 的相对强弱，突出两者差异变化。,text_fusion_diff_txt_hf_attention_jump__txt_fd_growth_resonance = 列(文本hf关注度跳跃) - 列(文本fdgrowthresonance),text_fusion diff txt_hf_attention_jump-txt_fd_growth_resonance,False,text
text_fusion_diff_txt_hf_attention_jump__txt_fd_quality_guard,D,Text Packages,text_fusion,text_fusion,金融文本融合包·文本hf关注度跳跃-文本fd质量guard差值,比较 文本hf关注度跳跃 与 文本fd质量guard 的相对强弱，突出两者差异变化。,text_fusion_diff_txt_hf_attention_jump__txt_fd_quality_guard = 列(文本hf关注度跳跃) - 列(文本fd质量guard),text_fusion diff txt_hf_attention_jump-txt_fd_quality_guard,False,text
text_fusion_diff_txt_hf_attention_jump__txt_hf_liquidity_pulse,D,Text Packages,text_fusion,text_fusion,金融文本融合包·文本hf关注度跳跃-文本hf流动性pulse差值,比较 文本hf关注度跳跃 与 文本hf流动性pulse 的相对强弱，突出两者差异变化。,text_fusion_diff_txt_hf_attention_jump__txt_hf_liquidity_pulse = 列(文本hf关注度跳跃) - 列(文本hf流动性pulse),text_fusion diff txt_hf_attention_jump-txt_hf_liquidity_pulse,False,text
text_fusion_diff_txt_hf_attention_jump__txt_hf_momentum_resonance,D,Text Packages,text_fusion,text_fusion,金融文本融合包·文本hf关注度跳跃-文本hf动量resonance差值,比较 文本hf关注度跳跃 与 文本hf动量resonance 的相对强弱，突出两者差异变化。,text_fusion_diff_txt_hf_attention_jump__txt_hf_momentum_resonance = 列(文本hf关注度跳跃) - 列(文本hf动量resonance),text_fusion diff txt_hf_attention_jump-txt_hf_momentum_resonance,False,text
text_fusion_diff_txt_hf_attention_jump__txt_hf_risk_vol,D,Text Packages,text_fusion,text_fusion,金融文本融合包·文本hf关注度跳跃-文本hf风险成交量差值,比较 文本hf关注度跳跃 与 文本hf风险成交量 的相对强弱，突出两者差异变化。,text_fusion_diff_txt_hf_attention_jump__txt_hf_risk_vol = 列(文本hf关注度跳跃) - 列(文本hf风险成交量),text_fusion diff txt_hf_attention_jump-txt_hf_risk_vol,False,text
text_fusion_diff_txt_hf_liquidity_pulse__txt_fd_expectation_spread,D,Text Packages,text_fusion,text_fusion,金融文本融合包·文本hf流动性pulse-文本fdexpectationspread差值,比较 文本hf流动性pulse 与 文本fdexpectationspread 的相对强弱，突出两者差异变化。,text_fusion_diff_txt_hf_liquidity_pulse__txt_fd_expectation_spread = 列(文本hf流动性pulse) - 列(文本fdexpectationspread),text_fusion diff txt_hf_liquidity_pulse-txt_fd_expectation_spread,False,text
