factor,freq,factor_group_label,factor_package,factor_packages,name_cn,meaning_cn,formula_cn,description,used_in_run,factor_group_key
g_trend_diff_ma_gap_6__ma_gap_12,30min,Price-Volume / Non-Fundamental Packages,trend,trend,量价趋势包·均线偏离6-均线偏离12差值,比较 均线偏离6 与 均线偏离12 的相对强弱，突出两者差异变化。,g_trend_diff_ma_gap_6__ma_gap_12 = 列(均线偏离6) - 列(均线偏离12),g_trend diff ma_gap_6-ma_gap_12,True,price_volume
g_trend_diff_ret_12__ma_gap_12,30min,Price-Volume / Non-Fundamental Packages,trend,trend,量价趋势包·12期收益率-均线偏离12差值,比较 12期收益率 与 均线偏离12 的相对强弱，突出两者差异变化。,g_trend_diff_ret_12__ma_gap_12 = 列(12期收益率) - 列(均线偏离12),g_trend diff ret_12-ma_gap_12,True,price_volume
g_trend_diff_ret_12__ma_gap_6,30min,Price-Volume / Non-Fundamental Packages,trend,trend,量价趋势包·12期收益率-均线偏离6差值,比较 12期收益率 与 均线偏离6 的相对强弱，突出两者差异变化。,g_trend_diff_ret_12__ma_gap_6 = 列(12期收益率) - 列(均线偏离6),g_trend diff ret_12-ma_gap_6,True,price_volume
g_trend_diff_ret_1__ma_gap_12,30min,Price-Volume / Non-Fundamental Packages,trend,trend,量价趋势包·1期收益率-均线偏离12差值,比较 1期收益率 与 均线偏离12 的相对强弱，突出两者差异变化。,g_trend_diff_ret_1__ma_gap_12 = 列(1期收益率) - 列(均线偏离12),g_trend diff ret_1-ma_gap_12,True,price_volume
g_trend_diff_ret_1__ma_gap_6,30min,Price-Volume / Non-Fundamental Packages,trend,trend,量价趋势包·1期收益率-均线偏离6差值,比较 1期收益率 与 均线偏离6 的相对强弱，突出两者差异变化。,g_trend_diff_ret_1__ma_gap_6 = 列(1期收益率) - 列(均线偏离6),g_trend diff ret_1-ma_gap_6,True,price_volume
g_trend_diff_ret_1__ret_12,30min,Price-Volume / Non-Fundamental Packages,trend,trend,量价趋势包·1期收益率-12期收益率差值,比较 1期收益率 与 12期收益率 的相对强弱，突出两者差异变化。,g_trend_diff_ret_1__ret_12 = 列(1期收益率) - 列(12期收益率),g_trend diff ret_1-ret_12,True,price_volume
g_trend_diff_ret_1__ret_3,30min,Price-Volume / Non-Fundamental Packages,trend,trend,量价趋势包·1期收益率-3期收益率差值,比较 1期收益率 与 3期收益率 的相对强弱，突出两者差异变化。,g_trend_diff_ret_1__ret_3 = 列(1期收益率) - 列(3期收益率),g_trend diff ret_1-ret_3,True,price_volume
g_trend_diff_ret_1__ret_6,30min,Price-Volume / Non-Fundamental Packages,trend,trend,量价趋势包·1期收益率-6期收益率差值,比较 1期收益率 与 6期收益率 的相对强弱，突出两者差异变化。,g_trend_diff_ret_1__ret_6 = 列(1期收益率) - 列(6期收益率),g_trend diff ret_1-ret_6,True,price_volume
g_trend_diff_ret_3__ma_gap_12,30min,Price-Volume / Non-Fundamental Packages,trend,trend,量价趋势包·3期收益率-均线偏离12差值,比较 3期收益率 与 均线偏离12 的相对强弱，突出两者差异变化。,g_trend_diff_ret_3__ma_gap_12 = 列(3期收益率) - 列(均线偏离12),g_trend diff ret_3-ma_gap_12,True,price_volume
g_trend_diff_ret_3__ma_gap_6,30min,Price-Volume / Non-Fundamental Packages,trend,trend,量价趋势包·3期收益率-均线偏离6差值,比较 3期收益率 与 均线偏离6 的相对强弱，突出两者差异变化。,g_trend_diff_ret_3__ma_gap_6 = 列(3期收益率) - 列(均线偏离6),g_trend diff ret_3-ma_gap_6,True,price_volume
g_trend_diff_ret_3__ret_12,30min,Price-Volume / Non-Fundamental Packages,trend,trend,量价趋势包·3期收益率-12期收益率差值,比较 3期收益率 与 12期收益率 的相对强弱，突出两者差异变化。,g_trend_diff_ret_3__ret_12 = 列(3期收益率) - 列(12期收益率),g_trend diff ret_3-ret_12,True,price_volume
g_trend_diff_ret_3__ret_6,30min,Price-Volume / Non-Fundamental Packages,trend,trend,量价趋势包·3期收益率-6期收益率差值,比较 3期收益率 与 6期收益率 的相对强弱，突出两者差异变化。,g_trend_diff_ret_3__ret_6 = 列(3期收益率) - 列(6期收益率),g_trend diff ret_3-ret_6,True,price_volume
g_trend_diff_ret_6__ma_gap_12,30min,Price-Volume / Non-Fundamental Packages,trend,trend,量价趋势包·6期收益率-均线偏离12差值,比较 6期收益率 与 均线偏离12 的相对强弱，突出两者差异变化。,g_trend_diff_ret_6__ma_gap_12 = 列(6期收益率) - 列(均线偏离12),g_trend diff ret_6-ma_gap_12,True,price_volume
g_trend_diff_ret_6__ma_gap_6,30min,Price-Volume / Non-Fundamental Packages,trend,trend,量价趋势包·6期收益率-均线偏离6差值,比较 6期收益率 与 均线偏离6 的相对强弱，突出两者差异变化。,g_trend_diff_ret_6__ma_gap_6 = 列(6期收益率) - 列(均线偏离6),g_trend diff ret_6-ma_gap_6,True,price_volume
g_trend_diff_ret_6__ret_12,30min,Price-Volume / Non-Fundamental Packages,trend,trend,量价趋势包·6期收益率-12期收益率差值,比较 6期收益率 与 12期收益率 的相对强弱，突出两者差异变化。,g_trend_diff_ret_6__ret_12 = 列(6期收益率) - 列(12期收益率),g_trend diff ret_6-ret_12,True,price_volume
g_trend_lvl_amount_ratio_12,30min,Price-Volume / Non-Fundamental Packages,trend,trend,量价趋势包·成交额比率12原值,直接使用 成交额比率12 作为 量价趋势包 信号，反映该基础指标的绝对水平。,g_trend_lvl_amount_ratio_12 = 列(成交额比率12),g_trend level amount_ratio_12,True,price_volume
g_trend_lvl_ma_gap_12,30min,Price-Volume / Non-Fundamental Packages,trend,trend,量价趋势包·均线偏离12原值,直接使用 均线偏离12 作为 量价趋势包 信号，反映该基础指标的绝对水平。,g_trend_lvl_ma_gap_12 = 列(均线偏离12),g_trend level ma_gap_12,True,price_volume
g_trend_lvl_ma_gap_6,30min,Price-Volume / Non-Fundamental Packages,trend,trend,量价趋势包·均线偏离6原值,直接使用 均线偏离6 作为 量价趋势包 信号，反映该基础指标的绝对水平。,g_trend_lvl_ma_gap_6 = 列(均线偏离6),g_trend level ma_gap_6,True,price_volume
g_trend_lvl_range_norm,30min,Price-Volume / Non-Fundamental Packages,trend,trend,量价趋势包·振幅标准化原值,直接使用 振幅标准化 作为 量价趋势包 信号，反映该基础指标的绝对水平。,g_trend_lvl_range_norm = 列(振幅标准化),g_trend level range_norm,True,price_volume
g_trend_lvl_ret_1,30min,Price-Volume / Non-Fundamental Packages,trend,trend,量价趋势包·1期收益率原值,直接使用 1期收益率 作为 量价趋势包 信号，反映该基础指标的绝对水平。,g_trend_lvl_ret_1 = 列(1期收益率),g_trend level ret_1,True,price_volume
