factor,freq,factor_group_label,factor_package,factor_packages,name_cn,meaning_cn,formula_cn,description,used_in_run,factor_group_key
context_intraday_mood,30min,Price-Volume / Non-Fundamental Packages,context,context,市场上下文·日内情绪上下文,市场上下文因子，刻画：up-比值 减 跳跃 比值,按定义计算：up-比值 减 跳跃 比值,up-ratio minus jump ratio,False,price_volume
context_liquidity_20d,30min,Price-Volume / Non-Fundamental Packages,context,context,市场上下文·20日流动性上下文,市场上下文因子，刻画：取负 日频 amihud20,按定义计算：取负 日频 amihud20,negative daily amihud20,False,price_volume
context_quality_20d,30min,Price-Volume / Non-Fundamental Packages,context,context,市场上下文·20日质量上下文,市场上下文因子，刻画：日频 ret20 除以 vol20,按定义计算：日频 ret20 除以 vol20,daily ret20 over vol20,False,price_volume
context_trend_20d,30min,Price-Volume / Non-Fundamental Packages,context,context,市场上下文·20日趋势上下文,市场上下文因子，刻画：日频 ret20 context,按定义计算：日频 ret20 context,daily ret20 context,False,price_volume
g_context_diff_context_intraday_mood__ret_12,30min,Price-Volume / Non-Fundamental Packages,context,context,量价上下文包·日内情绪上下文-12期收益率差值,比较 日内情绪上下文 与 12期收益率 的相对强弱，突出两者差异变化。,g_context_diff_context_intraday_mood__ret_12 = 列(日内情绪上下文) - 列(12期收益率),g_context diff context_intraday_mood-ret_12,False,price_volume
g_context_diff_context_intraday_mood__rv_12,30min,Price-Volume / Non-Fundamental Packages,context,context,量价上下文包·日内情绪上下文-12期实现波动率差值,比较 日内情绪上下文 与 12期实现波动率 的相对强弱，突出两者差异变化。,g_context_diff_context_intraday_mood__rv_12 = 列(日内情绪上下文) - 列(12期实现波动率),g_context diff context_intraday_mood-rv_12,False,price_volume
g_context_diff_context_liquidity_20d__context_intraday_mood,30min,Price-Volume / Non-Fundamental Packages,context,context,量价上下文包·20日流动性上下文-日内情绪上下文差值,比较 20日流动性上下文 与 日内情绪上下文 的相对强弱，突出两者差异变化。,g_context_diff_context_liquidity_20d__context_intraday_mood = 列(20日流动性上下文) - 列(日内情绪上下文),g_context diff context_liquidity_20d-context_intraday_mood,False,price_volume
g_context_diff_context_liquidity_20d__ret_12,30min,Price-Volume / Non-Fundamental Packages,context,context,量价上下文包·20日流动性上下文-12期收益率差值,比较 20日流动性上下文 与 12期收益率 的相对强弱，突出两者差异变化。,g_context_diff_context_liquidity_20d__ret_12 = 列(20日流动性上下文) - 列(12期收益率),g_context diff context_liquidity_20d-ret_12,False,price_volume
g_context_diff_context_liquidity_20d__rv_12,30min,Price-Volume / Non-Fundamental Packages,context,context,量价上下文包·20日流动性上下文-12期实现波动率差值,比较 20日流动性上下文 与 12期实现波动率 的相对强弱，突出两者差异变化。,g_context_diff_context_liquidity_20d__rv_12 = 列(20日流动性上下文) - 列(12期实现波动率),g_context diff context_liquidity_20d-rv_12,False,price_volume
g_context_diff_context_quality_20d__context_intraday_mood,30min,Price-Volume / Non-Fundamental Packages,context,context,量价上下文包·20日质量上下文-日内情绪上下文差值,比较 20日质量上下文 与 日内情绪上下文 的相对强弱，突出两者差异变化。,g_context_diff_context_quality_20d__context_intraday_mood = 列(20日质量上下文) - 列(日内情绪上下文),g_context diff context_quality_20d-context_intraday_mood,False,price_volume
g_context_diff_context_quality_20d__context_liquidity_20d,30min,Price-Volume / Non-Fundamental Packages,context,context,量价上下文包·20日质量上下文-20日流动性上下文差值,比较 20日质量上下文 与 20日流动性上下文 的相对强弱，突出两者差异变化。,g_context_diff_context_quality_20d__context_liquidity_20d = 列(20日质量上下文) - 列(20日流动性上下文),g_context diff context_quality_20d-context_liquidity_20d,False,price_volume
g_context_diff_context_quality_20d__ret_12,30min,Price-Volume / Non-Fundamental Packages,context,context,量价上下文包·20日质量上下文-12期收益率差值,比较 20日质量上下文 与 12期收益率 的相对强弱，突出两者差异变化。,g_context_diff_context_quality_20d__ret_12 = 列(20日质量上下文) - 列(12期收益率),g_context diff context_quality_20d-ret_12,False,price_volume
g_context_diff_context_quality_20d__rv_12,30min,Price-Volume / Non-Fundamental Packages,context,context,量价上下文包·20日质量上下文-12期实现波动率差值,比较 20日质量上下文 与 12期实现波动率 的相对强弱，突出两者差异变化。,g_context_diff_context_quality_20d__rv_12 = 列(20日质量上下文) - 列(12期实现波动率),g_context diff context_quality_20d-rv_12,False,price_volume
g_context_diff_context_trend_20d__context_intraday_mood,30min,Price-Volume / Non-Fundamental Packages,context,context,量价上下文包·20日趋势上下文-日内情绪上下文差值,比较 20日趋势上下文 与 日内情绪上下文 的相对强弱，突出两者差异变化。,g_context_diff_context_trend_20d__context_intraday_mood = 列(20日趋势上下文) - 列(日内情绪上下文),g_context diff context_trend_20d-context_intraday_mood,False,price_volume
g_context_diff_context_trend_20d__context_liquidity_20d,30min,Price-Volume / Non-Fundamental Packages,context,context,量价上下文包·20日趋势上下文-20日流动性上下文差值,比较 20日趋势上下文 与 20日流动性上下文 的相对强弱，突出两者差异变化。,g_context_diff_context_trend_20d__context_liquidity_20d = 列(20日趋势上下文) - 列(20日流动性上下文),g_context diff context_trend_20d-context_liquidity_20d,False,price_volume
