factor,freq,factor_group_label,factor_package,factor_packages,name_cn,meaning_cn,formula_cn,description,used_in_run,factor_group_key
fund_efficiency_diff_fd_efficiency_raw_01__fd_efficiency_raw_02,D,Fundamental Packages,fund_efficiency,fund_efficiency,基本面运营效率包·运营效率原始指标01-运营效率原始指标02差值,比较 运营效率原始指标01 与 运营效率原始指标02 的相对强弱，突出两者差异变化。,fund_efficiency_diff_fd_efficiency_raw_01__fd_efficiency_raw_02 = 列(运营效率原始指标01) - 列(运营效率原始指标02),fund_efficiency diff fd_efficiency_raw_01-fd_efficiency_raw_02,True,fundamental
fund_efficiency_diff_fd_efficiency_raw_01__fd_efficiency_raw_03,D,Fundamental Packages,fund_efficiency,fund_efficiency,基本面运营效率包·运营效率原始指标01-运营效率原始指标03差值,比较 运营效率原始指标01 与 运营效率原始指标03 的相对强弱，突出两者差异变化。,fund_efficiency_diff_fd_efficiency_raw_01__fd_efficiency_raw_03 = 列(运营效率原始指标01) - 列(运营效率原始指标03),fund_efficiency diff fd_efficiency_raw_01-fd_efficiency_raw_03,True,fundamental
fund_efficiency_diff_fd_efficiency_raw_01__fd_efficiency_raw_04,D,Fundamental Packages,fund_efficiency,fund_efficiency,基本面运营效率包·运营效率原始指标01-运营效率原始指标04差值,比较 运营效率原始指标01 与 运营效率原始指标04 的相对强弱，突出两者差异变化。,fund_efficiency_diff_fd_efficiency_raw_01__fd_efficiency_raw_04 = 列(运营效率原始指标01) - 列(运营效率原始指标04),fund_efficiency diff fd_efficiency_raw_01-fd_efficiency_raw_04,True,fundamental
fund_efficiency_diff_fd_efficiency_raw_01__fd_efficiency_raw_05,D,Fundamental Packages,fund_efficiency,fund_efficiency,基本面运营效率包·运营效率原始指标01-运营效率原始指标05差值,比较 运营效率原始指标01 与 运营效率原始指标05 的相对强弱，突出两者差异变化。,fund_efficiency_diff_fd_efficiency_raw_01__fd_efficiency_raw_05 = 列(运营效率原始指标01) - 列(运营效率原始指标05),fund_efficiency diff fd_efficiency_raw_01-fd_efficiency_raw_05,True,fundamental
fund_efficiency_diff_fd_efficiency_raw_01__fd_efficiency_raw_06,D,Fundamental Packages,fund_efficiency,fund_efficiency,基本面运营效率包·运营效率原始指标01-运营效率原始指标06差值,比较 运营效率原始指标01 与 运营效率原始指标06 的相对强弱，突出两者差异变化。,fund_efficiency_diff_fd_efficiency_raw_01__fd_efficiency_raw_06 = 列(运营效率原始指标01) - 列(运营效率原始指标06),fund_efficiency diff fd_efficiency_raw_01-fd_efficiency_raw_06,True,fundamental
fund_efficiency_diff_fd_efficiency_raw_01__fd_efficiency_raw_07,D,Fundamental Packages,fund_efficiency,fund_efficiency,基本面运营效率包·运营效率原始指标01-运营效率原始指标07差值,比较 运营效率原始指标01 与 运营效率原始指标07 的相对强弱，突出两者差异变化。,fund_efficiency_diff_fd_efficiency_raw_01__fd_efficiency_raw_07 = 列(运营效率原始指标01) - 列(运营效率原始指标07),fund_efficiency diff fd_efficiency_raw_01-fd_efficiency_raw_07,True,fundamental
fund_efficiency_diff_fd_efficiency_raw_01__fd_efficiency_raw_08,D,Fundamental Packages,fund_efficiency,fund_efficiency,基本面运营效率包·运营效率原始指标01-运营效率原始指标08差值,比较 运营效率原始指标01 与 运营效率原始指标08 的相对强弱，突出两者差异变化。,fund_efficiency_diff_fd_efficiency_raw_01__fd_efficiency_raw_08 = 列(运营效率原始指标01) - 列(运营效率原始指标08),fund_efficiency diff fd_efficiency_raw_01-fd_efficiency_raw_08,True,fundamental
fund_efficiency_diff_fd_efficiency_raw_01__fd_efficiency_raw_09,D,Fundamental Packages,fund_efficiency,fund_efficiency,基本面运营效率包·运营效率原始指标01-运营效率原始指标09差值,比较 运营效率原始指标01 与 运营效率原始指标09 的相对强弱，突出两者差异变化。,fund_efficiency_diff_fd_efficiency_raw_01__fd_efficiency_raw_09 = 列(运营效率原始指标01) - 列(运营效率原始指标09),fund_efficiency diff fd_efficiency_raw_01-fd_efficiency_raw_09,True,fundamental
fund_efficiency_diff_fd_efficiency_raw_02__fd_efficiency_raw_03,D,Fundamental Packages,fund_efficiency,fund_efficiency,基本面运营效率包·运营效率原始指标02-运营效率原始指标03差值,比较 运营效率原始指标02 与 运营效率原始指标03 的相对强弱，突出两者差异变化。,fund_efficiency_diff_fd_efficiency_raw_02__fd_efficiency_raw_03 = 列(运营效率原始指标02) - 列(运营效率原始指标03),fund_efficiency diff fd_efficiency_raw_02-fd_efficiency_raw_03,True,fundamental
fund_efficiency_diff_fd_efficiency_raw_02__fd_efficiency_raw_04,D,Fundamental Packages,fund_efficiency,fund_efficiency,基本面运营效率包·运营效率原始指标02-运营效率原始指标04差值,比较 运营效率原始指标02 与 运营效率原始指标04 的相对强弱，突出两者差异变化。,fund_efficiency_diff_fd_efficiency_raw_02__fd_efficiency_raw_04 = 列(运营效率原始指标02) - 列(运营效率原始指标04),fund_efficiency diff fd_efficiency_raw_02-fd_efficiency_raw_04,True,fundamental
fund_efficiency_diff_fd_efficiency_raw_02__fd_efficiency_raw_05,D,Fundamental Packages,fund_efficiency,fund_efficiency,基本面运营效率包·运营效率原始指标02-运营效率原始指标05差值,比较 运营效率原始指标02 与 运营效率原始指标05 的相对强弱，突出两者差异变化。,fund_efficiency_diff_fd_efficiency_raw_02__fd_efficiency_raw_05 = 列(运营效率原始指标02) - 列(运营效率原始指标05),fund_efficiency diff fd_efficiency_raw_02-fd_efficiency_raw_05,True,fundamental
fund_efficiency_diff_fd_efficiency_raw_02__fd_efficiency_raw_06,D,Fundamental Packages,fund_efficiency,fund_efficiency,基本面运营效率包·运营效率原始指标02-运营效率原始指标06差值,比较 运营效率原始指标02 与 运营效率原始指标06 的相对强弱，突出两者差异变化。,fund_efficiency_diff_fd_efficiency_raw_02__fd_efficiency_raw_06 = 列(运营效率原始指标02) - 列(运营效率原始指标06),fund_efficiency diff fd_efficiency_raw_02-fd_efficiency_raw_06,True,fundamental
fund_efficiency_diff_fd_efficiency_raw_02__fd_efficiency_raw_07,D,Fundamental Packages,fund_efficiency,fund_efficiency,基本面运营效率包·运营效率原始指标02-运营效率原始指标07差值,比较 运营效率原始指标02 与 运营效率原始指标07 的相对强弱，突出两者差异变化。,fund_efficiency_diff_fd_efficiency_raw_02__fd_efficiency_raw_07 = 列(运营效率原始指标02) - 列(运营效率原始指标07),fund_efficiency diff fd_efficiency_raw_02-fd_efficiency_raw_07,True,fundamental
