factor,freq,factor_group_label,factor_package,factor_packages,name_cn,meaning_cn,formula_cn,description,used_in_run,factor_group_key
amihud_20,D,Price-Volume / Non-Fundamental Packages,liquidity,"liquidity,context",流动性·amihud20,流动性因子，刻画：取负 amihud20,按定义计算：取负 amihud20,negative amihud20,True,price_volume
amihud_reversal_20,D,Price-Volume / Non-Fundamental Packages,reversal,reversal,流动性·amihudreversal20,流动性因子，刻画：illiquidity reversal,按定义计算：illiquidity reversal,illiquidity reversal,True,price_volume
amount_ratio_20,D,Price-Volume / Non-Fundamental Packages,liquidity,liquidity,流动性·成交额比率20,流动性因子，刻画：成交额/成交额ma20,按定义计算：成交额/成交额ma20,amount/amount_ma20,True,price_volume
atr_norm_14,D,Price-Volume / Non-Fundamental Packages,volatility,volatility,波动率·atr标准化14,波动率因子，刻画：atr14 标准化 取负,按定义计算：atr14 标准化 取负,atr14 norm negative,True,price_volume
body_ratio,D,Price-Volume / Non-Fundamental Packages,price_action,price_action,价格行为·bodyratio,价格行为因子，刻画：body 比值,按定义计算：body 比值,body ratio,False,price_volume
breakout_20,D,Price-Volume / Non-Fundamental Packages,trend,trend,趋势动量·突破20,趋势动量因子，刻画：收盘/rolling high20 - 1,按定义计算：收盘/rolling high20 - 1,close/rolling high20 - 1,True,price_volume
breakout_strength_20,D,Price-Volume / Non-Fundamental Packages,trend,trend,趋势动量·突破strength20,趋势动量因子，刻画：突破 normalized 按 ATR,按定义计算：突破 normalized 按 ATR,breakout normalized by ATR,True,price_volume
bridge_120min_close_dev,D,Price-Volume / Non-Fundamental Packages,bridge,bridge,跨频桥接·120min→目标频率·收盘dev,来源频率聚合后的收盘偏离，衡量偏离均值程度。,基于 120min→目标频率 的聚合列计算 close_dev 特征（见桥接定义）。,120min->D close deviation,False,price_volume
bridge_120min_close_disp,D,Price-Volume / Non-Fundamental Packages,bridge,bridge,跨频桥接·120min→目标频率·收盘离散度,来源频率聚合后的收盘离散度，衡量收盘分布分散程度。,基于 120min→目标频率 的聚合列计算 close_disp 特征（见桥接定义）。,120min->D close dispersion,False,price_volume
bridge_120min_crowd_unwind,D,Price-Volume / Non-Fundamental Packages,bridge,bridge,跨频桥接·120min→目标频率·crowdunwind,来源频率聚合后的拥挤反转，刻画拥挤交易回撤风险。,基于 120min→目标频率 的聚合列计算 crowd_unwind 特征（见桥接定义）。,120min->D crowding unwind,False,price_volume
