factor,freq,factor_group_label,factor_package,factor_packages,name_cn,meaning_cn,formula_cn,description,used_in_run,factor_group_key
fund_efficiency_diff_fd_efficiency_raw_01__fd_efficiency_disp,30min,Fundamental Packages,fund_efficiency,fund_efficiency,基本面运营效率包·运营效率原始指标01-运营效率离散度差值,比较 运营效率原始指标01 与 运营效率离散度 的相对强弱，突出两者差异变化。,fund_efficiency_diff_fd_efficiency_raw_01__fd_efficiency_disp = 列(运营效率原始指标01) - 列(运营效率离散度),fund_efficiency diff fd_efficiency_raw_01-fd_efficiency_disp,False,fundamental
fund_efficiency_diff_fd_efficiency_raw_01__fd_efficiency_raw_02,30min,Fundamental Packages,fund_efficiency,fund_efficiency,基本面运营效率包·运营效率原始指标01-运营效率原始指标02差值,比较 运营效率原始指标01 与 运营效率原始指标02 的相对强弱，突出两者差异变化。,fund_efficiency_diff_fd_efficiency_raw_01__fd_efficiency_raw_02 = 列(运营效率原始指标01) - 列(运营效率原始指标02),fund_efficiency diff fd_efficiency_raw_01-fd_efficiency_raw_02,False,fundamental
fund_efficiency_diff_fd_efficiency_raw_01__fd_efficiency_raw_03,30min,Fundamental Packages,fund_efficiency,fund_efficiency,基本面运营效率包·运营效率原始指标01-运营效率原始指标03差值,比较 运营效率原始指标01 与 运营效率原始指标03 的相对强弱，突出两者差异变化。,fund_efficiency_diff_fd_efficiency_raw_01__fd_efficiency_raw_03 = 列(运营效率原始指标01) - 列(运营效率原始指标03),fund_efficiency diff fd_efficiency_raw_01-fd_efficiency_raw_03,False,fundamental
fund_efficiency_diff_fd_efficiency_raw_01__fd_efficiency_raw_04,30min,Fundamental Packages,fund_efficiency,fund_efficiency,基本面运营效率包·运营效率原始指标01-运营效率原始指标04差值,比较 运营效率原始指标01 与 运营效率原始指标04 的相对强弱，突出两者差异变化。,fund_efficiency_diff_fd_efficiency_raw_01__fd_efficiency_raw_04 = 列(运营效率原始指标01) - 列(运营效率原始指标04),fund_efficiency diff fd_efficiency_raw_01-fd_efficiency_raw_04,False,fundamental
fund_efficiency_diff_fd_efficiency_raw_01__fd_efficiency_raw_05,30min,Fundamental Packages,fund_efficiency,fund_efficiency,基本面运营效率包·运营效率原始指标01-运营效率原始指标05差值,比较 运营效率原始指标01 与 运营效率原始指标05 的相对强弱，突出两者差异变化。,fund_efficiency_diff_fd_efficiency_raw_01__fd_efficiency_raw_05 = 列(运营效率原始指标01) - 列(运营效率原始指标05),fund_efficiency diff fd_efficiency_raw_01-fd_efficiency_raw_05,False,fundamental
fund_efficiency_diff_fd_efficiency_raw_01__fd_efficiency_score,30min,Fundamental Packages,fund_efficiency,fund_efficiency,基本面运营效率包·运营效率原始指标01-运营效率综合评分差值,比较 运营效率原始指标01 与 运营效率综合评分 的相对强弱，突出两者差异变化。,fund_efficiency_diff_fd_efficiency_raw_01__fd_efficiency_score = 列(运营效率原始指标01) - 列(运营效率综合评分),fund_efficiency diff fd_efficiency_raw_01-fd_efficiency_score,False,fundamental
fund_efficiency_diff_fd_efficiency_raw_01__fd_efficiency_trend,30min,Fundamental Packages,fund_efficiency,fund_efficiency,基本面运营效率包·运营效率原始指标01-运营效率趋势变化差值,比较 运营效率原始指标01 与 运营效率趋势变化 的相对强弱，突出两者差异变化。,fund_efficiency_diff_fd_efficiency_raw_01__fd_efficiency_trend = 列(运营效率原始指标01) - 列(运营效率趋势变化),fund_efficiency diff fd_efficiency_raw_01-fd_efficiency_trend,False,fundamental
fund_efficiency_diff_fd_efficiency_raw_02__fd_efficiency_disp,30min,Fundamental Packages,fund_efficiency,fund_efficiency,基本面运营效率包·运营效率原始指标02-运营效率离散度差值,比较 运营效率原始指标02 与 运营效率离散度 的相对强弱，突出两者差异变化。,fund_efficiency_diff_fd_efficiency_raw_02__fd_efficiency_disp = 列(运营效率原始指标02) - 列(运营效率离散度),fund_efficiency diff fd_efficiency_raw_02-fd_efficiency_disp,False,fundamental
fund_efficiency_diff_fd_efficiency_raw_02__fd_efficiency_raw_03,30min,Fundamental Packages,fund_efficiency,fund_efficiency,基本面运营效率包·运营效率原始指标02-运营效率原始指标03差值,比较 运营效率原始指标02 与 运营效率原始指标03 的相对强弱，突出两者差异变化。,fund_efficiency_diff_fd_efficiency_raw_02__fd_efficiency_raw_03 = 列(运营效率原始指标02) - 列(运营效率原始指标03),fund_efficiency diff fd_efficiency_raw_02-fd_efficiency_raw_03,False,fundamental
fund_efficiency_diff_fd_efficiency_raw_02__fd_efficiency_raw_04,30min,Fundamental Packages,fund_efficiency,fund_efficiency,基本面运营效率包·运营效率原始指标02-运营效率原始指标04差值,比较 运营效率原始指标02 与 运营效率原始指标04 的相对强弱，突出两者差异变化。,fund_efficiency_diff_fd_efficiency_raw_02__fd_efficiency_raw_04 = 列(运营效率原始指标02) - 列(运营效率原始指标04),fund_efficiency diff fd_efficiency_raw_02-fd_efficiency_raw_04,False,fundamental
fund_efficiency_diff_fd_efficiency_raw_02__fd_efficiency_raw_05,30min,Fundamental Packages,fund_efficiency,fund_efficiency,基本面运营效率包·运营效率原始指标02-运营效率原始指标05差值,比较 运营效率原始指标02 与 运营效率原始指标05 的相对强弱，突出两者差异变化。,fund_efficiency_diff_fd_efficiency_raw_02__fd_efficiency_raw_05 = 列(运营效率原始指标02) - 列(运营效率原始指标05),fund_efficiency diff fd_efficiency_raw_02-fd_efficiency_raw_05,False,fundamental
fund_efficiency_diff_fd_efficiency_raw_02__fd_efficiency_score,30min,Fundamental Packages,fund_efficiency,fund_efficiency,基本面运营效率包·运营效率原始指标02-运营效率综合评分差值,比较 运营效率原始指标02 与 运营效率综合评分 的相对强弱，突出两者差异变化。,fund_efficiency_diff_fd_efficiency_raw_02__fd_efficiency_score = 列(运营效率原始指标02) - 列(运营效率综合评分),fund_efficiency diff fd_efficiency_raw_02-fd_efficiency_score,False,fundamental
fund_efficiency_diff_fd_efficiency_raw_02__fd_efficiency_trend,30min,Fundamental Packages,fund_efficiency,fund_efficiency,基本面运营效率包·运营效率原始指标02-运营效率趋势变化差值,比较 运营效率原始指标02 与 运营效率趋势变化 的相对强弱，突出两者差异变化。,fund_efficiency_diff_fd_efficiency_raw_02__fd_efficiency_trend = 列(运营效率原始指标02) - 列(运营效率趋势变化),fund_efficiency diff fd_efficiency_raw_02-fd_efficiency_trend,False,fundamental
fund_efficiency_diff_fd_efficiency_raw_03__fd_efficiency_disp,30min,Fundamental Packages,fund_efficiency,fund_efficiency,基本面运营效率包·运营效率原始指标03-运营效率离散度差值,比较 运营效率原始指标03 与 运营效率离散度 的相对强弱，突出两者差异变化。,fund_efficiency_diff_fd_efficiency_raw_03__fd_efficiency_disp = 列(运营效率原始指标03) - 列(运营效率离散度),fund_efficiency diff fd_efficiency_raw_03-fd_efficiency_disp,False,fundamental
fund_efficiency_diff_fd_efficiency_raw_03__fd_efficiency_raw_04,30min,Fundamental Packages,fund_efficiency,fund_efficiency,基本面运营效率包·运营效率原始指标03-运营效率原始指标04差值,比较 运营效率原始指标03 与 运营效率原始指标04 的相对强弱，突出两者差异变化。,fund_efficiency_diff_fd_efficiency_raw_03__fd_efficiency_raw_04 = 列(运营效率原始指标03) - 列(运营效率原始指标04),fund_efficiency diff fd_efficiency_raw_03-fd_efficiency_raw_04,False,fundamental
fund_efficiency_diff_fd_efficiency_raw_03__fd_efficiency_raw_05,30min,Fundamental Packages,fund_efficiency,fund_efficiency,基本面运营效率包·运营效率原始指标03-运营效率原始指标05差值,比较 运营效率原始指标03 与 运营效率原始指标05 的相对强弱，突出两者差异变化。,fund_efficiency_diff_fd_efficiency_raw_03__fd_efficiency_raw_05 = 列(运营效率原始指标03) - 列(运营效率原始指标05),fund_efficiency diff fd_efficiency_raw_03-fd_efficiency_raw_05,False,fundamental
fund_efficiency_diff_fd_efficiency_raw_03__fd_efficiency_score,30min,Fundamental Packages,fund_efficiency,fund_efficiency,基本面运营效率包·运营效率原始指标03-运营效率综合评分差值,比较 运营效率原始指标03 与 运营效率综合评分 的相对强弱，突出两者差异变化。,fund_efficiency_diff_fd_efficiency_raw_03__fd_efficiency_score = 列(运营效率原始指标03) - 列(运营效率综合评分),fund_efficiency diff fd_efficiency_raw_03-fd_efficiency_score,False,fundamental
fund_efficiency_diff_fd_efficiency_raw_03__fd_efficiency_trend,30min,Fundamental Packages,fund_efficiency,fund_efficiency,基本面运营效率包·运营效率原始指标03-运营效率趋势变化差值,比较 运营效率原始指标03 与 运营效率趋势变化 的相对强弱，突出两者差异变化。,fund_efficiency_diff_fd_efficiency_raw_03__fd_efficiency_trend = 列(运营效率原始指标03) - 列(运营效率趋势变化),fund_efficiency diff fd_efficiency_raw_03-fd_efficiency_trend,False,fundamental
fund_efficiency_diff_fd_efficiency_raw_04__fd_efficiency_disp,30min,Fundamental Packages,fund_efficiency,fund_efficiency,基本面运营效率包·运营效率原始指标04-运营效率离散度差值,比较 运营效率原始指标04 与 运营效率离散度 的相对强弱，突出两者差异变化。,fund_efficiency_diff_fd_efficiency_raw_04__fd_efficiency_disp = 列(运营效率原始指标04) - 列(运营效率离散度),fund_efficiency diff fd_efficiency_raw_04-fd_efficiency_disp,False,fundamental
fund_efficiency_diff_fd_efficiency_raw_04__fd_efficiency_raw_05,30min,Fundamental Packages,fund_efficiency,fund_efficiency,基本面运营效率包·运营效率原始指标04-运营效率原始指标05差值,比较 运营效率原始指标04 与 运营效率原始指标05 的相对强弱，突出两者差异变化。,fund_efficiency_diff_fd_efficiency_raw_04__fd_efficiency_raw_05 = 列(运营效率原始指标04) - 列(运营效率原始指标05),fund_efficiency diff fd_efficiency_raw_04-fd_efficiency_raw_05,False,fundamental
fund_efficiency_diff_fd_efficiency_raw_04__fd_efficiency_score,30min,Fundamental Packages,fund_efficiency,fund_efficiency,基本面运营效率包·运营效率原始指标04-运营效率综合评分差值,比较 运营效率原始指标04 与 运营效率综合评分 的相对强弱，突出两者差异变化。,fund_efficiency_diff_fd_efficiency_raw_04__fd_efficiency_score = 列(运营效率原始指标04) - 列(运营效率综合评分),fund_efficiency diff fd_efficiency_raw_04-fd_efficiency_score,False,fundamental
fund_efficiency_diff_fd_efficiency_raw_04__fd_efficiency_trend,30min,Fundamental Packages,fund_efficiency,fund_efficiency,基本面运营效率包·运营效率原始指标04-运营效率趋势变化差值,比较 运营效率原始指标04 与 运营效率趋势变化 的相对强弱，突出两者差异变化。,fund_efficiency_diff_fd_efficiency_raw_04__fd_efficiency_trend = 列(运营效率原始指标04) - 列(运营效率趋势变化),fund_efficiency diff fd_efficiency_raw_04-fd_efficiency_trend,False,fundamental
fund_efficiency_diff_fd_efficiency_raw_05__fd_efficiency_disp,30min,Fundamental Packages,fund_efficiency,fund_efficiency,基本面运营效率包·运营效率原始指标05-运营效率离散度差值,比较 运营效率原始指标05 与 运营效率离散度 的相对强弱，突出两者差异变化。,fund_efficiency_diff_fd_efficiency_raw_05__fd_efficiency_disp = 列(运营效率原始指标05) - 列(运营效率离散度),fund_efficiency diff fd_efficiency_raw_05-fd_efficiency_disp,False,fundamental
fund_efficiency_diff_fd_efficiency_raw_05__fd_efficiency_score,30min,Fundamental Packages,fund_efficiency,fund_efficiency,基本面运营效率包·运营效率原始指标05-运营效率综合评分差值,比较 运营效率原始指标05 与 运营效率综合评分 的相对强弱，突出两者差异变化。,fund_efficiency_diff_fd_efficiency_raw_05__fd_efficiency_score = 列(运营效率原始指标05) - 列(运营效率综合评分),fund_efficiency diff fd_efficiency_raw_05-fd_efficiency_score,False,fundamental
fund_efficiency_diff_fd_efficiency_raw_05__fd_efficiency_trend,30min,Fundamental Packages,fund_efficiency,fund_efficiency,基本面运营效率包·运营效率原始指标05-运营效率趋势变化差值,比较 运营效率原始指标05 与 运营效率趋势变化 的相对强弱，突出两者差异变化。,fund_efficiency_diff_fd_efficiency_raw_05__fd_efficiency_trend = 列(运营效率原始指标05) - 列(运营效率趋势变化),fund_efficiency diff fd_efficiency_raw_05-fd_efficiency_trend,False,fundamental
fund_efficiency_diff_fd_efficiency_score__fd_efficiency_disp,30min,Fundamental Packages,fund_efficiency,fund_efficiency,基本面运营效率包·运营效率综合评分-运营效率离散度差值,比较 运营效率综合评分 与 运营效率离散度 的相对强弱，突出两者差异变化。,fund_efficiency_diff_fd_efficiency_score__fd_efficiency_disp = 列(运营效率综合评分) - 列(运营效率离散度),fund_efficiency diff fd_efficiency_score-fd_efficiency_disp,False,fundamental
fund_efficiency_diff_fd_efficiency_score__fd_efficiency_trend,30min,Fundamental Packages,fund_efficiency,fund_efficiency,基本面运营效率包·运营效率综合评分-运营效率趋势变化差值,比较 运营效率综合评分 与 运营效率趋势变化 的相对强弱，突出两者差异变化。,fund_efficiency_diff_fd_efficiency_score__fd_efficiency_trend = 列(运营效率综合评分) - 列(运营效率趋势变化),fund_efficiency diff fd_efficiency_score-fd_efficiency_trend,False,fundamental
fund_efficiency_diff_fd_efficiency_trend__fd_efficiency_disp,30min,Fundamental Packages,fund_efficiency,fund_efficiency,基本面运营效率包·运营效率趋势变化-运营效率离散度差值,比较 运营效率趋势变化 与 运营效率离散度 的相对强弱，突出两者差异变化。,fund_efficiency_diff_fd_efficiency_trend__fd_efficiency_disp = 列(运营效率趋势变化) - 列(运营效率离散度),fund_efficiency diff fd_efficiency_trend-fd_efficiency_disp,False,fundamental
fund_efficiency_lvl_fd_efficiency_disp,30min,Fundamental Packages,fund_efficiency,fund_efficiency,基本面运营效率包·运营效率离散度原值,直接使用 运营效率离散度 作为 基本面运营效率包 信号，反映该基础指标的绝对水平。,fund_efficiency_lvl_fd_efficiency_disp = 列(运营效率离散度),fund_efficiency level fd_efficiency_disp,False,fundamental
fund_efficiency_lvl_fd_efficiency_raw_01,30min,Fundamental Packages,fund_efficiency,fund_efficiency,基本面运营效率包·运营效率原始指标01原值,直接使用 运营效率原始指标01 作为 基本面运营效率包 信号，反映该基础指标的绝对水平。,fund_efficiency_lvl_fd_efficiency_raw_01 = 列(运营效率原始指标01),fund_efficiency level fd_efficiency_raw_01,False,fundamental
fund_efficiency_lvl_fd_efficiency_raw_02,30min,Fundamental Packages,fund_efficiency,fund_efficiency,基本面运营效率包·运营效率原始指标02原值,直接使用 运营效率原始指标02 作为 基本面运营效率包 信号，反映该基础指标的绝对水平。,fund_efficiency_lvl_fd_efficiency_raw_02 = 列(运营效率原始指标02),fund_efficiency level fd_efficiency_raw_02,False,fundamental
